Mouse.ID,Sex,Generation,penName,DOB,Exp.Date,Age.at.Exp.Date,Test.Name,NOR.Novel.Object.Side,NOR.Center.Zone.first.10,NOR.Distance.Traveled.first.10,NOR.Dur.Periph.first.10,NOR.Lat.to.Periph.first.10,NOR.Object.Right.NP.Dur.First.10,NOR.Object.Right.CP.Dur.First.10,NOR.Object.Left.NP.Dur.10,NOR.Object.Left.CP.Dur.First.10,NOR.Object.Right.CP.Lat.first.10,NOR.Object.Left.CP.Lat.first.10,NOE.Arena,NOE.Center.Zone.Duration,NOE.Distance.Travelled,NOE.Duration.in.Periphery,NOE.Latency.to.Periphery,NOE.Object.Right..NP.Dur,NOE.Object.Right..CP.Dur,NOE.Object.Left.NP..Dur,NOE.Object.Left..CP.Dur,NOE.Object.Right..CP.Lat,NOE.Object.Left..CP.Lat
DO.0686,F,G8,CSDO-F-18,10/22/2011,11/15/2012,390,Novel Object Test,R,91.58973,4175.759,508.1766,2705.234,14.213904,7.74092,5.905778,5.104998,1740.838,1993.423,Arena 2,276.237,6929.99,314.208,0.16683,32.6653,43.7095,38.2041,66.0647,53.2521,42.4082
DO.0688,F,G8,CSDO-F-18,10/22/2011,11/29/2012,404,Novel Object Test,L,304.9445,7990.027,245.94079,2754.718026,13.826116,1.601572,13.37976,4.237486,1556.957,1472.80516,Arena 6,275.103,8214.63,288.549,0,25.4249,5.77232,23.2227,2.06869,23.3896,51.3836
DO.0690,F,G8,CSDO-F-18,10/25/2011,11/29/2012,401,Novel Object Test,R,139.84948,9342.586,421.9799,2708.686,7.340526,1.401372,1.534836,0.367026,2244.9966,2798.24529,Arena 7,162.092,7377.47,379.638,0,24.9244,3.26987,8.17467,2.80274,26.9264,76.4749
DO.0691,F,G8,CSDO-F-19,10/25/2011,11/15/2012,387,Novel Object Test,L,NA,1971.0229,599.6997,2700,1.10108,NA,0.033366,NA,NA,NA,Arena 1,5.23846,4391.57,580.235,0,4.37095,1.26791,5.57212,0.467124,159.289,160.857
DO.0692,F,G8,CSDO-F-19,10/22/2011,5/16/2013,572,Novel Object Test,R,113.07736,6607.522,463.6998,2705.795,2.80274,0.033366,1.067712,0.033366,2625.5378,2069.426,Arena 1,65.2639,7724.08,534.69,0,18.2846,1.83513,10.3101,1.96859,146.644,26.0922
DO.0693,F,G8,CSDO-F-19,10/25/2011,5/16/2013,569,Novel Object Test,L,70.335444,3442.442,526.2278,2710.588562,4.871434,NA,21.354234,0.133464,1988.937,1226.8673,Arena 2,71.6368,4078.47,528.317,0.033366,33.6663,5.90578,54.5868,12.4789,138.736,95.7271
DO.0694,F,G8,CSDO-F-19,10/27/2011,5/16/2013,567,Novel Object Test,R,183.72583,5981.894,413.1712,2723.842582,8.541694,1.167806,11.444538,NA,2905.0778,2025.8836,Arena 3,336.83,7441.98,263.124,0,22.2885,4.20412,29.7625,10.21,93.0911,111.509
DO.0695,F,G8,CSDO-F-19,10/23/2011,5/16/2013,571,Novel Object Test,R,202.9446,12697.31,395.5206,2706.4484,9.976434,0.400392,8.120522,0.50049,2817.758,2387.26939,Arena 4,369.695,8476.4,220.716,1.40137,34.5338,10.577,23.6231,6.84003,43.6094,143.941
DO.0696,F,G8,CSDO-F-20,10/26/2011,11/29/2012,400,Novel Object Test,R,188.48458,8056.646,401.6724,2702.3154,15.348358,1.33464,48.213806,2.102056,1805.26732,2476.2242,Arena 8,250.579,9270.54,252.747,2.73601,10.5437,6.23944,2.66928,0.467124,168.598,164.127
DO.0698,F,G8,CSDO-F-20,10/27/2011,11/29/2012,399,Novel Object Test,L,341.814,5325.653,184.88086,2440.586882,7.540722,0.967614,1.00098,1.768398,1574.124254,1995.3261,Arena 1,223.519,9365.16,332.559,2.76938,47.4131,24.5907,24.6908,15.682,43.576,32.9322
DO.0700,F,G8,CSDO-F-20,10/23/2011,11/29/2012,403,Novel Object Test,R,132.79666,9486.141,431.9021,2715.127,10.677126,0.467124,3.97055,4.904798,2058.048,1723.02032,Arena 2,176.339,9638.29,370.463,0,40.5731,31.6977,17.8508,11.1442,6.40627,91.256
DO.0701,F,G8,CSDO-F-21,10/26/2011,5/16/2013,568,Novel Object Test,R,172.201992,5795.22,427.1974,2710.003,28.160896,13.27967,17.417044,4.571138,2801.509,2847.9555,Arena 1,244.706,4452.79,355.348,18.2512,28.2276,6.13934,110.074,17.2169,355.481,374.734
DO.0702,F,G8,CSDO-F-21,10/23/2011,5/16/2013,571,Novel Object Test,L,66.2315,3064.48,533.1679,2700.066732,4.737974,0.033366,6.306176,NA,1114.091,351.1771,Arena 2,57.7899,4993.71,542.264,1.30127,57.0892,1.30127,20.0863,1.93523,86.5848,102.567
DO.0703,F,G8,CSDO-F-21,10/27/2011,5/16/2013,567,Novel Object Test,R,55.554396,3302.266,543.845,2703.874,1.468104,NA,5.605486,NA,541.8638,477.3,Arena 3,240.669,3336.32,359.385,2.50245,21.5544,1.6683,14.3474,NA,0,NA
DO.0704,F,G8,CSDO-F-21,10/24/2011,11/15/2012,388,Novel Object Test,L,208.85044,11678.4,390.4156,2703.214,31.364038,18.31793,18.317936,5.371918,2781.5423,1938.2971,Arena 7,191.855,6834.6,285.847,0,28.4612,23.8901,23.9902,27.2267,0.066732,4.00392
DO.0706,F,G8,CSDO-F-22,10/24/2011,5/9/2013,563,Novel Object Test,R,153.86321,5373.994,445.1691,2716.978,16.049062,0.266928,7.073598,0.467124,2875.2491,1961.1867,Arena 4,285.546,6045.88,306.767,6.473,59.1913,58.4239,18.2512,19.7193,36.6359,24.2237
DO.0707,F,G8,CSDO-F-22,10/26/2011,5/9/2013,561,Novel Object Test,L,3.803722,3885.971,594.3945,2700,NA,NA,NA,NA,NA,NA,Arena 5,50.3159,3061.44,543.933,6.60647,0.734052,0.066732,9.40921,NA,212.541,NA
DO.0708,F,G8,CSDO-F-22,10/23/2011,11/15/2012,389,Novel Object Test,L,16.749734,4988.252,581.9156,2700,3.97055,NA,2.035322,0.133464,663.5159,584.1051,Arena 8,155.252,5755.84,317.811,0,33.0323,18.4514,28.5613,11.0108,50.2492,15.2149
DO.0709,F,G8,CSDO-F-22,10/25/2011,5/9/2013,562,Novel Object Test,R,340.49994,3141.291,259.099698,2267.61108,0.467124,NA,18.084378,NA,860.6087,1036.98121,Arena 6,115.48,4490.34,484.274,13.7802,13.0461,2.50245,10.0432,2.46908,6.7733,79.8448
DO.0710,F,G8,CSDO-F-22,10/22/2011,5/9/2013,565,Novel Object Test,L,365.45774,4744.812,173.04861,2751.898,11.4779,0.934248,8.241404,0.066732,2818.7595,2833.5319,Arena 7,177.908,5736.27,420.478,1.90186,15.5486,9.77624,8.97545,12.0451,149.713,137.101
DO.0711,F,G8,CSDO-F-23,10/27/2011,11/15/2012,385,Novel Object Test,L,54.399212,7933.697,545.1003,2700,22.488636,5.605482,20.186438,5.872416,1953.5463,2367.48371,Arena 6,205.668,8838.41,315.742,0,32.9322,37.3032,22.0549,8.47496,0.33366,59.7919
DO.0712,F,G8,CSDO-F-23,10/22/2011,5/2/2013,558,Novel Object Test,L,213.17541,3578.401,384.85604,2760.503856,7.540712,0.16683,6.94013,1.63493,414.072,1806.0687,Arena 1,96.4611,6460.5,499.022,0,31.2639,0.100098,7.87438,0.567222,503.393,326.62
DO.0713,F,G8,CSDO-F-23,10/24/2011,5/2/2013,556,Novel Object Test,R,119.21667,4762.524,457.2937,2706.837,7.173686,7.907744,5.738954,2.402356,1097.3313,1793.4908,Arena 2,166.029,7383.19,413.572,9.67614,39.8056,42.0078,25.8586,16.2159,85.0166,104.202
DO.0714,F,G8,CSDO-F-23,10/27/2011,5/2/2013,553,Novel Object Test,L,159.65634,5722.563,438.3418,2718.178026,13.37977,1.00098,4.971534,0.633954,1271.277066,1640.7066,Arena 3,259.688,9272.62,319.079,0,61.0264,25.3582,14.7144,1.6683,26.8596,92.7241
DO.0715,F,G8,CSDO-F-23,10/25/2011,5/2/2013,555,Novel Object Test,R,40.072508,4818.589,557.9589,2700,3.169766,NA,0.033366,NA,422.2798,396.8217,Arena 4,327.754,7724.72,270.431,0.700686,26.5593,19.3856,74.94,28.5947,9.87634,5.77232
DO.0716,F,G8,CSDO-F-24,10/25/2011,11/15/2012,387,Novel Object Test,R,51.016594,5964.594,546.4476,2721.421,NA,0.066732,0.50049,1.134442,21.421,464.6876,Arena 3,385.544,5623.79,175.972,3.00294,28.628,17.8842,13.1462,11.8783,123.221,86.3512
DO.0717,F,G8,CSDO-F-24,10/22/2011,11/29/2012,404,Novel Object Test,L,397.068,9970.073,132.83009,2718.05111,33.34526,11.1776,53.552478,38.871346,1988.74691,2758.8258,Arena 2,48.8145,8193.97,545.134,8.50833,5.70559,18.2846,6.37291,3.60353,213.442,241.136
DO.0718,F,G8,CSDO-F-24,10/25/2011,11/29/2012,401,Novel Object Test,R,313.95344,11336.494,240.93591,2711.11962,40.773304,114.07838,54.686948,41.874348,2821.9999,2835.9883,Arena 3,243.171,9164.51,337.764,0.900882,25.5917,1.06771,24.1236,6.94013,49.4484,117.315
DO.0719,F,G8,CSDO-F-24,10/23/2011,11/29/2012,403,Novel Object Test,L,304.8778,10296.879,283.0437,2715.0304,4.104014,0.033366,0.533856,NA,2890.9649,2785.96105,Arena 4,419.577,7810.01,160.29,0,30.3297,42.8419,22.8557,43.1089,33.3994,4.10402
DO.0720,F,G8,CSDO-F-24,10/26/2011,11/12/2012,383,Novel Object Test,R,341.5471,7441.348,137.36799,2745.1682,26.692792,13.51323,38.037228,14.213914,2145.10047,2814.21083,Arena 5,291.419,6201.37,251.88,3.06967,51.7173,31.1638,33.7998,12.2787,58.4239,107.205
DO.0721,F,G9,CSDO-F-25,2/21/2012,2/28/2013,373,Novel Object Test,R,1.501474,1461.5739,597.8312,2700,NA,NA,2.869472,NA,NA,533.3891,Arena 1,31.0971,6196.09,564.486,0,8.1413,3.40333,19.9195,3.26987,214.81,15.4151
DO.0722,F,G9,CSDO-F-25,2/22/2012,2/28/2013,372,Novel Object Test,L,89.88801,5238.712,510.112,2703.581,12.312062,0.633954,9.175652,NA,1536.4375,1460.663,Arena 2,84.8497,5619.56,510.733,0,48.5475,11.8116,13.4799,1.13444,43.209,236.565
DO.0723,F,G9,CSDO-F-25,2/19/2012,2/28/2013,375,Novel Object Test,R,253.89451,7047.468,346.1055,2731.11571,19.18545,0.900882,9.542676,0.467124,2512.56,2084.308,Arena 3,241.47,5526.49,354.113,1.70167,40.0392,22.4553,38.7046,11.7782,36.4023,79.5112
DO.0725,F,G9,CSDO-F-25,2/21/2012,2/28/2013,373,Novel Object Test,L,153.783906,3010.988,446.2161,2748.087758,0.467124,NA,0.433758,NA,1542.9435,1017.229,Arena 4,286.013,4413.41,309.57,1.83513,37.0696,31.0304,32.6319,30.263,17.0167,68.1667
DO.0731,F,G9,CSDO-F-27,2/20/2012,2/28/2013,374,Novel Object Test,L,72.437554,9927.648,517.4859,2727.039732,5.705586,0.533856,18.184478,3.636898,2871.245,2441.09,Arena 5,127.058,8555.84,439.33,25.4916,6.53974,8.60843,4.13738,0.200196,281.809,250.946
DO.0732,F,G9,CSDO-F-27,2/20/2012,2/28/2013,374,Novel Object Test,R,409.8137,4200.726,180.1097,2779.957,2.63591,0.066732,1.90186,0.367026,425.116,1486.9233,Arena 6,103.935,3256.3,490.914,0.50049,70.8694,12.2787,32.5318,3.36997,68.4003,39.105
DO.0735,F,G9,CSDO-F-27,2/22/2012,2/28/2013,372,Novel Object Test,L,360.1191,12087.501,226.6344,2727.298232,9.442578,5.705576,35.634862,8.007838,2766.063,2909.2815,Arena 7,116.748,8722.1,478.101,0,7.10696,8.70853,27.1266,25.9921,395.554,1.73503
DO.0741,F,G9,CSDO-F-29,2/22/2012,9/5/2013,561,Novel Object Test,R,88.086222,3620.791,510.5125,2703.866,12.979368,0.33366,3.736988,NA,849.765,1195.404,Arena 1,114.312,4948.46,485.242,0,5.105,0.033366,38.4043,18.8184,223.385,45.7782
DO.0742,F,G9,CSDO-F-29,2/20/2012,9/5/2013,563,Novel Object Test,L,183.21265,4319.61,399.7707,2716.864,30.997,0.700686,11.44454,0.033366,1878.405,1892.3532,Arena 2,200.563,5967.71,398.991,1.83513,70.6358,22.9224,43.5093,14.5476,33.7998,75.6741
DO.0743,F,G9,CSDO-F-29,2/22/2012,9/5/2013,561,Novel Object Test,L,64.19622,2615.875,479.2484,2711.472,0.66732,NA,1.968594,NA,NA,331.291,Arena 3,158.155,3927.62,441.399,0.400392,19.8528,0.50049,26.7595,0.033366,59.0245,543.232
DO.0744,F,G9,CSDO-F-29,2/19/2012,9/5/2013,564,Novel Object Test,R,90.98906,2855.293,509.011,2715.852,5.105002,NA,7.17369,NA,693.0121,516.2725,Arena 6,239.801,4737.32,359.752,0,34.9008,14.9146,39.6054,15.1148,30.8969,59.1579
DO.0745,F,G9,CSDO-F-29,2/19/2012,9/5/2013,564,Novel Object Test,L,181.6777,3718.856,417.4882,2708.37,3.336604,NA,6.105978,0.266928,1460.669,1964.024,Arena 7,234.897,4756.59,364.657,1.40137,64.73,24.1236,28.9951,10.5437,154.151,124.889
DO.0746,F,G9,CSDO-F-30,2/20/2012,3/7/2013,381,Novel Object Test,L,90.32176,3904.533,498.5673,2742.99,3.303236,0.033366,17.450408,NA,2499.181,2166.4553,Arena 2,97.0617,10699.4,494.451,0,23.6231,15.4151,31.5642,8.07457,26.5593,51.1167
DO.0747,F,G9,CSDO-F-30,2/22/2012,3/7/2013,379,Novel Object Test,R,256.28437,11412.545,332.47119,2721.869,6.573102,1.801764,21.788028,15.715396,1504.4393,2292.7437,Arena 3,257.519,3701.99,333.994,0,34.1001,0.767418,30.0961,2.86948,46.7124,204.6
DO.0748,F,G9,CSDO-F-30,2/22/2012,3/7/2013,379,Novel Object Test,L,427.965,3617.039,156.31969,2845.9742,11.945026,2.469088,11.010786,NA,1768.531,2910.9995,Arena 4,106.304,5481.69,480.604,3.10304,12.2787,5.27183,9.70951,7.10696,160.457,54.787
DO.0750,F,G9,CSDO-F-30,2/22/2012,3/7/2013,379,Novel Object Test,R,18.751686,4777.257,548.316,2700.137,1.00098,0.033366,0.133464,NA,199.495,264.626,Arena 5,160.891,6465.94,378.704,0.900882,38.7379,29.1285,31.2306,31.2973,36.8027,15.8155
DO.0752,F,G9,CSDO-F-31,2/19/2012,8/29/2013,557,Novel Object Test,R,153.41679,5964.31,432.0355,2705.0921,4.437674,0.867516,0.600588,0.266928,2457.5133,2047.4037,Arena 5,250.245,5334.43,308.235,0,51.9842,37.3032,64.73,38.4043,4.93817,3.3366
DO.0753,F,G9,CSDO-F-31,2/20/2012,8/29/2013,556,Novel Object Test,L,41.106874,3860.196,551.7862,2700,0.066732,NA,1.067712,NA,NA,820.3033,Arena 6,84.8497,4512.53,515.104,0,26.9597,0.133464,21.154,0.467124,31.998,209.238
DO.0754,F,G9,CSDO-F-31,2/19/2012,8/29/2013,557,Novel Object Test,R,54.38652,2411.9259,543.0444,2700,3.636898,NA,12.378782,NA,1042.5203,954.667,Arena 7,83.9822,2575.49,515.972,0.300294,33.733,1.16781,125.89,7.44062,23.3896,13.6801
DO.0755,F,G9,CSDO-F-31,2/19/2012,8/29/2013,557,Novel Object Test,L,177.57385,4150.568,419.8571,2738.085928,10.209992,NA,3.036312,NA,2282.1645,1558.7603,Arena 8,136.167,4417.59,462.386,0,24.1903,1.96859,16.1491,1.7684,46.7458,51.4504
DO.0756,F,G9,CSDO-F-32,2/22/2012,3/7/2013,379,Novel Object Test,L,332.759,5575.264,255.2959,2712.516996,2.035328,NA,9.97643,NA,2182.8937,2351.71929,Arena 5,189.085,5577.66,344.904,0,11.4779,5.37193,10.4436,0.600588,32.2983,391.283
DO.0757,F,G9,CSDO-F-32,2/18/2012,3/7/2013,383,Novel Object Test,R,181.2233,12436.492,409.5676,2701.821,20.419992,18.317938,11.110878,8.474964,2837.7429,2776.284,Arena 6,205.568,12559.4,391.35,0,17.7841,16.4828,35.735,32.7654,41.5073,137.234
DO.0758,F,G9,CSDO-F-32,2/19/2012,3/7/2013,382,Novel Object Test,L,21.687898,4380.129,562.7636,2700,NA,NA,NA,NA,NA,NA,Arena 7,31.5642,2270.48,544.733,0.600588,1.63493,0.133464,2.90284,NA,575.53,NA
DO.0759,F,G9,CSDO-F-32,2/20/2012,3/7/2013,381,Novel Object Test,R,240.01435,6823.128,359.9857,2717.283,3.269862,0.467124,0.800784,NA,2276.2288,1913.2066,Arena 8,235.931,5122.01,321.381,0.734052,26.3258,24.9911,14.5476,7.20706,9.54268,4.87144
DO.0760,F,G9,CSDO-F-32,2/20/2012,3/7/2013,381,Novel Object Test,L,52.985176,6683.708,547.0148,2700,0.433758,0.433758,4.10402,NA,1803.5325,789.07206,Arena 1,112.21,5043.73,479.336,1.8685,41.6741,1.4681,28.7949,6.43964,224.153,52.5848
DO.0761,F,G9,CSDO-F-33,2/22/2012,8/23/2013,548,Novel Object Test,R,209.77206,2482.691,364.2359,2757.88591,24.190392,0.133464,13.780152,0.633954,1370.575,2054.5623,Arena 2,158.522,3311.48,433.658,0,58.0902,27.627,32.0981,15.1148,65.731,136.434
DO.0762,F,G9,CSDO-F-33,2/18/2012,9/5/2013,565,Novel Object Test,L,13.479832,1289.0953,577.9451,2713.4385,NA,NA,5.63886,NA,NA,183.94712,Arena 3,592.18,2053.75,NA,NA,NA,NA,9.74287,NA,NA,NA
DO.0763,F,G9,CSDO-F-33,2/19/2012,9/5/2013,564,Novel Object Test,R,107.538652,8157.669,483.853,2700,20.753658,0.734052,7.607446,1.434738,1671.869,2406.122,Arena 4,108.006,9247.82,481.071,0,23.7566,20.2198,43.5426,30.1629,79.4778,71.1363
DO.0765,F,G9,CSDO-F-33,2/18/2012,9/5/2013,565,Novel Object Test,L,140.37081,4844.547,452.322,2723.179732,4.47104,NA,8.875354,NA,1432.87,2394.45,Arena 5,56.2884,4520.61,515.805,0,4.60451,NA,0.633954,NA,NA,NA
DO.0766,F,G9,CSDO-F-34,2/22/2012,9/12/2013,568,Novel Object Test,R,108.77322,2701.444,486.7223,2722.0307,4.437672,0.100098,3.269868,NA,1672.972,1152.561,Arena 1,169.499,7710.58,422.947,0,30.7635,27.0932,19.9862,8.77526,107.272,32.732
DO.0767,F,G9,CSDO-F-34,2/21/2012,9/12/2013,569,Novel Object Test,L,98.129372,4199.171,481.2503,2712.16,3.67026,NA,5.038268,NA,2349.9238,1852.8148,Arena 2,133.23,3861.95,454.311,0,38.6378,13.4465,26.9264,0.600588,15.8822,295.423
DO.0768,F,G9,CSDO-F-34,2/20/2012,9/12/2013,570,Novel Object Test,L,107.78481,5422.648,487.4106,2700.981,0.100098,NA,2.402356,NA,990.003,NA,Arena 3,132.93,5760.73,452.209,0,40.2728,0.066732,20.787,NA,239.835,NA
DO.0769,F,G9,CSDO-F-34,2/22/2012,9/12/2013,568,Novel Object Test,R,362.6676,4124.477,232.52774,2709.831,5.138364,0.100098,1.301276,NA,1242.2243,2091.4817,Arena 5,326.52,4516.39,250.545,0,20.42,10.0765,15.3817,0.934248,38.8714,14.3807
DO.0770,F,G9,CSDO-F-34,2/20/2012,9/12/2013,570,Novel Object Test,L,214.88954,10418.838,379.77179,2708.98,9.57604,1.868496,10.04317,0.50049,2098.71121,1321.49476,Arena 6,180.61,12244.6,383.576,0.300294,26.9931,58.5573,42.208,18.8518,3.63689,6.23944
DO.0771,F,G9,CSDO-F-35,2/19/2012,3/7/2013,382,Novel Object Test,R,13.913626,2164.1199,574.9754,2700.01,5.038266,0.100098,0.200196,NA,804.3212,212.8079,Arena 8,146.277,6635.86,417.809,0,24.3905,8.40823,19.5858,3.90382,227.289,395.787
DO.0772,F,G9,CSDO-F-35,2/19/2012,3/7/2013,382,Novel Object Test,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arena 4,247.642,7740.19,349.809,5.33856,25.525,5.87242,23.9568,18.2178,116.981,111.609
DO.0773,F,G9,CSDO-F-35,2/19/2012,3/7/2013,382,Novel Object Test,L,139.90361,6043.385,454.858,2718.076562,7.040222,0.100098,6.773292,0.50049,2105.428,2402.053,Arena 5,19.8528,4038.61,568.457,0,11.578,1.43474,8.1413,NA,265.226,NA
DO.0774,F,G9,CSDO-F-35,2/21/2012,3/7/2013,380,Novel Object Test,R,30.663316,2460.471,564.0982,2700.011,5.305196,0.133464,NA,NA,1694.492,333.627,Arena 6,71.1363,3475.38,527.516,0.033366,8.97545,4.53778,11.1776,NA,269.397,NA
DO.0775,F,G9,CSDO-F-35,2/18/2012,3/7/2013,383,Novel Object Test,R,95.539406,5797.491,451.0082,2702.558,3.236498,NA,24.123636,4.771338,1896.4563,1943.5034,Arena 7,57.1226,5140.44,519.041,3.47006,4.87144,2.53582,4.17075,0.16683,54.4533,249.478
