Mouse.ID,Sex,Generation,penName,DOB,Exp.Date,Age.at.Exp.Date,Test.Name,Single.cells,Viable.cells,CD11b.,Eosinophils,Eosinophils...of.viable.,Granulocytes,Granulocytes....of.viable.,Monocytes,Monocytes....of.viable.,Inflammitory.Monocytes,Other.Monocytes,Resident.Monocytes
DO.0007,F,G7,LGDO-F-02,6/20/2011,2/7/2012,232,FCM (M) 33wks,90,68.8,64.8,2.37,1.54,80.3,52.1,13.3,8.64,3.15,73.7,23.2
DO.0007,F,G7,LGDO-F-02,6/20/2011,8/7/2012,414,FCM (M) 59wks,87.6,66.7,43.8,21.7,9.51,60.4,26.5,15.7,6.88,6.97,68.4,24.6
DO.0008,F,G7,LGDO-F-02,6/24/2011,2/7/2012,228,FCM (M) 33wks,94.1,59.9,21.7,9.01,1.96,63.7,13.9,22.2,4.82,40.6,25.5,33.9
DO.0008,F,G7,LGDO-F-02,6/24/2011,8/7/2012,410,FCM (M) 59wks,94.3,47.6,35.9,4.15,1.49,55.9,20.1,37.6,13.5,50.9,34.9,14.2
DO.0009,F,G7,LGDO-F-02,6/19/2011,2/7/2012,233,FCM (M) 33wks,95.5,70.8,24.1,19.3,4.64,48.3,11.7,25.6,6.17,53.6,14.5,31.9
DO.0009,F,G7,LGDO-F-02,6/19/2011,8/7/2012,415,FCM (M) 59wks,95.4,76,24.2,14.5,3.5,54,13.1,29.6,7.17,63.3,7.23,29.4
DO.0009,F,G7,LGDO-F-02,6/19/2011,2/5/2013,597,FCM (M) 85wks,96.8,67.6,32.5,12.9,4.18,60.8,19.8,24.7,8.03,58.8,14.9,26.2
DO.0010,F,G7,LGDO-F-02,6/20/2011,2/7/2012,232,FCM (M) 33wks,93.6,58.4,31.7,14.1,4.47,59.4,18.8,21.4,6.79,39.1,24.5,36.4
DO.0010,F,G7,LGDO-F-02,6/20/2011,8/7/2012,414,FCM (M) 59wks,94,53.1,28.1,9.47,2.66,58.7,16.5,28.7,8.08,43.5,10.5,46.1
DO.0011,F,G7,LGDO-F-03,6/20/2011,2/7/2012,232,FCM (M) 33wks,95.8,72.7,15.3,9.78,1.5,63.5,9.74,22.5,3.45,44.8,25.4,29.8
DO.0012,F,G7,LGDO-F-03,6/23/2011,8/7/2012,411,FCM (M) 59wks,94,65.1,24.8,10.2,2.53,69.1,17.1,18.2,4.51,55.2,18.9,25.9
DO.0012,F,G7,LGDO-F-03,6/23/2011,2/5/2013,593,FCM (M) 85wks,96.6,46.3,21.2,9.13,1.93,73.6,15.6,14.5,3.06,47,25.5,27.5
DO.0012,F,G7,LGDO-F-03,6/23/2011,2/7/2012,229,FCM (M) 33wks,95.6,59.9,16.2,10.4,1.69,66.8,10.8,19,3.08,37.7,28.9,33.5
DO.0013,F,G7,LGDO-F-03,6/21/2011,8/7/2012,413,FCM (M) 59wks,94.3,73.6,27.2,7.92,2.16,62.1,16.9,25.5,6.95,25.8,22,52.3
DO.0013,F,G7,LGDO-F-03,6/21/2011,2/5/2013,595,FCM (M) 85wks,97,68.9,31.8,9.2,2.92,44.7,14.2,44,14,26.5,14.3,59.3
DO.0013,F,G7,LGDO-F-03,6/21/2011,2/7/2012,231,FCM (M) 33wks,94,66,27.8,11.9,3.3,50.4,14,32.1,8.92,20.9,30.6,48.5
DO.0014,F,G7,LGDO-F-03,6/19/2011,2/7/2012,233,FCM (M) 33wks,90.8,62.4,23.3,21.7,5.05,42.8,9.98,29.5,6.87,29.8,13.9,56.3
DO.0015,F,G7,LGDO-F-03,6/30/2011,2/21/2012,236,FCM (M) 33wks,94.1,77.3,8.56,4.48,0.38,74.9,6.41,18.6,1.59,31.7,19.4,48.9
DO.0015,F,G7,LGDO-F-03,6/30/2011,8/7/2012,404,FCM (M) 59wks,95.5,69.7,16.8,7.02,1.18,64.4,10.8,25.9,4.36,49.1,7.18,43.7
DO.0015,F,G7,LGDO-F-03,6/30/2011,2/5/2013,586,FCM (M) 85wks,94.8,87.3,3.49,2.68,0.094,20.4,0.71,72.4,2.53,16.5,10.6,72.8
DO.0016,F,G7,LGDO-F-04,6/30/2011,2/21/2012,236,FCM (M) 33wks,95.9,66.7,19,13.8,2.63,55.8,10.6,27,5.13,46.7,19.2,34.1
DO.0016,F,G7,LGDO-F-04,6/30/2011,8/14/2012,411,FCM (M) 59wks,92.3,60.5,25.8,11.6,2.99,58,15,26.6,6.86,60.5,13.6,25.8
DO.0016,F,G7,LGDO-F-04,6/30/2011,2/12/2013,593,FCM (M) 85wks,66.1,69.3,58.1,3.47,2.02,68.4,39.7,23.2,13.5,66.1,17.5,16.4
DO.0017,F,G7,LGDO-F-04,6/30/2011,2/21/2012,236,FCM (M) 33wks,95.4,78.3,15,9.32,1.4,71.2,10.7,18.2,2.74,33.2,15.6,51.1
DO.0017,F,G7,LGDO-F-04,6/30/2011,8/14/2012,411,FCM (M) 59wks,93.6,62.9,19.1,13.8,2.62,65,12.4,18.8,3.58,21.8,8.06,70.1
DO.0017,F,G7,LGDO-F-04,6/30/2011,2/12/2013,593,FCM (M) 85wks,95.6,66.7,25.2,6.13,1.55,68.8,17.3,22,5.54,37.4,16.7,45.9
DO.0018,F,G7,LGDO-F-04,6/27/2011,2/14/2012,232,FCM (M) 33wks,92.9,74.5,28.2,1.95,0.55,79.3,22.4,17.3,4.87,91.3,4.11,4.61
DO.0018,F,G7,LGDO-F-04,6/27/2011,8/14/2012,414,FCM (M) 59wks,88.4,73.1,29.4,10.1,2.99,66.7,19.6,18.2,5.36,65.7,11.4,22.9
DO.0018,F,G7,LGDO-F-04,6/27/2011,2/12/2013,596,FCM (M) 85wks,96.2,75.5,31,4,1.24,80.9,25.1,12.9,3.99,73,10.1,16.8
DO.0020,F,G7,LGDO-F-04,6/30/2011,2/21/2012,236,FCM (M) 33wks,95.2,73,21.5,8.24,1.77,53.3,11.4,36.5,7.83,52.7,8.05,39.2
DO.0020,F,G7,LGDO-F-04,6/30/2011,8/14/2012,411,FCM (M) 59wks,90.6,67.8,27,5.2,1.4,34.3,9.25,57,15.4,30.5,5.72,63.8
DO.0020,F,G7,LGDO-F-04,6/30/2011,2/12/2013,593,FCM (M) 85wks,97.5,69.6,45,1.55,0.7,48.6,21.9,46.5,21,28.2,8.91,62.9
DO.0021,F,G7,LGDO-F-05,6/30/2011,2/21/2012,236,FCM (M) 33wks,92.2,60.3,21.3,15.4,3.27,58.7,12.5,24.4,5.2,55.2,11.7,33.1
DO.0021,F,G7,LGDO-F-05,6/30/2011,8/14/2012,411,FCM (M) 59wks,91.3,46.5,24,17.6,4.22,50,12,28.6,6.86,38.5,11,50.5
DO.0021,F,G7,LGDO-F-05,6/30/2011,2/12/2013,593,FCM (M) 85wks,97.6,65.4,32.3,10.9,3.52,55.5,17.9,30.3,9.77,47,12.6,40.3
DO.0022,F,G7,LGDO-F-05,6/29/2011,2/14/2012,230,FCM (M) 33wks,90,52.9,48.7,1.07,0.52,16.6,8.08,80.1,39,13.5,3.27,83.2
DO.0022,F,G7,LGDO-F-05,6/29/2011,8/14/2012,412,FCM (M) 59wks,86.1,57.1,42.9,0.026,0.011,24.9,10.7,70.7,30.4,17.8,5.57,76.6
DO.0022,F,G7,LGDO-F-05,6/29/2011,2/12/2013,594,FCM (M) 85wks,97.7,33.9,38.5,0.059,0.023,92.8,35.7,6.32,2.43,74.3,21.5,4.27
DO.0023,F,G7,LGDO-F-05,6/30/2011,2/21/2012,236,FCM (M) 33wks,94.8,76,19.4,20.8,4.03,45.6,8.84,31.8,6.16,1.23,61.2,37.6
DO.0023,F,G7,LGDO-F-05,6/30/2011,8/14/2012,411,FCM (M) 59wks,92,72.8,20.9,15.8,3.31,49,10.2,32.7,6.82,2.7,67.4,29.9
DO.0023,F,G7,LGDO-F-05,6/30/2011,2/12/2013,593,FCM (M) 85wks,97.6,71.2,27.9,11.1,3.11,61.1,17.1,24.3,6.8,8.97,54.6,36.5
DO.0024,F,G7,LGDO-F-05,6/29/2011,2/14/2012,230,FCM (M) 33wks,93.4,66.7,16.2,7.69,1.25,25.3,4.11,62.7,10.2,33,6.57,60.5
DO.0024,F,G7,LGDO-F-05,6/29/2011,8/14/2012,412,FCM (M) 59wks,90.2,61.3,15.5,16.2,2.52,35.3,5.48,43.6,6.77,44.8,16.1,39.1
DO.0024,F,G7,LGDO-F-05,6/29/2011,2/12/2013,594,FCM (M) 85wks,94.8,64.4,35.7,8.29,2.95,55.1,19.6,34.7,12.4,66.1,11.9,22
DO.0025,F,G7,LGDO-F-05,6/30/2011,2/21/2012,236,FCM (M) 33wks,93,77.1,19.6,23.9,4.69,52,10.2,22.2,4.36,1.48,73.3,25.2
DO.0025,F,G7,LGDO-F-05,6/30/2011,8/14/2012,411,FCM (M) 59wks,90.5,72.7,28.1,22.5,6.31,50.3,14.1,24.6,6.89,4.56,73.1,22.4
DO.0025,F,G7,LGDO-F-05,6/30/2011,2/12/2013,593,FCM (M) 85wks,95.7,77.7,29.1,7.28,2.12,46,13.4,42.2,12.3,11.6,58.6,29.9
DO.0026,F,G7,LGDO-F-06,6/27/2011,2/14/2012,232,FCM (M) 33wks,94.9,72.8,16.9,22.7,3.83,48.6,8.21,25.9,4.37,44.3,22.7,33
DO.0026,F,G7,LGDO-F-06,6/27/2011,8/14/2012,414,FCM (M) 59wks,93.1,66.8,25.6,18.8,4.83,52.1,13.4,25.3,6.49,48.7,19.2,32.1
DO.0026,F,G7,LGDO-F-06,6/27/2011,2/12/2013,596,FCM (M) 85wks,97.1,65.5,40.4,13.1,5.28,62.2,25.1,23.1,9.34,47,23.2,29.8
DO.0027,F,G7,LGDO-F-06,6/29/2011,2/14/2012,230,FCM (M) 33wks,94.2,76.3,24.7,14.5,3.58,60,14.8,22.1,5.45,1.12,64.2,34.7
DO.0027,F,G7,LGDO-F-06,6/29/2011,8/14/2012,412,FCM (M) 59wks,90.7,75.8,24.9,14,3.49,56.5,14,25.9,6.45,5.87,52.6,41.5
DO.0027,F,G7,LGDO-F-06,6/29/2011,2/12/2013,594,FCM (M) 85wks,95.9,75.4,35.3,15,5.3,55.4,19.6,27.8,9.8,15.8,57,27.3
DO.0028,F,G7,LGDO-F-06,6/30/2011,2/21/2012,236,FCM (M) 33wks,94.2,79.8,25.1,12.3,3.08,56.9,14.3,29.6,7.43,1.82,39.5,58.7
DO.0028,F,G7,LGDO-F-06,6/30/2011,8/14/2012,411,FCM (M) 59wks,92.4,71.5,19.1,15,2.87,47.2,9.04,33.5,6.41,5.59,39.3,55.1
DO.0028,F,G7,LGDO-F-06,6/30/2011,2/12/2013,593,FCM (M) 85wks,95.9,73.3,29.2,6.19,1.81,55,16.1,36.3,10.6,6.95,38.1,54.9
DO.0029,F,G7,LGDO-F-06,6/30/2011,2/21/2012,236,FCM (M) 33wks,95.3,78,19.1,8.67,1.65,53.6,10.2,36.3,6.91,43,5.07,52
DO.0029,F,G7,LGDO-F-06,6/30/2011,8/14/2012,411,FCM (M) 59wks,91.8,76.2,28.9,3.42,0.99,72.2,20.9,22.4,6.48,50,8.2,41.8
DO.0029,F,G7,LGDO-F-06,6/30/2011,2/12/2013,593,FCM (M) 85wks,96.3,78.1,61.6,2.5,1.54,75.5,46.5,18.7,11.5,57.2,19.3,23.5
DO.0030,F,G7,LGDO-F-06,6/30/2011,2/14/2012,229,FCM (M) 33wks,93.5,77.6,7.47,7.09,0.53,53.3,3.98,37.1,2.77,40.5,10.4,49
DO.0030,F,G7,LGDO-F-06,6/30/2011,8/14/2012,411,FCM (M) 59wks,92.3,72.9,11.5,5.49,0.63,50.7,5.84,37.9,4.37,49.9,5.7,44.4
DO.0030,F,G7,LGDO-F-06,6/30/2011,2/12/2013,593,FCM (M) 85wks,97.3,77.7,23.2,3.19,0.74,66.8,15.5,28.1,6.51,51.5,15.4,33.1
DO.0031,F,G7,LGDO-F-07,6/25/2011,2/14/2012,234,FCM (M) 33wks,91.7,70.7,16.2,5.18,0.84,59.3,9.61,30.2,4.89,38.6,5.39,56
DO.0031,F,G7,LGDO-F-07,6/25/2011,8/21/2012,423,FCM (M) 59wks,90.8,64.6,25,10.5,2.62,61,15.3,27.8,6.94,52.1,8.34,39.5
DO.0031,F,G7,LGDO-F-07,6/25/2011,2/12/2013,598,FCM (M) 85wks,96.1,63.4,46.2,2.69,1.24,60.3,27.9,35.4,16.3,46,19.4,34.6
DO.0032,F,G7,LGDO-F-07,6/30/2011,2/21/2012,236,FCM (M) 33wks,94.8,78.3,12.8,8.96,1.15,53.4,6.83,36,4.6,24.7,35.3,40
DO.0032,F,G7,LGDO-F-07,6/30/2011,8/21/2012,418,FCM (M) 59wks,93.5,72.6,17.1,9.23,1.58,57.6,9.83,32.5,5.55,40.6,21.2,38.3
DO.0032,F,G7,LGDO-F-07,6/30/2011,2/12/2013,593,FCM (M) 85wks,97.2,72.6,22.5,6.35,1.43,62,14,28.9,6.51,32,27.3,40.7
DO.0033,F,G7,LGDO-F-07,6/29/2011,2/14/2012,230,FCM (M) 33wks,94.1,77.8,11.8,13.2,1.56,42.1,4.97,41.4,4.89,23.4,10.6,66
DO.0033,F,G7,LGDO-F-07,6/29/2011,8/21/2012,419,FCM (M) 59wks,92.7,72.2,18.1,13.2,2.4,44,7.99,41.9,7.6,46.7,9.41,43.9
DO.0033,F,G7,LGDO-F-07,6/29/2011,2/12/2013,594,FCM (M) 85wks,94.7,72.2,44.4,2.49,1.11,73.2,32.5,21.8,9.67,34.9,13.8,51.3
DO.0034,F,G7,LGDO-F-07,6/27/2011,2/14/2012,232,FCM (M) 33wks,94,77.6,19.7,7.33,1.45,65.6,12.9,23.6,4.66,2.35,65.5,32.1
DO.0034,F,G7,LGDO-F-07,6/27/2011,8/21/2012,421,FCM (M) 59wks,92.4,66.4,26.7,5.8,1.55,68.6,18.3,24.1,6.43,41.7,19.3,39
DO.0034,F,G7,LGDO-F-07,6/27/2011,2/12/2013,596,FCM (M) 85wks,96.7,73.6,37.7,3.12,1.17,67.9,25.6,27,10.2,25.7,38.5,35.7
DO.0035,F,G7,LGDO-F-07,6/29/2011,2/14/2012,230,FCM (M) 33wks,94.1,64.3,11.3,24.8,2.81,57,6.45,15.1,1.71,47.8,22.3,30
DO.0035,F,G7,LGDO-F-07,6/29/2011,8/21/2012,419,FCM (M) 59wks,91.6,67.7,26.4,22.9,6.06,68.8,18.2,7.74,2.05,60.7,12.2,27
DO.0035,F,G7,LGDO-F-07,6/29/2011,2/12/2013,594,FCM (M) 85wks,96.1,77.2,47.2,17.7,8.36,67.4,31.8,12.9,6.07,40.7,22,37.4
DO.0036,F,G7,LGDO-F-08,6/30/2011,2/21/2012,236,FCM (M) 33wks,90.9,39.5,23.8,2.32,0.55,53,12.6,41.8,9.95,51.8,10.2,38
DO.0037,F,G7,LGDO-F-08,6/30/2011,2/21/2012,236,FCM (M) 33wks,95.3,77.8,12.2,19.3,2.35,59.5,7.24,17.5,2.13,21.8,32.8,45.3
DO.0037,F,G7,LGDO-F-08,6/30/2011,8/21/2012,418,FCM (M) 59wks,93.3,64.9,38.4,11.9,4.58,69.4,26.6,17.5,6.71,34.3,32.2,33.5
DO.0038,F,G7,LGDO-F-08,7/1/2011,2/21/2012,235,FCM (M) 33wks,96,69.8,15.3,22.3,3.41,38.6,5.91,37.7,5.77,29.6,9.94,60.4
DO.0039,F,G7,LGDO-F-08,6/30/2011,2/21/2012,236,FCM (M) 33wks,95.3,79.6,17.4,10.9,1.9,68.6,12,19.2,3.34,1.96,53.5,44.5
DO.0039,F,G7,LGDO-F-08,6/30/2011,8/21/2012,418,FCM (M) 59wks,93.9,72.7,28.1,10.6,2.98,69.7,19.6,19,5.34,16.3,50.6,33.1
DO.0039,F,G7,LGDO-F-08,6/30/2011,2/19/2013,600,FCM (M) 85wks,96.3,61.3,27.9,16.3,4.56,63.9,17.9,19,5.32,18.8,44.6,36.6
DO.0041,F,G7,LGDO-F-09,6/30/2011,2/21/2012,236,FCM (M) 33wks,92.8,78.7,12.9,9.54,1.23,47.8,6.15,41,5.28,52.9,11.2,35.9
DO.0041,F,G7,LGDO-F-09,6/30/2011,8/21/2012,418,FCM (M) 59wks,91.8,76.5,29.1,6.65,1.94,57.2,16.7,35.1,10.2,43.3,9.5,47.2
DO.0041,F,G7,LGDO-F-09,6/30/2011,2/19/2013,600,FCM (M) 85wks,93.8,67.7,33,7.54,2.49,61.9,20.5,28.7,9.49,31.8,27.6,40.6
DO.0042,F,G7,LGDO-F-09,6/26/2011,2/14/2012,233,FCM (M) 33wks,95.9,80.7,8.67,21.3,1.85,42.2,3.66,33.6,2.91,1.56,61.4,37
DO.0042,F,G7,LGDO-F-09,6/26/2011,8/21/2012,422,FCM (M) 59wks,95.3,64.2,13.1,21.7,2.83,42.6,5.57,33.8,4.41,62.2,9.62,28.2
DO.0042,F,G7,LGDO-F-09,6/26/2011,2/19/2013,604,FCM (M) 85wks,98.1,43.7,11.5,20.7,2.38,45.2,5.18,32,3.67,42,14.8,43.2
DO.0044,F,G7,LGDO-F-09,6/28/2011,2/14/2012,231,FCM (M) 33wks,94.3,81.4,16.4,14.5,2.37,33.9,5.54,49.3,8.07,46.1,15,38.9
DO.0044,F,G7,LGDO-F-09,6/28/2011,8/21/2012,420,FCM (M) 59wks,93.3,80.5,23.4,11.4,2.67,55.8,13.1,32.2,7.54,59.2,13.7,27.1
DO.0044,F,G7,LGDO-F-09,6/28/2011,2/19/2013,602,FCM (M) 85wks,93.7,61,18.9,23.6,4.45,42.7,8.06,32.2,6.08,38.6,34.5,26.9
DO.0045,F,G7,LGDO-F-09,6/30/2011,2/21/2012,236,FCM (M) 33wks,95.9,41.5,10.6,11.5,1.21,55.7,5.88,30.8,3.25,34.9,15.3,49.8
DO.0045,F,G7,LGDO-F-09,6/30/2011,8/21/2012,418,FCM (M) 59wks,92,70.1,24.3,10.4,2.52,66.3,16.1,22,5.35,38.4,19.3,42.3
DO.0045,F,G7,LGDO-F-09,6/30/2011,2/19/2013,600,FCM (M) 85wks,94.8,45.6,36.4,14.6,5.32,51.2,18.6,32,11.6,25,16.3,58.7
DO.0046,F,G7,LGDO-F-10,6/27/2011,2/14/2012,232,FCM (M) 33wks,94.4,85.9,7.52,12.9,0.97,44,3.31,39.1,2.94,56.1,11.1,32.8
DO.0046,F,G7,LGDO-F-10,6/27/2011,8/21/2012,421,FCM (M) 59wks,94.1,79.9,8.24,15.7,1.29,45.5,3.75,37.2,3.06,60.3,6.29,33.4
DO.0046,F,G7,LGDO-F-10,6/27/2011,2/19/2013,603,FCM (M) 85wks,97.1,70,7.78,9.84,0.77,58.8,4.57,29.8,2.32,57.3,10.9,31.8
DO.0047,F,G7,LGDO-F-10,6/30/2011,2/21/2012,236,FCM (M) 33wks,95.1,42.2,19.2,4.42,0.85,55.6,10.7,36.4,7,51.7,9.26,39
DO.0047,F,G7,LGDO-F-10,6/30/2011,8/21/2012,418,FCM (M) 59wks,89.8,77.8,43.9,2.59,1.14,43.5,19.1,30.7,13.5,65.8,7.76,26.5
DO.0047,F,G7,LGDO-F-10,6/30/2011,2/19/2013,600,FCM (M) 85wks,81.6,58.4,60.2,3.76,2.26,60.4,36.4,33.4,20.1,57.3,27.9,14.7
DO.0048,F,G7,LGDO-F-10,6/30/2011,2/21/2012,236,FCM (M) 33wks,92.2,32.8,6.18,14.7,0.91,46.5,2.88,36.2,2.24,35.1,12.5,52.4
DO.0049,F,G7,LGDO-F-10,6/25/2011,2/14/2012,234,FCM (M) 33wks,82.3,48.4,48.7,3.44,1.68,51.4,25.1,43.7,21.3,49.5,13.9,36.5
DO.0049,F,G7,LGDO-F-10,6/25/2011,8/21/2012,423,FCM (M) 59wks,89.9,53.3,60.2,1.58,0.95,60.2,36.2,36.1,21.7,47,9.61,43.4
DO.0050,F,G7,LGDO-F-10,6/29/2011,2/14/2012,230,FCM (M) 33wks,94.1,83.3,14.6,18.8,2.75,52.9,7.72,25,3.64,48.2,15.4,36.5
DO.0050,F,G7,LGDO-F-10,6/29/2011,8/21/2012,419,FCM (M) 59wks,93.1,67.4,20.3,22.4,4.55,42.5,8.64,32.1,6.54,65.2,6.48,28.3
DO.0050,F,G7,LGDO-F-10,6/29/2011,2/19/2013,601,FCM (M) 85wks,98.3,53,41.6,13.9,5.78,45.6,19,38.3,15.9,56.5,7.2,36.3
DO.0051,F,G7,LGDO-F-11,6/30/2011,2/21/2012,236,FCM (M) 33wks,92.8,70.7,13,5.42,0.7,51.1,6.63,42.1,5.45,57.2,4.43,38.3
DO.0051,F,G7,LGDO-F-11,6/30/2011,8/21/2012,418,FCM (M) 59wks,91.6,70.8,20.3,12.9,2.62,55.3,11.2,30.1,6.1,55.6,5.9,38.5
DO.0051,F,G7,LGDO-F-11,6/30/2011,2/19/2013,600,FCM (M) 85wks,93.5,78.7,65.2,2.53,1.65,79.8,52,17,11.1,35.7,22,42.3
DO.0052,F,G7,LGDO-F-11,6/25/2011,2/14/2012,234,FCM (M) 33wks,94.8,81.8,6.28,10.6,0.66,48.2,3.02,38,2.38,38.2,22.9,38.9
DO.0052,F,G7,LGDO-F-11,6/25/2011,8/21/2012,423,FCM (M) 59wks,93.5,63,16.8,10.3,1.72,49.5,8.32,38.5,6.46,47.2,16.6,36.2
DO.0052,F,G7,LGDO-F-11,6/25/2011,2/19/2013,605,FCM (M) 85wks,96.3,69.6,20,2.14,0.43,64.7,12.9,32.4,6.46,36.6,36.2,27.2
DO.0053,F,G7,LGDO-F-11A,6/27/2011,2/14/2012,232,FCM (M) 33wks,94.7,85.3,37.2,9.89,3.68,45.5,16.9,41.2,15.3,52.9,9.99,37.2
DO.0053,F,G7,LGDO-F-11A,6/27/2011,8/21/2012,421,FCM (M) 59wks,91.7,79.6,62.5,7.07,4.42,41.4,25.9,50.2,31.4,43.9,6.94,49.1
DO.0053,F,G7,LGDO-F-11A,6/27/2011,2/19/2013,603,FCM (M) 85wks,96,88.8,87,4.38,3.81,78.3,68.1,16.4,14.2,60.3,30.8,8.84
DO.0054,F,G7,LGDO-F-11,6/29/2011,2/14/2012,230,FCM (M) 33wks,92.9,78.3,10,25.7,2.58,30.2,3.03,41.1,4.13,40.2,13.4,46.4
DO.0054,F,G7,LGDO-F-11,6/29/2011,8/21/2012,419,FCM (M) 59wks,91.7,77.4,13.6,22.2,3.02,49.9,6.78,26.4,3.59,52.3,8.34,39.4
DO.0054,F,G7,LGDO-F-11,6/29/2011,2/19/2013,601,FCM (M) 85wks,96.8,69,23.6,10.1,2.39,54.4,12.8,34.5,8.15,55.6,12.1,32.3
DO.0055,F,G7,LGDO-F-11,7/1/2011,2/21/2012,235,FCM (M) 33wks,92.2,56.5,18.2,1.82,0.33,58.2,10.6,38,6.93,45.8,5.85,48.4
DO.0055,F,G7,LGDO-F-11,7/1/2011,8/21/2012,417,FCM (M) 59wks,90.3,61.7,33.4,3.27,1.09,71.5,23.9,23.8,7.93,60.3,4.84,34.9
DO.0055,F,G7,LGDO-F-11,7/1/2011,2/19/2013,599,FCM (M) 85wks,97.1,50.8,49.6,2.91,1.44,56.6,28,39.7,19.7,36.2,3.89,59.9
DO.0056,F,G7,LGDO-F-12,7/1/2011,2/21/2012,235,FCM (M) 33wks,91.7,55.9,16.7,4.4,0.74,35.5,5.94,53.2,8.9,19.5,37,43.4
DO.0056,F,G7,LGDO-F-12,7/1/2011,8/21/2012,417,FCM (M) 59wks,90.8,45.8,23.7,2.98,0.71,44.8,10.6,51.5,12.2,23.6,34.8,41.6
DO.0057,F,G7,LGDO-F-12,6/28/2011,2/14/2012,231,FCM (M) 33wks,94.5,74.1,12.7,10.9,1.37,53.6,6.78,31.3,3.96,50.7,14.1,35.2
DO.0057,F,G7,LGDO-F-12,6/28/2011,8/21/2012,420,FCM (M) 59wks,95.6,65.6,15.9,9.88,1.57,64.5,10.2,23,3.64,66.4,5.38,28.3
DO.0057,F,G7,LGDO-F-12,6/28/2011,2/19/2013,602,FCM (M) 85wks,96.8,67.3,18.2,8.31,1.51,74.4,13.6,15.2,2.78,62.6,5.24,32.2
DO.0058,F,G7,LGDO-F-12,6/26/2011,2/14/2012,233,FCM (M) 33wks,94.6,75.5,21.2,18.6,3.93,44.3,9.38,34.5,7.3,40.6,10.3,49.1
DO.0058,F,G7,LGDO-F-12,6/26/2011,8/21/2012,422,FCM (M) 59wks,90.5,70,36.7,8.81,3.23,27.5,10.1,60.9,22.3,28.9,8.72,62.4
DO.0059,F,G7,LGDO-F-12,6/29/2011,2/14/2012,230,FCM (M) 33wks,94.3,81.6,8.56,16.5,1.41,42.7,3.65,38.1,3.26,39,11.9,49
