Mouse.ID,Sex,Generation,penName,DOB,Exp.Date,Age.at.Exp.Date,Test.Name,Camera,TST.Duration.Start.1.00,TST.Duration.1.2,TST.Duration.2.3,TST.Duration.3.4,TST.Duration.4.5
DO.0732,F,G9,CSDO-F-27,2/20/2012,2/28/2013,NA,Tail Suspension,2,9.87654,37.4708,35.3554,45.2853,51.8919
DO.0735,F,G9,CSDO-F-27,2/22/2012,2/28/2013,NA,Tail Suspension,1,8.97564,24.4044,35.322,39.5662,36.4765
DO.0738,F,G9,CSDO-F-28,2/22/2012,3/14/2013,NA,Tail Suspension,1,1.33467,15.5622,33.1532,27.1605,34.668
DO.0740,F,G9,CSDO-F-28,2/21/2012,3/14/2013,NA,Tail Suspension,1,3.87053,23.637,30.3704,35.976,43.3167
DO.0741,F,G9,CSDO-F-29,2/22/2012,9/5/2013,NA,Tail Suspension,1,3.00294,19.7685,24.4986,45.1855,31.2656
DO.0742,F,G9,CSDO-F-29,2/20/2012,9/5/2013,NA,Tail Suspension,2,0.266928,1.20118,4.27085,14.1122,41.876
DO.0743,F,G9,CSDO-F-29,2/22/2012,9/5/2013,NA,Tail Suspension,1,0.734052,4.60451,11.8354,24.7338,15.388
DO.0744,F,G9,CSDO-F-29,2/19/2012,9/5/2013,NA,Tail Suspension,2,3.54473,32.5064,28.2118,35.7333,30.8381
DO.0745,F,G9,CSDO-F-29,2/19/2012,9/5/2013,NA,Tail Suspension,1,0.400392,23.4897,37.7941,59.0658,50.6846
DO.0746,F,G9,CSDO-F-30,2/20/2012,3/7/2013,NA,Tail Suspension,2,2.06873,3.03637,4.53787,16.5833,20.8208
DO.0748,F,G9,CSDO-F-30,2/22/2012,3/7/2013,NA,Tail Suspension,1,4.07075,5.005,10.1969,18.2649,5.07173
DO.0752,F,G9,CSDO-F-31,2/19/2012,8/29/2013,NA,Tail Suspension,2,1.40137,0.600588,2.82654,13.0874,23.8583
DO.0753,F,G9,CSDO-F-31,2/20/2012,8/29/2013,NA,Tail Suspension,1,6.20608,20.1689,21.2049,26.5593,33.0053
DO.0754,F,G9,CSDO-F-31,2/19/2012,8/29/2013,NA,Tail Suspension,2,3.1364,23.0384,30.6379,30.3043,15.7838
DO.0755,F,G9,CSDO-F-31,2/19/2012,8/29/2013,NA,Tail Suspension,1,0.400392,1.08358,3.32074,6.00588,13.1191
DO.0759,F,G9,CSDO-F-32,2/20/2012,3/7/2013,NA,Tail Suspension,1,4.30431,8.47514,12.8128,22.656,7.90791
DO.0760,F,G9,CSDO-F-32,2/20/2012,3/7/2013,NA,Tail Suspension,2,6.84017,36.383,46.4198,50.357,57.5309
DO.0763,F,G9,CSDO-F-33,2/19/2012,9/5/2013,NA,Tail Suspension,1,0.133464,0.600588,3.60353,0.600588,1.00098
DO.0765,F,G9,CSDO-F-33,2/18/2012,9/5/2013,NA,Tail Suspension,2,6.60647,28.9108,18.4022,32.8639,14.689
DO.0766,F,G9,CSDO-F-34,2/22/2012,9/12/2013,NA,Tail Suspension,1,3.26987,6.73993,31.2544,33.142,4.33758
DO.0767,F,G9,CSDO-F-34,2/21/2012,9/12/2013,NA,Tail Suspension,2,1.73503,24.7734,30.0373,23.3641,37.5113
DO.0768,F,G9,CSDO-F-34,2/20/2012,9/12/2013,NA,Tail Suspension,1,0.934248,14.8145,27.851,36.2434,43.5839
DO.0769,F,G9,CSDO-F-34,2/22/2012,9/12/2013,NA,Tail Suspension,2,0.533856,1.80176,15.906,10.7868,34.5672
DO.0770,F,G9,CSDO-F-34,2/20/2012,9/12/2013,NA,Tail Suspension,1,1.33464,8.07457,31.9646,28.7932,21.9898
DO.0771,F,G9,CSDO-F-35,2/19/2012,3/7/2013,NA,Tail Suspension,1,4.57124,17.9513,18.2049,38.2849,24.4578
DO.0774,F,G9,CSDO-F-35,2/21/2012,3/7/2013,NA,Tail Suspension,2,8.27494,8.92226,22.2956,19.9666,23.2232
DO.0776,F,G9,CSDO-F-36,2/23/2012,8/29/2013,NA,Tail Suspension,1,8.27477,34.0492,26.3671,35.9765,42.0762
DO.0777,F,G9,CSDO-F-36,2/20/2012,8/29/2013,NA,Tail Suspension,2,0.600588,17.2169,19.3523,9.8096,39.5053
DO.0779,F,G9,CSDO-F-36,2/22/2012,8/29/2013,NA,Tail Suspension,1,0.400392,1.06771,4.13738,1.00098,16.5892
DO.0780,F,G9,CSDO-F-36,2/22/2012,8/29/2013,NA,Tail Suspension,2,3.0776,4.79677,37.9276,45.2522,23.7645
DO.0781,F,G10,CSDO-F-37,5/18/2012,11/21/2013,NA,Tail Suspension,2,0.200196,NA,0.066732,0.400392,0.400392
DO.0782,F,G10,CSDO-F-37,5/17/2012,11/21/2013,NA,Tail Suspension,1,3.54473,23.0146,43.576,8.50669,38.0452
DO.0783,F,G10,CSDO-F-37,5/16/2012,11/21/2013,NA,Tail Suspension,2,5.0049,24.3063,35.4426,50.3906,40.3411
DO.0784,F,G10,CSDO-F-37,5/15/2012,11/21/2013,NA,Tail Suspension,1,0.266928,0.66732,1.4681,4.63624,29.4367
DO.0785,F,G10,CSDO-F-37,5/15/2012,11/21/2013,NA,Tail Suspension,2,4.53778,16.1491,25.2914,37.4016,16.4511
DO.0791,F,G10,CSDO-F-39,5/15/2012,12/5/2013,NA,Tail Suspension,2,0.133464,3.40333,36.3022,9.64114,41.315
DO.0792,F,G10,CSDO-F-39,5/12/2012,12/5/2013,NA,Tail Suspension,1,4.60451,28.3102,12.7299,49.2799,51.6585
DO.0793,F,G10,CSDO-F-39,5/15/2012,12/5/2013,NA,Tail Suspension,2,20.0275,19.9449,41.798,41.8839,48.4871
DO.0794,F,G10,CSDO-F-39,5/17/2012,12/5/2013,NA,Tail Suspension,1,2.06869,23.5564,36.8599,48.9225,51.3248
DO.0795,F,G10,CSDO-F-39,5/16/2012,12/5/2013,NA,Tail Suspension,2,2.40235,4.27085,39.2622,48.0232,1.93523
DO.0796,F,G10,CSDO-F-40,5/15/2012,6/27/2013,NA,Tail Suspension,1,0.200199,15.281945,25.178512,34.214214,33.8672
DO.0797,F,G10,CSDO-F-40,5/16/2012,6/27/2013,NA,Tail Suspension,2,3.336672,26.773436,36.823491,41.93527,41.748409
DO.0798,F,G10,CSDO-F-40,5/16/2012,6/27/2013,NA,Tail Suspension,1,8.475141,23.036375,29.816485,31.925261,38.611945
DO.0799,F,G10,CSDO-F-40,5/17/2012,6/27/2013,NA,Tail Suspension,2,0.066733,1.935268,2.068735,25.719058,43.083082
DO.0800,F,G10,CSDO-F-40,5/12/2012,6/27/2013,NA,Tail Suspension,1,3.33667,20.553915,30.630644,27.787783,59.866533
DO.0801,F,G10,CSDO-F-41,5/15/2012,12/20/2012,NA,Tail Suspension,1,11.1445,43.5235,50.7241,56.6633,53.0597
DO.0802,F,G10,CSDO-F-41,5/15/2012,12/20/2012,NA,Tail Suspension,2,9.27595,22.2222,29.2493,31.5449,29.5295
DO.0803,F,G10,CSDO-F-41,5/16/2012,12/20/2012,NA,Tail Suspension,1,26.8669,51.8585,49.336,53.7137,44.0174
DO.0804,F,G10,CSDO-F-41,5/17/2012,12/20/2012,NA,Tail Suspension,2,9.40941,14.8148,9.00901,13.2799,11.2779
DO.0805,F,G10,CSDO-F-41,5/13/2012,12/20/2012,NA,Tail Suspension,1,13.2466,30.8976,31.9653,33.8338,52.8529
DO.0811,F,G10,CSDO-F-43,5/16/2012,11/21/2013,NA,Tail Suspension,1,0.533856,6.07261,38.6378,22.8223,36.1687
DO.0812,F,G10,CSDO-F-43,5/13/2012,11/21/2013,NA,Tail Suspension,2,7.67418,22.5554,27.9178,41.2483,55.1953
DO.0813,F,G10,CSDO-F-43,5/17/2012,11/21/2013,NA,Tail Suspension,1,0.66732,8.55756,26.4338,22.1312,46.5789
DO.0814,F,G10,CSDO-F-43,5/17/2012,11/21/2013,NA,Tail Suspension,2,0.867516,9.62527,25.3423,22.7206,14.2489
DO.0815,F,G10,CSDO-F-43,5/15/2012,11/21/2013,NA,Tail Suspension,1,1.93523,17.4329,16.9579,44.2863,39.105
DO.0816,F,G10,CSDO-F-44,5/14/2012,12/5/2013,NA,Tail Suspension,1,0.066732,21.7546,37.1935,59.3327,59.9333
DO.0817,F,G10,CSDO-F-44,5/13/2012,12/5/2013,NA,Tail Suspension,2,1.00098,8.1413,31.8979,44.4752,31.1988
DO.0818,F,G10,CSDO-F-44,5/9/2012,12/5/2013,NA,Tail Suspension,1,2.46908,29.7116,30.2375,37.4129,11.3841
DO.0821,F,G10,CSDO-F-45,5/13/2012,6/27/2013,NA,Tail Suspension,1,26.366363,43.169836,50.537208,41.781781,56.796796
DO.0822,F,G10,CSDO-F-45,5/13/2012,6/27/2013,NA,Tail Suspension,2,NA,0.2002,0.400401,1.161163,10.283619
DO.0823,F,G10,CSDO-F-45,5/15/2012,6/27/2013,NA,Tail Suspension,1,0.333668,4.604595,2.869542,19.979976,13.787117
DO.0824,F,G10,CSDO-F-45,5/12/2012,6/27/2013,NA,Tail Suspension,2,19.55289,25.972639,34.307641,40.113464,30.83751
DO.0825,F,G10,CSDO-F-45,5/15/2012,6/27/2013,NA,Tail Suspension,1,0.934265,17.697695,22.028699,30.543875,37.671009
DO.0826,F,G10,CSDO-F-46,5/12/2012,6/20/2013,NA,Tail Suspension,1,5.405406,28.895562,26.646641,34.841511,48.922253
DO.0827,F,G10,CSDO-F-46,5/16/2012,6/20/2013,NA,Tail Suspension,2,5.405415,28.241571,25.612283,15.575568,54.227559
DO.0828,F,G10,CSDO-F-46,5/17/2012,6/20/2013,NA,Tail Suspension,1,3.410076,31.02436,18.218217,56.216216,26.56656
DO.0829,F,G10,CSDO-F-46,5/13/2012,6/20/2013,NA,Tail Suspension,2,2.869543,15.281932,36.589912,29.302637,32.906204
DO.0830,F,G10,CSDO-F-46,5/15/2012,6/20/2013,NA,Tail Suspension,1,3.276611,20.41375,39.793128,43.516851,29.069069
DO.0831,F,G10,CSDO-F-47,5/14/2012,12/20/2012,NA,Tail Suspension,2,0.206873,0.593926,0.333667,1.8018,0.667334
DO.0832,F,G10,CSDO-F-47,5/16/2012,12/20/2012,NA,Tail Suspension,1,22.0621,25.4521,17.4374,10.724,13.7471
DO.0833,F,G10,CSDO-F-47,5/13/2012,12/20/2012,NA,Tail Suspension,2,1.66834,6.94028,5.42541,4.05071,6.8068
DO.0834,F,G10,CSDO-F-47,5/11/2012,12/10/2012,NA,Tail Suspension,1,51.2913,58.1982,51.6583,60,55.0617
DO.0835,F,G10,CSDO-F-47,5/10/2012,12/15/2012,NA,Tail Suspension,1,32.3323,19.1658,16.8569,23.5702,29.663
DO.0836,F,G10,CSDO-F-48,5/14/2012,6/20/2013,NA,Tail Suspension,2,1.201204,34.968303,41.261264,51.791792,41.715048
DO.0837,F,G10,CSDO-F-48,5/13/2012,6/20/2013,NA,Tail Suspension,1,0.940944,2.862857,6.07274,33.126455,6.713381
DO.0838,F,G10,CSDO-F-48,5/17/2012,6/20/2013,NA,Tail Suspension,2,16.956957,34.841503,28.635306,43.22322,35.535539
DO.0839,F,G10,CSDO-F-48,5/14/2012,6/20/2013,NA,Tail Suspension,1,6.880211,19.959961,18.738738,29.429429,5.605602
DO.0907,M,G8,CSDO-M-14,10/26/2011,11/15/2012,NA,Tail Suspension,1,4.23757,9.87654,10.1435,6.97364,9.34267
DO.0908,M,G8,CSDO-M-14,10/23/2011,11/29/2012,NA,Tail Suspension,1,2.2022,6.53988,3.4034,4.67134,4.13747
DO.0911,M,G8,CSDO-M-15,10/24/2011,11/15/2012,NA,Tail Suspension,1,12.3457,16.4965,13.8005,24.5846,39.1124
DO.0916,M,G8,CSDO-M-16,10/23/2011,11/15/2012,NA,Tail Suspension,1,4.57124,6.87353,6.00601,14.5812,6.97363
DO.0919,M,G8,CSDO-M-16,10/25/2011,11/15/2012,NA,Tail Suspension,1,15.1885,13.7738,17.1171,19.9867,18.8856
DO.0920,M,G8,CSDO-M-16,10/22/2011,11/29/2012,NA,Tail Suspension,1,8.07474,7.6076,8.6086,22.7161,17.5242
DO.0921,M,G8,CSDO-M-17A,10/24/2011,5/16/2013,NA,Tail Suspension,1,8.67534,12.7594,15.0017,27.4274,3.003
DO.0922,M,G8,CSDO-M-17B,10/27/2011,5/16/2013,NA,Tail Suspension,1,2.86954,7.14047,41.9086,24.1842,26.333
DO.0924,M,G8,CSDO-M-17,10/25/2011,11/29/2012,NA,Tail Suspension,1,3.26994,11.8252,11.7317,13.8138,27.5609
DO.0926,M,G8,CSDO-M-18,10/24/2011,5/16/2013,NA,Tail Suspension,1,1.80181,20.5539,8.74207,5.47213,3.47014
DO.0927,M,G8,CSDO-M-18,10/23/2011,5/16/2013,NA,Tail Suspension,1,2.46913,16.0828,12.1655,21.8018,24.5579
DO.0929,M,G8,CSDO-M-18,10/26/2011,5/16/2013,NA,Tail Suspension,1,2.6026,11.5449,50.1368,40.1535,34.5679
DO.0930,M,G8,CSDO-M-18,10/23/2011,5/10/2013,NA,Tail Suspension,1,1.53487,6.2062,9.87652,48.4084,48.7554
DO.0931,M,G8,CSDO-M-19B,10/26/2011,5/16/2013,NA,Tail Suspension,1,2.33567,12.2256,33.8872,30.6974,12.3457
DO.0932,M,G8,CSDO-M-19,10/22/2011,5/2/2013,NA,Tail Suspension,1,2.86954,7.60761,15.7491,17.2439,22.329
DO.0934,M,G8,CSDO-M-19,10/27/2011,5/2/2013,NA,Tail Suspension,1,1.73507,12.5459,26.9136,17.3307,33.3667
DO.0935,M,G8,CSDO-M-19,10/22/2011,4/26/2013,NA,Tail Suspension,1,0.533866,5.2052,10.8308,19.7998,18.018
DO.0941,M,G8,CSDO-M-21,10/27/2011,5/2/2013,NA,Tail Suspension,1,0.066734,4.60459,0.400399,1.001,33.9673
DO.0943,M,G8,CSDO-M-21,10/24/2011,4/26/2013,NA,Tail Suspension,1,4.80479,33.033,10.0767,26.9203,33.2733
DO.0944,M,G8,CSDO-M-21,10/27/2011,5/2/2013,NA,Tail Suspension,1,3.53689,26.9603,33.3867,16.4231,57.2306
DO.0947,M,G8,CSDO-M-22,10/27/2011,5/10/2013,NA,Tail Suspension,1,6.20621,7.80781,7.74107,12.5726,16.2563
DO.0948,M,G8,CSDO-M-22,10/22/2011,5/7/2013,NA,Tail Suspension,1,4.33767,8.47514,16.7501,8.00801,24.9583
DO.0951,M,G8,CSDO-M-23,10/23/2011,11/15/2012,NA,Tail Suspension,1,15.9159,24.9383,17.1371,20.1868,27.4274
DO.0952,M,G8,CSDO-M-23,10/27/2011,5/2/2013,NA,Tail Suspension,1,8.94228,45.8592,55.5289,33.7071,56.363
DO.0953,M,G8,CSDO-M-23,10/24/2011,5/2/2013,NA,Tail Suspension,1,1.80848,3.33001,20.8875,8.67534,43.31
DO.0954,M,G8,CSDO-M-23,10/24/2011,11/15/2012,NA,Tail Suspension,1,8.3083,22.4691,11.9319,5.27194,5.10511
DO.0955,M,G8,CSDO-M-23,10/26/2011,5/2/2013,NA,Tail Suspension,1,0.266934,2.34902,6.59326,0.734069,NA
DO.0956,M,G8,CSDO-M-24,10/23/2011,11/29/2012,NA,Tail Suspension,1,0.333667,1.86854,9.07574,5.27195,2.2022
DO.0959,M,G8,CSDO-M-24,10/27/2011,11/29/2012,NA,Tail Suspension,1,0.333668,4.47113,6.94028,6.47314,9.50951
DO.0962,M,G9,CSDO-M-25C,2/24/2012,8/29/2013,NA,Tail Suspension,2,19.8273,50.8577,44.3609,40.805,55.9564
DO.0963,M,G9,CSDO-M-25,2/19/2012,8/29/2013,NA,Tail Suspension,2,1.4681,14.1472,10.4769,17.2169,8.1413
DO.0964,M,G9,CSDO-M-25D,2/21/2012,8/29/2013,NA,Tail Suspension,1,19.3523,25.2247,44.6675,50.9244,24.0585
DO.0967,M,G9,CSDO-M-26B,2/18/2012,9/12/2013,NA,Tail Suspension,2,2.60255,19.2188,33.2993,25.0245,27.7334
DO.0969,M,G9,CSDO-M-26,2/21/2012,9/12/2013,NA,Tail Suspension,1,0.66732,41.1895,50.4573,59.1325,49.6836
DO.0970,M,G9,CSDO-M-26,2/21/2012,9/12/2013,NA,Tail Suspension,2,30.1041,52.526,46.3199,49.79,54.0609
DO.0971,M,G9,CSDO-M-27,2/20/2012,3/7/2013,NA,Tail Suspension,2,4.14415,9.76977,8.79546,23.1298,32.6059
DO.0972,M,G9,CSDO-M-27A,2/21/2012,9/12/2013,NA,Tail Suspension,1,7.81558,15.207,26.4926,11.4429,32.1998
DO.0973,M,G9,CSDO-M-27,2/22/2012,3/7/2013,NA,Tail Suspension,2,4.5045,27.7077,53.4735,40.7007,7.5809
DO.0974,M,G9,CSDO-M-27,2/19/2012,3/7/2013,NA,Tail Suspension,1,4.43777,5.8058,13.013,14.648,14.1475
DO.0975,M,G9,CSDO-M-27,2/23/2012,3/7/2013,NA,Tail Suspension,1,3.3033,6.87355,5.23857,13.1465,8.20822
DO.0976,M,G9,CSDO-M-28,2/23/2012,8/29/2013,NA,Tail Suspension,1,8.74189,5.27183,31.588,26.0334,29.1969
DO.0977,M,G9,CSDO-M-28,2/19/2012,8/29/2013,NA,Tail Suspension,2,0.533856,0.934248,11.3682,23.4309,20.3883
DO.0978,M,G9,CSDO-M-28,2/21/2012,8/29/2013,NA,Tail Suspension,1,5.27183,5.67222,9.74287,30.0961,22.0612
DO.0979,M,G9,CSDO-M-28,2/22/2012,8/29/2013,NA,Tail Suspension,2,1.00098,4.93817,1.6683,14.0137,5.47202
DO.0980,M,G9,CSDO-M-28,2/18/2012,8/29/2013,NA,Tail Suspension,1,0.533856,2.13542,3.26987,29.5623,11.211
DO.0981,M,G9,CSDO-M-29,2/20/2012,2/28/2013,NA,Tail Suspension,1,7.54088,10.7774,18.1515,30.6306,37.5709
DO.0982,M,G9,CSDO-M-29A,2/20/2012,2/28/2013,NA,Tail Suspension,2,4.37104,11.9453,19.8532,23.617,22.8962
DO.0983,M,G9,CSDO-M-29A,2/20/2012,2/28/2013,NA,Tail Suspension,1,2.3023,7.4074,10.2102,14.7481,18.4852
DO.0984,M,G9,CSDO-M-29,2/22/2012,2/28/2013,NA,Tail Suspension,1,8.04138,29.4294,18.018,47.6143,18.285
DO.0985,M,G9,CSDO-M-29,2/22/2012,2/28/2013,NA,Tail Suspension,2,15.1151,26.6066,39.1058,31.5248,32.9062
DO.0987,M,G9,CSDO-M-30,2/21/2012,3/14/2013,NA,Tail Suspension,1,3.2032,6.01935,17.4041,35.3287,36.977
DO.0993,M,G9,CSDO-M-31,2/23/2012,2/28/2013,NA,Tail Suspension,1,6.67333,8.5085,12.2122,20.287,33.033
DO.0996,M,G9,CSDO-M-32,2/21/2012,3/14/2013,NA,Tail Suspension,1,1.66834,21.6216,20.5739,47.027,36.0027
DO.1000,M,G9,CSDO-M-32,2/21/2012,3/14/2013,NA,Tail Suspension,1,4.67135,6.00601,21.2412,41.7551,36.7367
DO.1001,M,G9,CSDO-33C,2/18/2012,2/28/2013,NA,Tail Suspension,1,10.644,10.7107,14.8148,12.5792,17.017
DO.1002,M,G9,CSDO-M-33,2/20/2012,9/5/2013,NA,Tail Suspension,1,4.53778,21.8214,25.7586,40.0709,38.4059
DO.1003,M,G9,CSDO-M-33B,2/19/2012,9/5/2013,NA,Tail Suspension,2,2.53582,17.6331,4.58864,27.1599,10.6771
DO.1006,M,G9,CSDO-M-34,2/23/2012,9/12/2013,NA,Tail Suspension,2,2.80274,9.07555,16.5066,40.2473,34.5751
DO.1007,M,G9,CSDO-M-34,2/21/2012,9/12/2013,NA,Tail Suspension,1,0.33366,14.948,16.4828,5.53876,44.283
DO.1008,M,G9,CSDO-M-34A,2/24/2012,9/12/2013,NA,Tail Suspension,2,4.34551,13.0715,24.0903,24.6241,32.4318
DO.1010,M,G9,CSDO-M-34,2/23/2012,9/12/2013,NA,Tail Suspension,2,0.867516,6.6732,9.94307,16.3143,6.50801
DO.1011,M,G9,CSDO-M-35B,2/18/2012,9/12/2013,NA,Tail Suspension,1,0.066732,0.200196,3.60353,5.47202,6.33954
DO.1015,M,G9,CSDO-M-35A,2/19/2012,9/12/2013,NA,Tail Suspension,1,3.3366,9.47594,3.93719,27.3601,19.3919
DO.1016,M,G9,CSDO-M-36,2/22/2012,9/5/2013,NA,Tail Suspension,2,4.73797,34.7674,25.6918,42.6735,54.5947
DO.1017,M,G9,CSDO-M-36A,2/18/2012,9/5/2013,NA,Tail Suspension,2,2.73601,9.15815,27.4777,26.0255,26.2653
DO.1018,M,G9,CSDO-M-36B,2/19/2012,9/5/2013,NA,Tail Suspension,1,6.53974,19.0186,35.8589,30.1041,32.1998
DO.1019,M,G9,CSDO-M-36,2/20/2012,9/5/2013,NA,Tail Suspension,1,0.266928,2.60255,18.2416,27.1361,19.3919
DO.1020,M,G9,CSDO-M-36,2/20/2012,9/5/2013,NA,Tail Suspension,2,11.5446,35.1169,29.6799,36.1337,55.9961
DO.1021,M,G10,CSDO-M-37,5/15/2012,6/20/2013,NA,Tail Suspension,2,0.2002,10.757422,24.230894,33.279949,39.139143
DO.1022,M,G10,CSDO-M-37A,5/15/2012,6/20/2013,NA,Tail Suspension,1,0.8008,1.134466,11.678346,0.667336,5.338673
DO.1023,M,G10,CSDO-M-37B,5/17/2012,6/20/2013,NA,Tail Suspension,1,2.47581,13.07307,16.349687,30.256918,45.25192
DO.1024,M,G10,CSDO-M-37,5/17/2012,6/20/2013,NA,Tail Suspension,2,0.867533,15.882546,23.710382,48.788787,43.550216
DO.1025,M,G10,CSDO-M-37,5/13/2012,6/20/2013,NA,Tail Suspension,2,1.334668,6.53987,16.016014,51.611609,56.196197
DO.1026,M,G10,CSDO-M-38A,5/14/2012,6/14/2013,NA,Tail Suspension,2,0.467137,7.073746,8.141471,16.64331,19.49283
DO.1027,M,G10,CSDO-M-38,5/16/2012,6/20/2013,NA,Tail Suspension,2,2.936266,17.61762,38.458456,28.875547,37.63764
DO.1028,M,G10,CSDO-M-38A,5/15/2012,6/20/2013,NA,Tail Suspension,1,1.468127,1.334673,5.939274,4.030692,6.71338
DO.1029,M,G10,CSDO-M-38B,5/15/2012,6/20/2013,NA,Tail Suspension,1,8.548546,19.426094,37.644313,31.771772,36.376375
DO.1031,M,G10,CSDO-M-39,5/16/2012,11/21/2013,NA,Tail Suspension,2,1.13444,15.9489,5.13836,32.0631,24.7926
DO.1032,M,G10,CSDO-M-39,5/13/2012,11/21/2013,NA,Tail Suspension,1,10.21,24.4906,42.1984,34.5084,40.5413
DO.1033,M,G10,CSDO-M-39,5/15/2012,11/21/2013,NA,Tail Suspension,2,7.34052,16.0315,47.2542,35.4426,40.0742
DO.1035,M,G10,CSDO-M-39,5/15/2012,11/21/2013,NA,Tail Suspension,1,3.60353,12.7617,25.7665,55.4622,55.7292
