Mouse.ID,Sex,Generation,penName,DOB,Exp.Date,Age.at.Exp.Date,Test.Name,BMD,BMC,X..Fat,TTM,Total.Lean,VTB.ROI.BMD,VTB.ROI.BMC,VTB.ROI...Fat,VTB.ROI.TTM,VTB.ROI.Lean,BW
DO.0710,F,G8,CSDO-F-22,10/22/2011,5/3/2013,559,Pixi 78wks,0.0599,0.5943,38.84,41.59,25.4,0.0745,0.0141,25.9,0.39,0.3,40.56
DO.0711,F,G8,CSDO-F-23,10/27/2011,11/10/2012,380,Pixi 52wks,0.0521,0.441,35,31.44,20.4,0.0814,0.014,16.3,0.3,0.3,30.17
DO.0712,F,G8,CSDO-F-23,10/22/2011,4/26/2013,552,Pixi 78wks,0.0575,0.5254,43.79,47.06,26.5,0.0735,0.0137,29.49,0.37,0.3,46.59
DO.0713,F,G8,CSDO-F-23,10/24/2011,4/26/2013,550,Pixi 78wks,0.0539,0.4778,19.15,24.38,19.7,0.0639,0.0112,9.58,0.29,0.3,24.77
DO.0714,F,G8,CSDO-F-23,10/27/2011,4/26/2013,547,Pixi 78wks,0.0589,0.5394,25.87,32.33,24,0.1076,0.0201,11.67,0.3,0.3,32.72
DO.0715,F,G8,CSDO-F-23,10/25/2011,4/26/2013,549,Pixi 78wks,0.0521,0.6388,55.22,51.45,23,0.0535,0.01,40.36,0.37,0.2,50.62
DO.0716,F,G8,CSDO-F-24,10/25/2011,11/10/2012,382,Pixi 52wks,0.0609,0.728,45,46.46,25.6,0.1057,0.02,26.4,0.4,0.3,44.93
DO.0717,F,G8,CSDO-F-24,10/22/2011,11/21/2012,396,Pixi 52wks,0.0603,0.6665,36.94,37.62,23.7,0.0914,0.0171,31.1,0.34,0.2,37.49
DO.0718,F,G8,CSDO-F-24,10/25/2011,11/21/2012,393,Pixi 52wks,0.0482,0.4534,37.56,35.43,22.1,0.0702,0.0109,27.1,0.27,0.2,35.12
DO.0719,F,G8,CSDO-F-24,10/23/2011,11/21/2012,395,Pixi 52wks,0.0569,0.5662,44.47,43.51,24.2,0.0659,0.0123,28.57,0.36,0.3,42.89
DO.0721,F,G9,CSDO-F-25,2/21/2012,2/22/2013,367,Pixi 52wks,0.0537,0.723,53.9,40.42,18.6,0.0822,0.016,44.9,0.35,0.2,40.89
DO.0722,F,G9,CSDO-F-25,2/22/2012,2/22/2013,366,Pixi 52wks,0.0418,0.406,13.8,26.45,22.8,0.06,0.012,6.2,0.34,0.3,26.7
DO.0723,F,G9,CSDO-F-25,2/19/2012,2/22/2013,369,Pixi 52wks,0.0575,0.558,13.9,24.54,21.1,0.0784,0.015,8.3,0.34,0.3,25.35
DO.0725,F,G9,CSDO-F-25,2/21/2012,2/22/2013,367,Pixi 52wks,0.0613,0.567,32.8,36.93,24.8,0.1092,0.02,18.8,0.34,0.3,36.93
DO.0726,F,G9,CSDO-F-26,2/19/2012,3/8/2013,383,Pixi 52wks,0.0568,0.577,45.35,51.38,28.1,0.06,0.0111,30.86,0.4,0.3,50.27
DO.0727,F,G9,CSDO-F-26,2/20/2012,3/8/2013,382,Pixi 52wks,0.0533,0.5114,40.46,35.58,21.2,0.0699,0.0132,30.13,0.34,0.2,35.53
DO.0728,F,G9,CSDO-F-26,2/20/2012,3/8/2013,382,Pixi 52wks,0.0542,0.5534,11.42,22.12,19.6,0.0892,0.0167,0.81,0.29,0.3,23.09
DO.0729,F,G9,CSDO-F-26,2/22/2012,3/8/2013,380,Pixi 52wks,0.0611,0.5413,30.49,32.97,22.9,0.0839,0.0157,21.61,0.39,0.3,30.75
DO.0730,F,G9,CSDO-F-26,2/20/2012,3/8/2013,382,Pixi 52wks,0.0551,0.5444,14.44,28.23,24.2,0.0804,0.015,6.3,0.33,0.3,28.83
DO.0731,F,G9,CSDO-F-27,2/20/2012,2/22/2013,368,Pixi 52wks,0.0596,0.568,24.8,30.27,22.8,0.1105,0.021,16.7,0.33,0.3,30.81
DO.0732,F,G9,CSDO-F-27,2/20/2012,2/22/2013,368,Pixi 52wks,0.0532,0.385,32.1,23.69,16.1,0.0709,0.014,22.4,0.31,0.2,23.3
DO.0735,F,G9,CSDO-F-27,2/22/2012,2/22/2013,366,Pixi 52wks,0.0611,0.565,24,27.56,20.9,0.1004,0.019,17,0.33,0.3,28.15
DO.0736,F,G9,CSDO-F-28,2/23/2012,3/8/2013,379,Pixi 52wks,0.0529,0.4406,27.37,24.45,17.8,0.0775,0.0145,9.72,0.32,0.3,24.68
DO.0737,F,G9,CSDO-F-28,2/21/2012,3/8/2013,381,Pixi 52wks,0.0558,0.5249,15.09,28.07,23.8,0.0882,0.0168,9.03,0.33,0.3,27.83
DO.0738,F,G9,CSDO-F-28,2/22/2012,3/8/2013,380,Pixi 52wks,0.0584,0.5391,32.39,37.03,25,0.0739,0.013,21.98,0.32,0.3,35.21
DO.0739,F,G9,CSDO-F-28,2/21/2012,3/8/2013,381,Pixi 52wks,0.0504,0.4311,34.05,30.03,19.8,0.061,0.0114,21.68,0.33,0.3,29.56
DO.0740,F,G9,CSDO-F-28,2/21/2012,3/8/2013,381,Pixi 52wks,0.0533,0.708,49.56,34.32,17.3,0.0742,0.0139,39.03,0.34,0.2,34.13
DO.0741,F,G9,CSDO-F-29,2/22/2012,8/30/2013,555,Pixi 78wks,0.0554,0.4663,32.4,28.57,19.3,0.0845,0.0162,18.91,0.32,0.3,28.12
DO.0742,F,G9,CSDO-F-29,2/20/2012,8/30/2013,557,Pixi 78wks,0.0508,0.4947,26.71,32.34,23.7,0.0568,0.0114,15.83,0.39,0.3,32.43
DO.0743,F,G9,CSDO-F-29,2/22/2012,8/30/2013,555,Pixi 78wks,0.0482,0.5009,13.24,27.67,24,0.0574,0.011,3.59,0.34,0.3,28.62
DO.0744,F,G9,CSDO-F-29,2/19/2012,8/30/2013,558,Pixi 78wks,0.0368,0.3279,8.51,22.41,20.5,0.0435,0.0085,1.61,0.32,0.3,22.65
DO.0745,F,G9,CSDO-F-29,2/19/2012,8/30/2013,558,Pixi 78wks,0.0529,0.4699,27.87,26.56,19.2,0.0787,0.0145,17.15,0.33,0.3,26.37
DO.0746,F,G9,CSDO-F-30,2/20/2012,3/1/2013,375,Pixi 52wks,0.0549,0.5458,25.97,32.11,23.8,0.1031,0.0193,10.59,0.31,0.3,31.95
DO.0747,F,G9,CSDO-F-30,2/22/2012,3/1/2013,373,Pixi 52wks,0.0529,0.5118,28.5,38.45,27.5,0.045,0.0081,17.04,0.38,0.3,35.76
DO.0748,F,G9,CSDO-F-30,2/22/2012,3/1/2013,373,Pixi 52wks,0.0573,0.5372,21.64,28.08,22,0.0718,0.0137,11.05,0.36,0.3,28.15
DO.0750,F,G9,CSDO-F-30,2/22/2012,3/1/2013,373,Pixi 52wks,0.0651,0.6812,17.47,29.9,24.7,0.122,0.0228,7.94,0.33,0.3,30.7
DO.0752,F,G9,CSDO-F-31,2/19/2012,8/23/2013,551,Pixi 78wks,0.0476,0.3391,38.77,36.4,22.3,0.0322,0.0055,8.42,0.41,0.4,36.01
DO.0753,F,G9,CSDO-F-31,2/20/2012,8/23/2013,550,Pixi 78wks,0.0586,0.6362,13.28,45.04,39.1,0.0766,0.0175,5.83,0.47,0.4,44.27
DO.0754,F,G9,CSDO-F-31,2/19/2012,8/23/2013,551,Pixi 78wks,0.0537,0.551,41.44,38.84,22.7,0.0799,0.0185,28.78,0.43,0.3,38.53
DO.0755,F,G9,CSDO-F-31,2/19/2012,8/23/2013,551,Pixi 78wks,0.0556,0.5247,22.54,30.06,23.3,0.0749,0.0144,11.18,0.35,0.3,30.71
DO.0756,F,G9,CSDO-F-32,2/22/2012,3/1/2013,373,Pixi 52wks,0.0546,0.5742,36.86,36.94,23.3,0.0721,0.0133,25.13,0.32,0.2,36.97
DO.0757,F,G9,CSDO-F-32,2/18/2012,3/1/2013,377,Pixi 52wks,0.0588,0.6138,17.89,21.73,17.8,0.1041,0.0183,10.56,0.31,0.3,22.51
DO.0758,F,G9,CSDO-F-32,2/19/2012,3/1/2013,376,Pixi 52wks,0.0521,0.4407,11.72,18.72,16.5,0.0764,0.0143,1.76,0.28,0.3,19.63
DO.0759,F,G9,CSDO-F-32,2/20/2012,3/1/2013,375,Pixi 52wks,0.0523,0.4986,43.24,36.27,20.6,0.0814,0.0152,34.01,0.34,0.2,35.8
DO.0760,F,G9,CSDO-F-32,2/20/2012,3/1/2013,375,Pixi 52wks,0.057,0.6062,18.28,26.97,22,0.0852,0.0159,8.39,0.3,0.3,27.81
DO.0762,F,G9,CSDO-F-33,2/18/2012,8/30/2013,559,Pixi 78wks,0.0412,0.3613,7.28,20.8,19.3,0.051,0.0102,0.37,0.38,0.4,21.51
DO.0763,F,G9,CSDO-F-33,2/19/2012,8/30/2013,558,Pixi 78wks,0.0572,0.584,25.13,32.38,24.2,0.072,0.014,14.98,0.35,0.3,32.68
DO.0765,F,G9,CSDO-F-33,2/18/2012,8/30/2013,559,Pixi 78wks,0.0606,0.718,49.18,55.92,28.4,0.0825,0.0161,34.35,0.41,0.3,55.93
DO.0766,F,G9,CSDO-F-34,2/22/2012,9/6/2013,562,Pixi 78wks,0.0389,0.2786,15.66,22.04,18.6,0.0378,0.0071,6.59,0.31,0.3,22.15
DO.0767,F,G9,CSDO-F-34,2/21/2012,9/6/2013,563,Pixi 78wks,0.05,0.4971,42.26,42.67,24.6,0.0535,0.0099,31.82,0.39,0.3,42.48
DO.0768,F,G9,CSDO-F-34,2/20/2012,9/6/2013,564,Pixi 78wks,0.0538,0.5276,37.22,33.43,21,0.0578,0.0108,24.12,0.33,0.2,33.72
DO.0769,F,G9,CSDO-F-34,2/22/2012,9/6/2013,562,Pixi 78wks,0.0499,0.4851,38.88,45.02,27.5,0.0509,0.0095,24.61,0.37,0.3,44.81
DO.0770,F,G9,CSDO-F-34,2/20/2012,9/6/2013,564,Pixi 78wks,0.0494,0.4653,13.59,27.1,23.4,0.0827,0.0155,6.34,0.33,0.3,27.09
DO.0771,F,G9,CSDO-F-35,2/19/2012,3/1/2013,376,Pixi 52wks,0.0569,0.5533,41.58,40.85,23.9,0.0889,0.0166,29.7,0.35,0.2,40.06
DO.0772,F,G9,CSDO-F-35,2/19/2012,3/1/2013,376,Pixi 52wks,0.0633,0.602,34.59,36.28,23.7,0.0911,0.017,22.74,0.36,0.3,36.09
DO.0773,F,G9,CSDO-F-35,2/19/2012,3/1/2013,376,Pixi 52wks,0.0526,0.6099,56.96,48.34,20.8,0.0741,0.0138,47.31,0.37,0.2,46.86
DO.0774,F,G9,CSDO-F-35,2/21/2012,3/1/2013,374,Pixi 52wks,0.0572,0.5411,46.73,48.49,25.8,0.085,0.0161,33.51,0.38,0.3,48.05
DO.0775,F,G9,CSDO-F-35,2/18/2012,3/1/2013,377,Pixi 52wks,0.0492,0.4336,37.96,33.18,20.6,0.0555,0.0106,27.82,0.34,0.2,32.96
DO.0776,F,G9,CSDO-F-36,2/23/2012,8/23/2013,547,Pixi 78wks,0.0614,0.5885,47.01,62.14,32.9,0.0764,0.0148,24.82,0.43,0.3,60.04
DO.0777,F,G9,CSDO-F-36,2/20/2012,8/23/2013,550,Pixi 78wks,0.0549,0.5901,20.1,34.98,27.9,0.0825,0.0161,6.27,0.39,0.4,35.14
DO.0779,F,G9,CSDO-F-36,2/22/2012,8/23/2013,548,Pixi 78wks,0.0474,0.4391,19.22,33.18,26.8,0.0519,0.0101,7.65,0.36,0.3,33.75
DO.0780,F,G9,CSDO-F-36,2/22/2012,8/23/2013,548,Pixi 78wks,0.0534,0.5083,37.03,35.55,22.4,0.0785,0.0153,24.19,0.36,0.3,35.68
DO.0781,F,G10,CSDO-F-37,5/18/2012,11/15/2013,546,Pixi 78wks,0.0592,0.6123,15.82,26.54,22.3,0.1039,0.0194,9.38,0.35,0.3,27.2
DO.0782,F,G10,CSDO-F-37,5/17/2012,11/15/2013,547,Pixi 78wks,0.0509,0.4658,30.61,29.47,20.5,0.0666,0.0124,22,0.35,0.3,29
DO.0783,F,G10,CSDO-F-37,5/16/2012,11/15/2013,548,Pixi 78wks,0.0412,0.448,22.18,37.69,29.3,0.0443,0.0084,5.37,0.35,0.3,38.5
DO.0784,F,G10,CSDO-F-37,5/15/2012,11/15/2013,549,Pixi 78wks,0.048,0.4571,25.86,28.54,21.2,0.0538,0.01,13.68,0.39,0.3,27.7
DO.0785,F,G10,CSDO-F-37,5/15/2012,11/15/2013,549,Pixi 78wks,0.0502,0.4291,35.67,40.68,26.2,0.0598,0.0112,15.38,0.37,0.3,39.9
DO.0786,F,G10,CSDO-F-38,5/12/2012,12/7/2012,209,Pixi 26wks,0.0584,0.7161,41.44,40.27,23.6,0.0786,0.0145,29.82,0.35,0.2,40.62
DO.0787,F,G10,CSDO-F-38,5/15/2012,12/7/2012,206,Pixi 26wks,0.0477,0.4026,8.93,19.05,17.4,0.065,0.0121,0.93,0.32,0.3,19.02
DO.0788,F,G10,CSDO-F-38,5/16/2012,12/7/2012,205,Pixi 26wks,0.0561,0.5183,26.41,29.75,21.9,0.1089,0.0203,13.95,0.34,0.3,30.03
DO.0789,F,G10,CSDO-F-38,5/14/2012,12/7/2012,207,Pixi 26wks,0.053,0.4859,33.97,32.64,21.6,0.0861,0.0161,20.45,0.35,0.3,31.52
DO.0790,F,G10,CSDO-F-38,5/15/2012,12/7/2012,206,Pixi 26wks,0.053,0.4367,52.81,51.39,24.3,0.0773,0.0144,35.76,0.42,0.3,48.36
DO.0791,F,G10,CSDO-F-39,5/15/2012,11/26/2013,560,Pixi 78wks,0.0638,0.793,50.7,34.85,17.2,0.1029,0.0192,43.89,0.38,0.2,34.6
DO.0792,F,G10,CSDO-F-39,5/12/2012,11/26/2013,563,Pixi 78wks,0.0496,0.4588,34.64,35.04,22.9,0.054,0.0099,26.19,0.37,0.3,34.1
DO.0793,F,G10,CSDO-F-39,5/15/2012,11/26/2013,560,Pixi 78wks,0.0527,0.492,38.8,37.47,22.9,0.0597,0.0112,27.34,0.34,0.2,36.9
DO.0794,F,G10,CSDO-F-39,5/17/2012,11/26/2013,558,Pixi 78wks,0.0477,0.5061,14.11,27.78,23.9,0.0755,0.0141,7.87,0.32,0.3,28.4
DO.0795,F,G10,CSDO-F-39,5/16/2012,11/26/2013,559,Pixi 78wks,0.0605,0.5883,21.89,24.46,19.1,0.1032,0.0193,13.44,0.32,0.3,25.1
DO.0796,F,G10,CSDO-F-40,5/15/2012,6/21/2013,402,Pixi 52wks,0.0571,0.5215,24.01,28.68,21.8,0.09,0.0168,8.96,0.35,0.3,28.2
DO.0797,F,G10,CSDO-F-40,5/16/2012,6/21/2013,401,Pixi 52wks,0.0592,0.5899,25.62,35.9,26.7,0.0809,0.0154,16.12,0.42,0.3,26.4
DO.0798,F,G10,CSDO-F-40,5/16/2012,6/21/2013,401,Pixi 52wks,0.0607,0.5953,38.42,42.69,26.3,0.0736,0.0137,25.41,0.37,0.3,37.9
DO.0799,F,G10,CSDO-F-40,5/17/2012,6/21/2013,400,Pixi 52wks,0.0617,0.6958,9.52,36.61,33.1,0.0869,0.0162,4.43,0.35,0.3,27.6
DO.0800,F,G10,CSDO-F-40,5/12/2012,6/21/2013,405,Pixi 52wks,0.054,0.5163,29.47,38.18,26.9,0.0522,0.0097,14.46,0.4,0.3,31.1
DO.0801,F,G10,CSDO-F-41,5/15/2012,12/14/2012,213,Pixi 26wks,0.0526,0.5523,28.65,28.42,20.3,0.0689,0.0123,19.55,0.36,0.3,28.26
DO.0802,F,G10,CSDO-F-41,5/15/2012,12/14/2012,213,Pixi 26wks,0.0503,0.4048,28.52,27.62,19.7,0.0806,0.0151,14.71,0.32,0.3,28.05
DO.0803,F,G10,CSDO-F-41,5/16/2012,12/14/2012,212,Pixi 26wks,0.0484,0.4226,29.4,28.77,20.3,0.0587,0.011,16.5,0.35,0.3,28.17
DO.0804,F,G10,CSDO-F-41,5/17/2012,12/14/2012,211,Pixi 26wks,0.0477,0.4627,12.54,23.2,20.3,0.0767,0.0143,6.85,0.31,0.3,23.54
DO.0805,F,G10,CSDO-F-41,5/13/2012,12/14/2012,215,Pixi 26wks,0.054,0.5727,33.82,32.41,21.4,0.0857,0.016,25.6,0.33,0.2,31.44
DO.0806,F,G10,CSDO-F-42,5/14/2012,12/7/2012,207,Pixi 26wks,0.055,0.5148,33.75,36.53,24.2,0.0785,0.0147,24.25,0.35,0.3,35.76
DO.0807,F,G10,CSDO-F-42,5/16/2012,12/7/2012,205,Pixi 26wks,0.0576,0.5292,26.81,28.96,21.2,0.0863,0.0159,17.12,0.32,0.3,29.05
DO.0808,F,G10,CSDO-F-42,5/15/2012,12/7/2012,206,Pixi 26wks,0.0558,0.5211,31,38.48,26.6,0.0785,0.0147,23.77,0.38,0.3,38.12
DO.0809,F,G10,CSDO-F-42,5/15/2012,12/7/2012,206,Pixi 26wks,0.0525,0.451,14.56,26.31,22.5,0.076,0.0142,5.5,0.31,0.3,26.39
DO.0811,F,G10,CSDO-F-43,5/16/2012,11/15/2013,548,Pixi 78wks,0.0506,0.4696,41.47,43.2,25.3,0.0646,0.0121,25.78,0.38,0.3,41.9
DO.0812,F,G10,CSDO-F-43,5/13/2012,11/15/2013,551,Pixi 78wks,0.0571,0.608,48.27,53.78,27.8,0.0864,0.0164,35.27,0.42,0.3,50.9
DO.0813,F,G10,CSDO-F-43,5/17/2012,11/15/2013,547,Pixi 78wks,0.0556,0.6647,55.11,51.76,23.2,0.105,0.0201,48.04,0.44,0.2,48.7
DO.0814,F,G10,CSDO-F-43,5/17/2012,11/15/2013,547,Pixi 78wks,0.0489,0.4272,41.9,35.07,20.4,0.0528,0.0097,29.84,0.38,0.3,34.6
DO.0815,F,G10,CSDO-F-43,5/15/2012,11/15/2013,549,Pixi 78wks,0.0606,0.6235,34.39,36.94,24.2,0.1041,0.0199,26.66,0.37,0.3,36.5
DO.0816,F,G10,CSDO-F-44,5/14/2012,11/26/2013,561,Pixi 78wks,0.0497,0.5336,19.24,28.08,22.7,0.0751,0.0144,15.49,0.33,0.3,28.6
DO.0817,F,G10,CSDO-F-44,5/13/2012,11/26/2013,562,Pixi 78wks,0.0548,0.6225,24.05,37.05,28.1,0.049,0.0092,15.19,0.35,0.3,37.2
DO.0818,F,G10,CSDO-F-44,5/9/2012,11/26/2013,566,Pixi 78wks,0.0476,0.4735,18.8,33.56,27.2,0.0657,0.0123,11.13,0.3,0.3,33.6
DO.0819,F,G10,CSDO-F-44,5/11/2012,11/26/2013,564,Pixi 78wks,0.041,0.4083,36.55,41.19,26.1,0.0266,0.0038,17.51,0.4,0.3,39.3
DO.0821,F,G10,CSDO-F-45,5/13/2012,6/21/2013,404,Pixi 52wks,0.061,0.6941,33.56,31.59,21,0.09,0.0172,23.21,0.37,0.3,28.8
DO.0822,F,G10,CSDO-F-45,5/13/2012,6/21/2013,404,Pixi 52wks,0.0632,0.6406,32.36,40.6,27.5,0.0849,0.0159,16.81,0.39,0.3,41
DO.0823,F,G10,CSDO-F-45,5/15/2012,6/21/2013,402,Pixi 52wks,0.0593,0.5549,30.35,35.15,24.5,0.1049,0.0196,14.32,0.33,0.3,30.3
DO.0824,F,G10,CSDO-F-45,5/12/2012,6/21/2013,405,Pixi 52wks,0.0617,0.6291,44.66,39.03,21.6,0.0984,0.0184,31.51,0.37,0.3,38.7
DO.0825,F,G10,CSDO-F-45,5/15/2012,6/21/2013,402,Pixi 52wks,0.0671,0.6744,43.24,49.53,28.1,0.1053,0.0197,30.39,0.4,0.3,39.5
DO.0826,F,G10,CSDO-F-46,5/12/2012,6/14/2013,398,Pixi 52wks,0.0624,0.5837,39.01,57.79,35.2,0.1051,0.0185,25.36,0.5,0.4,38.1
DO.0827,F,G10,CSDO-F-46,5/16/2012,6/14/2013,394,Pixi 52wks,0.0563,0.5895,45.27,44.34,24.3,0.0675,0.0126,31.33,0.37,0.3,35.2
DO.0828,F,G10,CSDO-F-46,5/17/2012,6/14/2013,393,Pixi 52wks,0.0564,0.5698,19.03,29.75,24.1,0.0732,0.0137,8.65,0.32,0.3,25.7
DO.0829,F,G10,CSDO-F-46,5/13/2012,6/14/2013,397,Pixi 52wks,0.0567,0.5628,33.78,48.07,31.8,0.0753,0.0141,20.12,0.4,0.3,30.4
DO.0830,F,G10,CSDO-F-46,5/15/2012,6/14/2013,395,Pixi 52wks,0.0553,0.5783,12.07,23.71,20.9,0.0878,0.0164,3.71,0.33,0.3,18.6
