Mouse.ID,Sex,Generation,penName,DOB,Exp.Date,Age.at.Exp.Date,Test.Name,BW,Tail.Length,Date.of.VP,Age.of.VP
DO.0056,FALSE,G7,LGDO-F-12,7/1/2011,8/5/2011,35,V.P.,14.38,7.4,7/28/2011,27
DO.0057,FALSE,G7,LGDO-F-12,6/28/2011,8/5/2011,38,V.P.,15.35,8.6,8/1/2011,34
DO.0058,FALSE,G7,LGDO-F-12,6/26/2011,8/5/2011,40,V.P.,14.58,7.2,7/24/2011,28
DO.0059,FALSE,G7,LGDO-F-12,6/29/2011,8/5/2011,37,V.P.,19.7,8.1,8/2/2011,34
DO.0060,FALSE,G7,LGDO-F-12,6/25/2011,8/5/2011,41,V.P.,15.95,7.7,7/23/2011,28
DO.0061,FALSE,G8,LGDO-F-13,10/22/2011,12/1/2011,40,V.P.,15.45,6.8,11/30/2011,39
DO.0062,FALSE,G8,LGDO-F-13,10/23/2011,12/1/2011,39,V.P.,12.84,6.9,11/25/2011,33
DO.0063,FALSE,G8,LGDO-F-13,10/26/2011,12/1/2011,36,V.P.,17.85,7.3,11/28/2011,33
DO.0064,FALSE,G8,LGDO-F-13,10/22/2011,12/1/2011,40,V.P.,12.18,7,11/17/2011,26
DO.0065,FALSE,G8,LGDO-F-13,10/25/2011,12/1/2011,37,V.P.,18.71,8,12/1/2011,37
DO.0066,FALSE,G8,LGDO-F-14,10/27/2011,12/1/2011,35,V.P.,17.71,7.5,11/30/2011,34
DO.0067,FALSE,G8,LGDO-F-14,10/22/2011,12/1/2011,40,V.P.,10.33,6.2,11/15/2011,24
DO.0068,FALSE,G8,LGDO-F-14,10/27/2011,12/1/2011,35,V.P.,15.73,8.5,11/30/2011,34
DO.0069,FALSE,G8,LGDO-F-14,10/24/2011,12/1/2011,38,V.P.,17.55,7.7,11/28/2011,35
DO.0070,FALSE,G8,LGDO-F-14,10/25/2011,12/1/2011,37,V.P.,17.57,8.4,11/28/2011,34
DO.0071,FALSE,G8,LGDO-F-15,10/22/2011,12/1/2011,40,V.P.,12.6,6.7,11/24/2011,33
DO.0072,FALSE,G8,LGDO-F-15,10/26/2011,12/1/2011,36,V.P.,10.75,6.1,11/18/2011,23
DO.0073,FALSE,G8,LGDO-F-15,10/22/2011,12/1/2011,40,V.P.,14.76,7.5,11/21/2011,30
DO.0074,FALSE,G8,LGDO-F-15,10/27/2011,12/1/2011,35,V.P.,14.01,7.3,11/28/2011,32
DO.0075,FALSE,G8,LGDO-F-15,10/22/2011,12/1/2011,40,V.P.,11.34,6.4,11/17/2011,26
DO.0076,FALSE,G8,LGDO-F-16,10/24/2011,12/1/2011,38,V.P.,17.35,7.9,11/26/2011,33
DO.0077,FALSE,G8,LGDO-F-16,10/27/2011,12/1/2011,35,V.P.,14.53,8.1,11/22/2011,26
DO.0078,FALSE,G8,LGDO-F-16,10/25/2011,12/1/2011,37,V.P.,13.39,7.2,11/26/2011,32
DO.0079,FALSE,G8,LGDO-F-16,10/25/2011,12/1/2011,37,V.P.,14.3,7.9,11/23/2011,29
DO.0080,FALSE,G8,LGDO-F-16,10/27/2011,12/1/2011,35,V.P.,14.81,7.3,11/21/2011,25
DO.0081,FALSE,G8,LGDO-F-17,10/24/2011,12/1/2011,38,V.P.,11.65,6.5,11/22/2011,29
DO.0082,FALSE,G8,LGDO-F-17,10/25/2011,12/1/2011,37,V.P.,14.14,7.4,11/18/2011,24
DO.0083,FALSE,G8,LGDO-F-17,10/22/2011,12/1/2011,40,V.P.,11.99,7.6,11/22/2011,31
DO.0084,FALSE,G8,LGDO-F-17,10/22/2011,12/1/2011,40,V.P.,12.48,6.7,11/16/2011,25
DO.0085,FALSE,G8,LGDO-F-17,10/25/2011,12/1/2011,37,V.P.,15.18,7.5,11/28/2011,34
DO.0086,FALSE,G8,LGDO-F-18,10/23/2011,12/1/2011,39,V.P.,16.83,7.1,11/19/2011,27
DO.0087,FALSE,G8,LGDO-F-18,10/26/2011,12/1/2011,36,V.P.,17.64,7.6,11/18/2011,23
DO.0088,FALSE,G8,LGDO-F-18,10/23/2011,12/1/2011,39,V.P.,11.16,6.2,11/15/2011,23
DO.0089,FALSE,G8,LGDO-F-18,10/27/2011,12/1/2011,35,V.P.,15.59,7.9,11/21/2011,25
DO.0090,FALSE,G8,LGDO-F-18,10/24/2011,12/1/2011,38,V.P.,13.83,7,11/24/2011,31
DO.0091,FALSE,G8,LGDO-F-19,10/23/2011,12/1/2011,39,V.P.,17.14,6.9,11/27/2011,35
DO.0092,FALSE,G8,LGDO-F-19,10/24/2011,12/1/2011,38,V.P.,11.95,7,11/15/2011,22
DO.0093,FALSE,G8,LGDO-F-19,10/23/2011,12/1/2011,39,V.P.,16.16,7.2,11/19/2011,27
DO.0094,FALSE,G8,LGDO-F-19,10/23/2011,12/1/2011,39,V.P.,18.24,7.1,11/16/2011,24
DO.0095,FALSE,G8,LGDO-F-19,10/24/2011,12/1/2011,38,V.P.,8.52,6.1,11/15/2011,22
DO.0096,FALSE,G8,LGDO-F-20,10/22/2011,12/1/2011,40,V.P.,11.09,7.1,11/16/2011,25
DO.0097,FALSE,G8,LGDO-F-20,10/22/2011,12/1/2011,40,V.P.,7.02,5.2,11/15/2011,24
DO.0098,FALSE,G8,LGDO-F-20,10/22/2011,12/1/2011,40,V.P.,13.88,7,11/26/2011,35
DO.0099,FALSE,G8,LGDO-F-20,10/23/2011,12/1/2011,39,V.P.,14.64,7.1,11/28/2011,36
DO.0100,FALSE,G8,LGDO-F-20,10/25/2011,12/1/2011,37,V.P.,13.65,6.7,11/17/2011,23
DO.0101,FALSE,G8,LGDO-F-21,10/22/2011,12/1/2011,40,V.P.,18.81,7.4,11/30/2011,39
DO.0102,FALSE,G8,LGDO-F-21,10/24/2011,12/1/2011,38,V.P.,14.11,7.7,11/28/2011,35
DO.0103,FALSE,G8,LGDO-F-21,10/27/2011,12/1/2011,35,V.P.,13.65,7.3,11/18/2011,22
DO.0104,FALSE,G8,LGDO-F-21A,10/25/2011,12/1/2011,37,V.P.,18.28,7.9,11/29/2011,35
DO.0105,FALSE,G8,LGDO-F-21,10/22/2011,12/1/2011,40,V.P.,11.86,7.6,11/17/2011,26
DO.0106,FALSE,G8,LGDO-F-22,10/22/2011,12/1/2011,40,V.P.,13.46,7.2,11/18/2011,27
DO.0107,FALSE,G8,LGDO-F-22,10/25/2011,12/1/2011,37,V.P.,12.73,6.5,11/24/2011,30
DO.0108,FALSE,G8,LGDO-F-22,10/23/2011,12/1/2011,39,V.P.,9.7,7.2,11/18/2011,26
DO.0109,FALSE,G8,LGDO-F-22,10/23/2011,12/1/2011,39,V.P.,13.5,7,11/18/2011,26
DO.0110,FALSE,G8,LGDO-F-22,10/26/2011,12/1/2011,36,V.P.,13.29,6.7,11/17/2011,22
DO.0111,FALSE,G8,LGDO-F-23,10/23/2011,12/1/2011,39,V.P.,17.91,7.7,11/19/2011,27
DO.0112,FALSE,G8,LGDO-F-23,10/24/2011,12/1/2011,38,V.P.,10.6,6.3,11/19/2011,26
DO.0113,FALSE,G8,LGDO-F-23,10/22/2011,12/1/2011,40,V.P.,11.88,7,11/19/2011,28
DO.0114,FALSE,G8,LGDO-F-23,10/22/2011,12/1/2011,40,V.P.,13.9,6.9,11/24/2011,33
DO.0115,FALSE,G8,LGDO-F-23,10/22/2011,12/1/2011,40,V.P.,8.42,6.2,11/16/2011,25
DO.0116,FALSE,G8,LGDO-F-24,10/23/2011,12/1/2011,39,V.P.,8.58,5.5,11/16/2011,24
DO.0117,FALSE,G8,LGDO-F-24,10/22/2011,12/1/2011,40,V.P.,12.05,6.8,11/15/2011,24
DO.0118,FALSE,G8,LGDO-F-24,10/24/2011,12/1/2011,38,V.P.,12.74,7.3,11/17/2011,24
DO.0119,FALSE,G8,LGDO-F-24,10/25/2011,12/1/2011,37,V.P.,14.67,8.4,11/22/2011,28
DO.0120,FALSE,G8,LGDO-F-24,10/27/2011,12/1/2011,35,V.P.,12.9,7.3,11/23/2011,27
DO.0121,FALSE,G9,LGDO-F-25,2/20/2012,4/1/2012,41,V.P.,17.21,7.7,3/22/2012,31
DO.0122,FALSE,G9,LGDO-F-25,2/22/2012,4/1/2012,39,V.P.,14.6,7.2,3/16/2012,23
DO.0123,FALSE,G9,LGDO-F-25,2/23/2012,4/1/2012,38,V.P.,14.07,7.1,3/15/2012,21
DO.0124,FALSE,G9,LGDO-F-25,2/19/2012,4/1/2012,42,V.P.,14.02,7.3,3/20/2012,30
DO.0125,FALSE,G9,LGDO-F-25,2/18/2012,4/1/2012,43,V.P.,12.87,6.9,3/15/2012,26
DO.0126,FALSE,G9,LGDO-F-26,2/21/2012,4/1/2012,40,V.P.,15.84,7.3,3/20/2012,28
DO.0127,FALSE,G9,LGDO-F-26,2/20/2012,4/1/2012,41,V.P.,14.99,7.1,3/17/2012,26
DO.0128,FALSE,G9,LGDO-F-26,2/20/2012,4/1/2012,41,V.P.,14.54,6.9,3/19/2012,28
DO.0129,FALSE,G9,LGDO-F-26,2/21/2012,4/1/2012,40,V.P.,16.45,6.8,3/20/2012,28
DO.0130,FALSE,G9,LGDO-F-26,2/20/2012,4/1/2012,41,V.P.,16.31,7.5,3/17/2012,26
DO.0131,FALSE,G9,LGDO-F-27,2/20/2012,4/1/2012,41,V.P.,13.59,7.1,3/19/2012,28
DO.0132,FALSE,G9,LGDO-F-27,2/20/2012,4/1/2012,41,V.P.,16.73,8.2,3/17/2012,26
DO.0133,FALSE,G9,LGDO-F-27,2/20/2012,4/1/2012,41,V.P.,10.71,6.7,3/19/2012,28
DO.0134,FALSE,G9,LGDO-F-27,2/24/2012,4/1/2012,37,V.P.,17.7,7.2,3/30/2012,35
DO.0135,FALSE,G9,LGDO-F-27,2/21/2012,4/1/2012,40,V.P.,21.83,7.7,3/28/2012,36
DO.0136,FALSE,G9,LGDO-F-28,2/21/2012,4/1/2012,40,V.P.,14.26,7.1,3/29/2012,37
DO.0137,FALSE,G9,LGDO-F-28,2/21/2012,4/1/2012,40,V.P.,16.64,7.2,3/21/2012,29
DO.0138,FALSE,G9,LGDO-F-28,2/22/2012,4/1/2012,39,V.P.,15.77,7.8,3/21/2012,28
DO.0139,FALSE,G9,LGDO-F-28,2/18/2012,4/1/2012,43,V.P.,14.22,7.6,3/21/2012,32
DO.0140,FALSE,G9,LGDO-F-28,2/20/2012,4/1/2012,41,V.P.,12.45,6.6,3/16/2012,25
DO.0141,FALSE,G9,LGDO-F-29,2/20/2012,4/1/2012,41,V.P.,17.15,8.1,3/18/2012,27
DO.0142,FALSE,G9,,2/21/2012,4/1/2012,40,V.P.,13.84,6.6,3/21/2012,29
DO.0143,FALSE,G9,LGDO-F-29,2/22/2012,4/1/2012,39,V.P.,13.74,7.6,3/23/2012,30
DO.0144,FALSE,G9,LGDO-F-29,2/19/2012,4/1/2012,42,V.P.,15.92,8.4,3/22/2012,32
DO.0145,FALSE,G9,LGDO-F-29,2/23/2012,4/1/2012,38,V.P.,10.92,6,3/17/2012,23
DO.0146,FALSE,G9,LGDO-F-30,2/23/2012,4/1/2012,38,V.P.,11.85,6.3,3/20/2012,26
DO.0147,FALSE,G9,LGDO-F-30,2/19/2012,4/1/2012,42,V.P.,10.38,6.8,3/17/2012,27
DO.0148,FALSE,G9,LGDO-F-30,2/21/2012,4/1/2012,40,V.P.,17.28,7.2,3/28/2012,36
DO.0149,FALSE,G9,LGDO-F-30,2/19/2012,4/1/2012,42,V.P.,15.82,6.9,3/22/2012,32
DO.0150,FALSE,G9,LGDO-F-30,2/22/2012,4/1/2012,39,V.P.,15.27,7.6,3/16/2012,23
DO.0151,FALSE,G9,LGDO-F-31,2/22/2012,4/1/2012,39,V.P.,12.23,6.6,3/15/2012,22
DO.0152,FALSE,G9,LGDO-F-31,2/24/2012,4/1/2012,37,V.P.,19.15,7.6,3/25/2012,30
DO.0153,FALSE,G9,LGDO-F-31,2/19/2012,4/1/2012,42,V.P.,14.6,7.1,3/14/2012,24
DO.0154,FALSE,G9,LGDO-F-31,2/21/2012,4/1/2012,40,V.P.,12.81,6.7,3/19/2012,27
DO.0155,FALSE,G9,LGDO-F-31,2/22/2012,4/1/2012,39,V.P.,15.83,7.5,3/23/2012,30
DO.0156,FALSE,G9,LGDO-F-32,2/20/2012,4/1/2012,41,V.P.,13.16,6.7,3/17/2012,26
DO.0157,FALSE,G9,LGDO-F-32,2/18/2012,4/1/2012,43,V.P.,14.3,7.2,3/14/2012,25
DO.0158,FALSE,G9,LGDO-F-32,2/20/2012,4/1/2012,41,V.P.,12.62,6.4,3/23/2012,32
DO.0159,FALSE,G9,LGDO-F-32,2/21/2012,4/1/2012,40,V.P.,13.65,7.2,3/20/2012,28
DO.0160,FALSE,G9,LGDO-F-32,2/21/2012,4/1/2012,40,V.P.,18.38,7,3/22/2012,30
DO.0161,FALSE,G9,LGDO-F-33,2/22/2012,4/1/2012,39,V.P.,15.17,6.2,3/24/2012,31
DO.0162,FALSE,G9,LGDO-F-33,2/19/2012,4/1/2012,42,V.P.,13.99,7.1,3/21/2012,31
DO.0163,FALSE,G9,LGDO-F-33,2/24/2012,4/1/2012,37,V.P.,15.74,7.3,3/23/2012,28
DO.0164,FALSE,G9,LGDO-F-33,2/24/2012,4/1/2012,37,V.P.,11.97,5.7,3/18/2012,23
DO.0165,FALSE,G9,LGDO-F-33,2/22/2012,4/1/2012,39,V.P.,14.21,7.1,3/23/2012,30
DO.0166,FALSE,G9,LGDO-F-34,2/21/2012,4/1/2012,40,V.P.,12.46,6.3,3/17/2012,25
DO.0167,FALSE,G9,LGDO-F-34,2/24/2012,4/1/2012,37,V.P.,12.47,7.1,3/16/2012,21
DO.0168,FALSE,G9,LGDO-F-34,2/18/2012,4/1/2012,43,V.P.,14.28,7.4,3/21/2012,32
DO.0169,FALSE,G9,LGDO-F-34,2/22/2012,4/1/2012,39,V.P.,10.81,6.4,3/17/2012,24
DO.0170,FALSE,G9,LGDO-F-34,2/21/2012,4/1/2012,40,V.P.,17.41,7.5,3/25/2012,33
DO.0171,FALSE,G9,LGDO-F-35,2/18/2012,4/1/2012,43,V.P.,13.84,7.3,3/20/2012,31
DO.0172,FALSE,G9,LGDO-F-35,2/20/2012,4/1/2012,41,V.P.,14.87,6.8,3/19/2012,28
DO.0173,FALSE,G9,LGDO-F-35,2/19/2012,4/1/2012,42,V.P.,18.29,7.5,3/21/2012,31
DO.0174,FALSE,G9,LGDO-F-35,2/19/2012,4/1/2012,42,V.P.,16.9,7.4,3/17/2012,27
DO.0175,FALSE,G9,LGDO-F-35,2/20/2012,4/1/2012,41,V.P.,13.52,7.4,3/19/2012,28
DO.0176,FALSE,G9,LGDO-F-36,2/23/2012,4/1/2012,38,V.P.,12.83,6.9,3/21/2012,27
DO.0177,FALSE,G9,LGDO-F-36,2/21/2012,4/1/2012,40,V.P.,12.93,7,3/16/2012,24
DO.0178,FALSE,G9,LGDO-F-36,2/24/2012,4/1/2012,37,V.P.,18.66,7.5,3/29/2012,34
DO.0179,FALSE,G9,LGDO-F-36,2/23/2012,4/1/2012,38,V.P.,14.08,6.7,3/22/2012,28
DO.0180,FALSE,G9,LGDO-F-36,2/22/2012,4/1/2012,39,V.P.,14.32,7.1,3/21/2012,28
DO.0181,FALSE,G10,LGDO-F-37,5/16/2012,6/30/2012,45,V.P.,14.72,7.5,6/13/2012,28
DO.0182,FALSE,G10,LGDO-F-37,5/15/2012,6/30/2012,46,V.P.,12.03,7.6,6/7/2012,23
DO.0183,FALSE,G10,LGDO-F-37,5/12/2012,6/30/2012,49,V.P.,15.04,7.4,6/7/2012,26
DO.0184,FALSE,G10,LGDO-F-37,5/15/2012,6/30/2012,46,V.P.,14.33,7.2,6/12/2012,28
DO.0185,FALSE,G10,LGDO-F-37,5/17/2012,6/30/2012,44,V.P.,16.5,7.6,6/19/2012,33
DO.0186,FALSE,G10,LGDO-F-38,5/15/2012,6/30/2012,46,V.P.,12.05,6.9,6/7/2012,23
DO.0187,FALSE,G10,LGDO-F-38,5/14/2012,6/30/2012,47,V.P.,17.47,6.7,6/8/2012,25
DO.0188,FALSE,G10,LGDO-F-38,5/14/2012,6/30/2012,47,V.P.,14.08,6.7,6/7/2012,24
DO.0189,FALSE,G10,LGDO-F-38,5/16/2012,6/30/2012,45,V.P.,13.18,6.3,6/11/2012,26
DO.0190,FALSE,G10,LGDO-F-38,5/15/2012,6/30/2012,46,V.P.,15.67,7.6,6/11/2012,27
DO.0191,FALSE,G10,LGDO-F-39,5/15/2012,6/30/2012,46,V.P.,12.84,7.2,6/14/2012,30
DO.0192,FALSE,G10,LGDO-F-39,5/15/2012,6/30/2012,46,V.P.,13.16,6.8,6/12/2012,28
DO.0193,FALSE,G10,LGDO-F-39,5/13/2012,6/30/2012,48,V.P.,15.13,7.2,6/7/2012,25
DO.0194,FALSE,G10,LGDO-F-39,5/15/2012,6/30/2012,46,V.P.,17.06,6.7,6/13/2012,29
DO.0195,FALSE,G10,LGDO-F-39,5/13/2012,6/30/2012,48,V.P.,17.16,8.5,6/14/2012,32
DO.0196,FALSE,G10,LGDO-F-40,5/12/2012,6/30/2012,49,V.P.,11.35,6.8,6/7/2012,26
DO.0197,FALSE,G10,LGDO-F-40,5/12/2012,6/30/2012,49,V.P.,15.44,7.5,6/4/2012,23
DO.0198,FALSE,G10,LGDO-F-40,5/16/2012,6/30/2012,45,V.P.,11.34,6.3,6/7/2012,22
DO.0199,FALSE,G10,LGDO-F-40,5/14/2012,6/30/2012,47,V.P.,20.49,7.5,6/12/2012,29
DO.0200,FALSE,G10,LGDO-F-40,5/15/2012,6/30/2012,46,V.P.,14.08,7,6/11/2012,27
DO.0201,FALSE,G10,LGDO-F-41,5/15/2012,6/30/2012,46,V.P.,13.33,7,6/11/2012,27
DO.0202,FALSE,G10,LGDO-F-41,5/15/2012,6/30/2012,46,V.P.,16.28,7.7,6/13/2012,29
DO.0203,FALSE,G10,LGDO-F-41,5/18/2012,6/30/2012,43,V.P.,11.08,7,6/11/2012,24
DO.0204,FALSE,G10,LGDO-F-41,5/15/2012,6/30/2012,46,V.P.,11.36,6.9,6/7/2012,23
DO.0205,FALSE,G10,LGDO-F-41,5/15/2012,6/30/2012,46,V.P.,12.27,6.9,6/12/2012,28
DO.0206,FALSE,G10,LGDO-F-42,5/16/2012,6/30/2012,45,V.P.,15.49,7.6,6/13/2012,28
DO.0207,FALSE,G10,LGDO-F-42,5/15/2012,6/30/2012,46,V.P.,11.22,6.4,6/9/2012,25
DO.0208,FALSE,G10,LGDO-F-42,5/13/2012,6/30/2012,48,V.P.,13.85,7.6,6/18/2012,36
DO.0209,FALSE,G10,LGDO-F-42,5/15/2012,6/30/2012,46,V.P.,15.59,7.2,6/7/2012,23
DO.0210,FALSE,G10,LGDO-F-42,5/15/2012,6/30/2012,46,V.P.,14.12,7.6,6/13/2012,29
DO.0211,FALSE,G10,LGDO-F-43,5/14/2012,6/30/2012,47,V.P.,17.4,7.3,6/18/2012,35
DO.0212,FALSE,G10,LGDO-F-43,5/17/2012,6/30/2012,44,V.P.,12.44,6.5,6/8/2012,22
DO.0213,FALSE,G10,LGDO-F-43,5/15/2012,6/30/2012,46,V.P.,18.22,7.1,6/19/2012,35
DO.0214,FALSE,G10,LGDO-F-43,5/16/2012,6/30/2012,45,V.P.,16.22,7.4,6/17/2012,32
DO.0215,FALSE,G10,LGDO-F-43,5/14/2012,6/30/2012,47,V.P.,11.91,6.5,6/13/2012,30
DO.0216,FALSE,G10,LGDO-F-44,5/18/2012,6/30/2012,43,V.P.,16.29,6.6,6/13/2012,26
DO.0217,FALSE,G10,LGDO-F-44,5/17/2012,6/30/2012,44,V.P.,16.03,7.5,6/8/2012,22
DO.0218,FALSE,G10,LGDO-F-44,5/14/2012,6/30/2012,47,V.P.,15.32,6.9,6/22/2012,39
DO.0219,FALSE,G10,LGDO-F-44,5/13/2012,6/30/2012,48,V.P.,15.69,7.1,6/7/2012,25
DO.0220,FALSE,G10,LGDO-F-44,5/10/2012,6/30/2012,51,V.P.,15.73,7.4,6/12/2012,33
DO.0221,FALSE,G10,LGDO-F-45,5/15/2012,6/30/2012,46,V.P.,12.97,7.1,6/12/2012,28
DO.0222,FALSE,G10,LGDO-F-45,5/14/2012,6/30/2012,47,V.P.,14.18,7.1,6/7/2012,24
DO.0223,FALSE,G10,LGDO-F-45,5/15/2012,6/30/2012,46,V.P.,13.24,7.2,6/8/2012,24
DO.0224,FALSE,G10,LGDO-F-45,5/15/2012,6/30/2012,46,V.P.,16.32,7.6,6/12/2012,28
DO.0225,FALSE,G10,LGDO-F-45,5/15/2012,6/30/2012,46,V.P.,13.75,6.9,6/7/2012,25
DO.0226,FALSE,G10,LGDO-F-46,5/15/2012,6/30/2012,46,V.P.,12.52,7.1,6/12/2012,28
DO.0227,FALSE,G10,LGDO-F-46,5/15/2012,6/30/2012,46,V.P.,17.43,7.1,6/14/2012,30
DO.0228,FALSE,G10,LGDO-F-46,5/14/2012,6/30/2012,47,V.P.,19.09,7.7,6/13/2012,30
