Mouse.ID,Sex,Generation,penName,DOB,Exp.Date,Age.at.Exp.Date,Test.Name,BW,Glucose,IGF.1,IGF.1.control,Tube.A..plasma.vl.,Tube.B..plasma.vl.,Tube.C..plasma.vl.,Plasma.Box.ID
DO.0016,F,G7,LGDO-F-04,6/30/2011,2/21/2012,236,Bld-7 33wks,37.58,155,349.46,384.94,65,15,100,JDO-B-022112-01
DO.0016,F,G7,LGDO-F-04,6/30/2011,6/24/2012,360,Bld-7 59wks,39.48,134,517.566,282.478,65,15,110,
DO.0016,F,G7,LGDO-F-04,6/30/2011,2/12/2013,593,Bld-7 85wks,40.1,135,514.725,254.28,65,15,45,
DO.0017,F,G7,LGDO-F-04,6/30/2011,2/21/2012,236,Bld-7 33wks,24.91,155,456.65,384.94,65,15,95,JDO-B-022112-01
DO.0017,F,G7,LGDO-F-04,6/30/2011,6/24/2012,360,Bld-7 59wks,27.45,127,704.239,282.478,65,15,110,
DO.0017,F,G7,LGDO-F-04,6/30/2011,2/12/2013,593,Bld-7 85wks,28.43,127,641.038,254.28,65,15,60,
DO.0018,F,G7,LGDO-F-04,6/27/2011,6/24/2012,363,Bld-7 59wks,28.16,108,595.178,282.478,65,15,110,
DO.0018,F,G7,LGDO-F-04,6/27/2011,2/12/2013,596,Bld-7 85wks,28.33,133,460.290,254.28,65,15,65,
DO.0018,F,G7,LGDO-F-04,6/27/2011,2/14/2012,232,Bld-7 33wks,27.53,164,413.62,394.11,35,15,160,JDO-B-021412-01
DO.0020,F,G7,LGDO-F-04,6/30/2011,2/21/2012,236,Bld-7 33wks,28.87,128,370.49,384.94,65,15,100,JDO-B-022112-01
DO.0020,F,G7,LGDO-F-04,6/30/2011,6/24/2012,360,Bld-7 59wks,29.99,126,490.788,282.478,65,15,120,
DO.0020,F,G7,LGDO-F-04,6/30/2011,2/12/2013,593,Bld-7 85wks,32.61,150,625.409,254.28,65,15,85,
DO.0021,F,G7,LGDO-F-05,6/30/2011,2/21/2012,236,Bld-7 33wks,41.14,133,476.75,384.94,65,15,85,JDO-B-022112-01
DO.0021,F,G7,LGDO-F-05,6/30/2011,6/24/2012,360,Bld-7 59wks,43.9,119,724.643,282.478,65,15,75,
DO.0021,F,G7,LGDO-F-05,6/30/2011,2/12/2013,593,Bld-7 85wks,42.71,132,820.682,254.28,65,15,60,
DO.0022,F,G7,LGDO-F-05,6/29/2011,6/24/2012,361,Bld-7 59wks,55.26,149,609.566,282.478,65,15,80,
DO.0022,F,G7,LGDO-F-05,6/29/2011,2/12/2013,594,Bld-7 85wks,23.62,119,837.148,254.28,65,15,200,
DO.0022,F,G7,LGDO-F-05,6/29/2011,2/14/2012,230,Bld-7 33wks,43.81,143,682.14,394.11,35,15,140,JDO-B-021412-01
DO.0023,F,G7,LGDO-F-05,6/30/2011,2/21/2012,236,Bld-7 33wks,34.96,113,373.44,384.94,65,15,90,JDO-B-022112-01
DO.0023,F,G7,LGDO-F-05,6/30/2011,6/24/2012,360,Bld-7 59wks,39.51,133,469.321,282.478,65,15,75,
DO.0023,F,G7,LGDO-F-05,6/30/2011,2/12/2013,593,Bld-7 85wks,39.55,113,582.350,254.28,65,15,40,
DO.0024,F,G7,LGDO-F-05,6/29/2011,6/24/2012,361,Bld-7 59wks,23.22,102,419.282,282.478,65,15,90,
DO.0024,F,G7,LGDO-F-05,6/29/2011,2/12/2013,594,Bld-7 85wks,22.87,135,711.148,254.28,65,15,95,
DO.0024,F,G7,LGDO-F-05,6/29/2011,2/14/2012,230,Bld-7 33wks,20.86,122,320.89,394.11,35,15,100,JDO-B-021412-01
DO.0025,F,G7,LGDO-F-05,6/30/2011,2/21/2012,236,Bld-7 33wks,36.02,109,452.61,384.94,65,15,80,JDO-B-022112-01
DO.0025,F,G7,LGDO-F-05,6/30/2011,6/24/2012,360,Bld-7 59wks,39.54,147,676.046,282.478,65,15,65,
DO.0025,F,G7,LGDO-F-05,6/30/2011,2/12/2013,593,Bld-7 85wks,44.77,100,711.009,254.28,65,15,80,
DO.0026,F,G7,LGDO-F-06,6/27/2011,6/24/2012,363,Bld-7 59wks,38.13,103,554.643,282.478,65,15,90,
DO.0026,F,G7,LGDO-F-06,6/27/2011,2/12/2013,596,Bld-7 85wks,41.31,110,508.032,254.28,65,15,75,
DO.0026,F,G7,LGDO-F-06,6/27/2011,2/14/2012,232,Bld-7 33wks,28.97,135,425.97,394.11,35,15,80,JDO-B-021412-01
DO.0027,F,G7,LGDO-F-06,6/29/2011,6/24/2012,361,Bld-7 59wks,24.04,102,651.227,377.734,65,15,80,
DO.0027,F,G7,LGDO-F-06,6/29/2011,2/12/2013,594,Bld-7 85wks,24.45,95,545.245,254.28,65,15,80,
DO.0027,F,G7,LGDO-F-06,6/29/2011,2/14/2012,230,Bld-7 33wks,23.52,94,485.61,394.11,35,15,65,JDO-B-021412-01
DO.0028,F,G7,LGDO-F-06,6/30/2011,2/21/2012,236,Bld-7 33wks,28.7,145,474.59,384.94,65,15,90,JDO-B-022112-01
DO.0028,F,G7,LGDO-F-06,6/30/2011,6/24/2012,360,Bld-7 59wks,27.85,100,711.624,377.734,65,15,80,
DO.0028,F,G7,LGDO-F-06,6/30/2011,2/12/2013,593,Bld-7 85wks,31.78,127,559.788,254.28,65,15,70,
DO.0029,F,G7,LGDO-F-06,6/30/2011,2/21/2012,236,Bld-7 33wks,50.61,133,497.86,384.94,65,15,75,JDO-B-022112-01
DO.0029,F,G7,LGDO-F-06,6/30/2011,6/24/2012,360,Bld-7 59wks,50.52,122,882.32,377.734,65,15,100,
DO.0029,F,G7,LGDO-F-06,6/30/2011,2/12/2013,593,Bld-7 85wks,40.46,142,746.327,254.28,65,15,100,
DO.0030,F,G7,LGDO-F-06,6/30/2011,6/24/2012,360,Bld-7 59wks,33.28,103,650.261,377.734,65,15,90,
DO.0030,F,G7,LGDO-F-06,6/30/2011,2/12/2013,593,Bld-7 85wks,30.56,115,452.443,254.28,65,15,85,
DO.0030,F,G7,LGDO-F-06,6/30/2011,2/14/2012,229,Bld-7 33wks,30.87,108,449.78,394.11,35,15,140,JDO-B-021412-01
DO.0031,F,G7,LGDO-F-07,6/25/2011,8/21/2012,423,Bld-7 59wks,37.06,115,660.814,281.414,65,15,80,
DO.0031,F,G7,LGDO-F-07,6/25/2011,2/12/2013,598,Bld-7 85wks,35.04,104,638.963,254.28,65,15,70,
DO.0031,F,G7,LGDO-F-07,6/25/2011,2/14/2012,234,Bld-7 33wks,32.25,115,486.26,394.11,35,15,85,JDO-B-021412-01
DO.0032,F,G7,LGDO-F-07,6/30/2011,2/21/2012,236,Bld-7 33wks,30.74,158,333.3,384.94,65,15,80,JDO-B-022112-01
DO.0032,F,G7,LGDO-F-07,6/30/2011,8/21/2012,418,Bld-7 59wks,39.29,104,828.393,296.843,65,15,90,
DO.0032,F,G7,LGDO-F-07,6/30/2011,2/12/2013,593,Bld-7 85wks,38.57,97,479.623,254.28,65,15,65,
DO.0033,F,G7,LGDO-F-07,6/29/2011,8/21/2012,419,Bld-7 59wks,41.18,122,4.105,296.843,65,15,75,
DO.0033,F,G7,LGDO-F-07,6/29/2011,2/12/2013,594,Bld-7 85wks,41.1,118,480.627,254.28,65,15,70,
DO.0033,F,G7,LGDO-F-07,6/29/2011,2/14/2012,230,Bld-7 33wks,31.48,120,448.09,394.11,35,15,120,JDO-B-021412-01
DO.0034,F,G7,LGDO-F-07,6/27/2011,8/21/2012,421,Bld-7 59wks,28.11,95,633.575,296.843,65,15,100,
DO.0034,F,G7,LGDO-F-07,6/27/2011,2/12/2013,596,Bld-7 85wks,25.9,105,641.430,254.28,65,15,70,
DO.0034,F,G7,LGDO-F-07,6/27/2011,2/14/2012,232,Bld-7 33wks,26.39,115,366.2,394.11,35,15,120,JDO-B-021412-01
DO.0035,F,G7,LGDO-F-07,6/29/2011,8/21/2012,419,Bld-7 59wks,26.72,106,656.286,296.843,65,15,80,
DO.0035,F,G7,LGDO-F-07,6/29/2011,2/12/2013,594,Bld-7 85wks,27.92,142,800.293,254.28,65,15,75,
DO.0035,F,G7,LGDO-F-07,6/29/2011,2/14/2012,230,Bld-7 33wks,29.06,138,608.17,394.11,35,15,100,JDO-B-021412-01
DO.0036,F,G7,LGDO-F-08,6/30/2011,2/21/2012,236,Bld-7 33wks,30.12,135,684.22,384.94,65,15,150,JDO-B-022112-01
DO.0037,F,G7,LGDO-F-08,6/30/2011,2/21/2012,236,Bld-7 33wks,27.53,160,520.35,384.94,65,15,130,JDO-B-022112-01
DO.0037,F,G7,LGDO-F-08,6/30/2011,8/21/2012,418,Bld-7 59wks,25.75,136,534.156,296.843,65,15,110,
DO.0038,F,G7,LGDO-F-08,7/1/2011,2/21/2012,235,Bld-7 33wks,34.69,106,360.17,384.94,65,15,75,JDO-B-022112-01
DO.0039,F,G7,LGDO-F-08,6/30/2011,2/21/2012,236,Bld-7 33wks,28.78,115,279.63,384.94,65,15,120,JDO-B-022112-01
DO.0039,F,G7,LGDO-F-08,6/30/2011,8/21/2012,418,Bld-7 59wks,32.57,121,554.479,296.843,65,15,130,
DO.0039,F,G7,LGDO-F-08,6/30/2011,2/19/2013,600,Bld-7 85wks,30.19,113,704.256,274.549,65,15,75,
DO.0041,F,G7,LGDO-F-09,6/30/2011,2/21/2012,236,Bld-7 33wks,25.93,119,378.87,384.94,65,15,110,JDO-B-022112-01
DO.0041,F,G7,LGDO-F-09,6/30/2011,8/21/2012,418,Bld-7 59wks,29.04,111,457.96,296.843,65,15,130,
DO.0041,F,G7,LGDO-F-09,6/30/2011,2/19/2013,600,Bld-7 85wks,27.79,104,445.570,274.549,65,15,75,
DO.0042,F,G7,LGDO-F-09,6/26/2011,8/21/2012,422,Bld-7 59wks,30.29,128,463.863,296.843,65,15,60,
DO.0042,F,G7,LGDO-F-09,6/26/2011,2/19/2013,604,Bld-7 85wks,32.73,118,637.114,274.549,65,15,45,
DO.0042,F,G7,LGDO-F-09,6/26/2011,2/14/2012,233,Bld-7 33wks,24.22,105,394.11,394.11,35,15,110,JDO-B-021412-01
DO.0044,F,G7,LGDO-F-09,6/28/2011,8/21/2012,420,Bld-7 59wks,27.61,100,486.271,296.843,65,15,80,
DO.0044,F,G7,LGDO-F-09,6/28/2011,2/19/2013,602,Bld-7 85wks,27.44,128,656.217,274.549,65,15,45,
DO.0044,F,G7,LGDO-F-09,6/28/2011,2/14/2012,231,Bld-7 33wks,19.82,116,383.9,394.11,35,15,80,JDO-B-021412-01
DO.0045,F,G7,LGDO-F-09,6/30/2011,2/21/2012,236,Bld-7 33wks,20.96,90,272.15,384.94,65,15,90,JDO-B-022112-01
DO.0045,F,G7,LGDO-F-09,6/30/2011,8/21/2012,418,Bld-7 59wks,28.55,70,295.811,296.843,65,15,100,
DO.0045,F,G7,LGDO-F-09,6/30/2011,2/19/2013,600,Bld-7 85wks,29.43,88,314.047,274.549,65,15,65,
DO.0046,F,G7,LGDO-F-10,6/27/2011,8/21/2012,421,Bld-7 59wks,23.49,163,362.317,296.843,65,15,90,
DO.0046,F,G7,LGDO-F-10,6/27/2011,2/19/2013,603,Bld-7 85wks,25.68,177,637.656,274.549,65,15,65,
DO.0046,F,G7,LGDO-F-10,6/27/2011,2/14/2012,232,Bld-7 33wks,22.56,121,305.63,394.11,35,15,90,JDO-B-021412-01
DO.0047,F,G7,LGDO-F-10,6/30/2011,2/21/2012,236,Bld-7 33wks,21.64,116,308.27,384.94,65,15,40,JDO-B-022112-01
DO.0047,F,G7,LGDO-F-10,6/30/2011,8/21/2012,418,Bld-7 59wks,22.78,103,208.91,296.843,65,15,90,
DO.0047,F,G7,LGDO-F-10,6/30/2011,2/19/2013,600,Bld-7 85wks,20.91,105,419.315,274.549,65,15,40,
DO.0048,F,G7,LGDO-F-10,6/30/2011,2/21/2012,236,Bld-7 33wks,28.19,90,402.8,384.94,65,15,65,JDO-B-022112-01
DO.0049,F,G7,LGDO-F-10,6/25/2011,8/21/2012,423,Bld-7 59wks,27.73,115,360.455,296.843,65,15,150,
DO.0049,F,G7,LGDO-F-10,6/25/2011,2/14/2012,234,Bld-7 33wks,25.7,104,421.54,394.11,35,15,130,JDO-B-021412-01
DO.0050,F,G7,LGDO-F-10,6/29/2011,8/21/2012,419,Bld-7 59wks,36.8,162,661.116,296.843,65,15,80,
DO.0050,F,G7,LGDO-F-10,6/29/2011,2/19/2013,601,Bld-7 85wks,35.29,140,743.233,274.549,65,15,70,
DO.0050,F,G7,LGDO-F-10,6/29/2011,2/14/2012,230,Bld-7 33wks,29.42,156,458.94,394.11,35,15,100,JDO-B-021412-01
DO.0051,F,G7,LGDO-F-11,6/30/2011,2/21/2012,236,Bld-7 33wks,30.87,110,520.35,384.94,65,15,60,JDO-B-022112-01
DO.0051,F,G7,LGDO-F-11,6/30/2011,8/21/2012,418,Bld-7 59wks,36.55,138,628.159,296.843,65,15,90,
DO.0051,F,G7,LGDO-F-11,6/30/2011,2/19/2013,600,Bld-7 85wks,30.69,97,659.182,274.549,65,15,65,
DO.0052,F,G7,LGDO-F-11,6/25/2011,8/21/2012,423,Bld-7 59wks,21.92,121,358.594,296.843,65,15,90,
DO.0052,F,G7,LGDO-F-11,6/25/2011,2/19/2013,605,Bld-7 85wks,22.67,105,528.948,274.549,65,15,80,
DO.0052,F,G7,LGDO-F-11,6/25/2011,2/14/2012,234,Bld-7 33wks,20.48,102,278.02,394.11,35,15,100,JDO-B-021412-01
DO.0053,F,G7,LGDO-F-11A,6/27/2011,8/21/2012,421,Bld-7 59wks,37.75,157,657.843,296.843,65,15,130,
DO.0053,F,G7,LGDO-F-11A,6/27/2011,2/19/2013,603,Bld-7 85wks,28.35,75,596.110,274.549,65,15,100,
DO.0053,F,G7,LGDO-F-11A,6/27/2011,2/14/2012,232,Bld-7 33wks,38.49,125,441.89,394.11,35,15,120,JDO-B-021412-01
DO.0054,F,G7,LGDO-F-11,6/29/2011,8/21/2012,419,Bld-7 59wks,31.38,105,377.486,296.843,65,15,100,
DO.0054,F,G7,LGDO-F-11,6/29/2011,2/19/2013,601,Bld-7 85wks,31.92,129,478.429,274.549,65,15,70,
DO.0054,F,G7,LGDO-F-11,6/29/2011,2/14/2012,230,Bld-7 33wks,28.63,64,345.28,394.11,35,15,100,JDO-B-021412-01
DO.0055,F,G7,LGDO-F-11,7/1/2011,2/21/2012,235,Bld-7 33wks,29.49,129,480.54,384.94,65,15,100,JDO-B-022112-01
DO.0055,F,G7,LGDO-F-11,7/1/2011,8/21/2012,417,Bld-7 59wks,34.93,112,825.765,296.843,65,15,100,
DO.0055,F,G7,LGDO-F-11,7/1/2011,2/19/2013,599,Bld-7 85wks,36.89,111,485.316,274.549,65,15,110,
DO.0056,F,G7,LGDO-F-12,7/1/2011,2/21/2012,235,Bld-7 33wks,35.26,123,439.55,384.94,65,15,80,JDO-B-022112-01
DO.0056,F,G7,LGDO-F-12,7/1/2011,8/21/2012,417,Bld-7 59wks,47.28,152,532.783,296.843,65,15,110,
DO.0057,F,G7,LGDO-F-12,6/28/2011,8/21/2012,420,Bld-7 59wks,38.82,121,826.816,296.843,65,15,70,
DO.0057,F,G7,LGDO-F-12,6/28/2011,2/19/2013,602,Bld-7 85wks,43.51,119,782.180,274.549,65,15,60,
DO.0057,F,G7,LGDO-F-12,6/28/2011,2/14/2012,231,Bld-7 33wks,34.38,139,616.95,394.11,35,15,130,JDO-B-021412-01
DO.0058,F,G7,LGDO-F-12,6/26/2011,8/21/2012,422,Bld-7 59wks,36.78,162,572.394,296.843,65,15,160,
DO.0058,F,G7,LGDO-F-12,6/26/2011,2/14/2012,233,Bld-7 33wks,34.06,126,521.36,394.11,35,15,90,JDO-B-021412-01
DO.0059,F,G7,LGDO-F-12,6/29/2011,8/21/2012,419,Bld-7 59wks,30.41,119,484.548,296.843,65,15,80,
DO.0059,F,G7,LGDO-F-12,6/29/2011,2/19/2013,601,Bld-7 85wks,24.78,91,426.269,274.549,65,15,75,
DO.0059,F,G7,LGDO-F-12,6/29/2011,2/14/2012,230,Bld-7 33wks,26.32,123,351.04,394.11,35,15,90,JDO-B-021412-01
DO.0060,F,G7,LGDO-F-12,6/25/2011,8/21/2012,423,Bld-7 59wks,24.71,128,677.756,296.843,65,15,75,
DO.0060,F,G7,LGDO-F-12,6/25/2011,2/19/2013,605,Bld-7 85wks,25.41,119,628.407,274.549,65,15,65,
DO.0060,F,G7,LGDO-F-12,6/25/2011,2/14/2012,234,Bld-7 33wks,21.34,111,289.54,394.11,35,15,100,JDO-B-021412-01
DO.0061,F,G8,LGDO-F-13,10/22/2011,6/12/2012,234,Bld-7 33wks,25.45,152,514.831,288.449,65,15,75,
DO.0061,F,G8,LGDO-F-13,10/22/2011,12/4/2012,409,Bld-7 59wks,31.68,126,450.944,296.843,65,15,40,
DO.0061,F,G8,LGDO-F-13,10/22/2011,6/3/2013,590,Bld-7 85wks,36.75,124,505.452,252.226,65,15,75,
DO.0062,F,G8,LGDO-F-13,10/23/2011,6/12/2012,233,Bld-7 33wks,20.31,125,350.549,288.449,65,15,75,
DO.0062,F,G8,LGDO-F-13,10/23/2011,12/4/2012,408,Bld-7 59wks,23.06,135,400.095,296.843,65,15,40,
DO.0062,F,G8,LGDO-F-13,10/23/2011,6/3/2013,589,Bld-7 85wks,24,114,477.529,252.226,65,15,30,
DO.0063,F,G8,LGDO-F-13,10/26/2011,6/12/2012,230,Bld-7 33wks,32.97,133,568.826,288.449,65,15,80,
DO.0063,F,G8,LGDO-F-13,10/26/2011,12/4/2012,405,Bld-7 59wks,31.11,130,495.156,296.843,65,15,40,
DO.0063,F,G8,LGDO-F-13,10/26/2011,6/3/2013,586,Bld-7 85wks,34.46,97,507.064,252.226,65,15,90,
DO.0064,F,G8,LGDO-F-13,10/22/2011,6/12/2012,234,Bld-7 33wks,24.23,142,425.845,288.449,65,15,80,
DO.0064,F,G8,LGDO-F-13,10/22/2011,12/4/2012,409,Bld-7 59wks,25.17,129,750.388,296.843,65,15,55,
DO.0064,F,G8,LGDO-F-13,10/22/2011,6/3/2013,590,Bld-7 85wks,29.42,108,442.238,252.226,65,15,40,
DO.0065,F,G8,LGDO-F-13,10/25/2011,6/12/2012,231,Bld-7 33wks,32.93,139,397.803,288.449,65,15,85,
DO.0065,F,G8,LGDO-F-13,10/25/2011,12/4/2012,406,Bld-7 59wks,37.75,139,425.299,296.843,65,15,65,
DO.0065,F,G8,LGDO-F-13,10/25/2011,6/3/2013,587,Bld-7 85wks,40.29,113,381.090,252.226,65,15,60,
DO.0066,F,G8,LGDO-F-14,10/27/2011,6/12/2012,229,Bld-7 33wks,26.22,153,497.300,288.449,65,15,110,
DO.0066,F,G8,LGDO-F-14,10/27/2011,12/4/2012,404,Bld-7 59wks,30.65,169,597.468,296.843,65,15,105,
DO.0066,F,G8,LGDO-F-14,10/27/2011,6/3/2013,585,Bld-7 85wks,37.61,134,441.798,252.226,65,15,100,
DO.0067,F,G8,LGDO-F-14,10/22/2011,6/12/2012,234,Bld-7 33wks,30.31,126,492.749,288.449,65,15,75,
DO.0067,F,G8,LGDO-F-14,10/22/2011,12/4/2012,409,Bld-7 59wks,31.22,111,493.559,288.449,65,15,55,
DO.0067,F,G8,LGDO-F-14,10/22/2011,6/3/2013,590,Bld-7 85wks,31.46,116,360.147,252.226,65,15,40,
DO.0068,F,G8,LGDO-F-14,10/27/2011,6/12/2012,229,Bld-7 33wks,36.43,117,495.012,288.449,65,15,90,
DO.0068,F,G8,LGDO-F-14,10/27/2011,12/4/2012,404,Bld-7 59wks,39.81,148,447.042,288.449,65,15,75,
DO.0068,F,G8,LGDO-F-14,10/27/2011,6/3/2013,585,Bld-7 85wks,40.61,144,540.909,252.226,65,15,40,
DO.0069,F,G8,LGDO-F-14,10/24/2011,6/12/2012,232,Bld-7 33wks,28.81,219,708.650,272.991,65,15,120,
DO.0069,F,G8,LGDO-F-14,10/24/2011,12/4/2012,407,Bld-7 59wks,40.34,189,861.407,288.449,65,15,85,
DO.0069,F,G8,LGDO-F-14,10/24/2011,6/3/2013,588,Bld-7 85wks,37.25,167,828.768,252.226,65,15,40,
DO.0070,F,G8,LGDO-F-14,10/25/2011,6/12/2012,231,Bld-7 33wks,24.45,110,578.639,272.991,65,15,110,
DO.0071,F,G8,LGDO-F-15,10/22/2011,6/13/2012,235,Bld-7 33wks,32.8,129,396.549,272.991,65,15,80,
DO.0071,F,G8,LGDO-F-15,10/22/2011,12/4/2012,409,Bld-7 59wks,34.73,149,390.462,288.449,65,15,65,
DO.0071,F,G8,LGDO-F-15,10/22/2011,6/3/2013,590,Bld-7 85wks,34.85,103,470.331,252.226,65,15,60,
DO.0072,F,G8,LGDO-F-15,10/26/2011,6/13/2012,231,Bld-7 33wks,27.43,108,563.193,272.991,65,15,70,
DO.0072,F,G8,LGDO-F-15,10/26/2011,12/4/2012,405,Bld-7 59wks,32.44,110,559.144,288.449,65,15,75,
DO.0072,F,G8,LGDO-F-15,10/26/2011,6/3/2013,586,Bld-7 85wks,34.13,112,703.985,252.226,65,15,60,
DO.0073,F,G8,LGDO-F-15,10/22/2011,6/13/2012,235,Bld-7 33wks,32.02,143,697.155,272.991,65,15,90,
DO.0073,F,G8,LGDO-F-15,10/22/2011,12/4/2012,409,Bld-7 59wks,40.61,139,569.956,288.449,65,15,65,
DO.0073,F,G8,LGDO-F-15,10/22/2011,6/3/2013,590,Bld-7 85wks,37.49,111,748.564,252.226,65,15,75,
DO.0074,F,G8,LGDO-F-15,10/27/2011,6/13/2012,230,Bld-7 33wks,25.64,106,655.130,272.991,65,15,90,
DO.0074,F,G8,LGDO-F-15,10/27/2011,12/4/2012,404,Bld-7 59wks,30.76,120,638.387,288.449,65,15,50,
DO.0074,F,G8,LGDO-F-15,10/27/2011,6/3/2013,585,Bld-7 85wks,35.18,124,693.006,252.226,65,15,75,
DO.0075,F,G8,LGDO-F-15,10/22/2011,6/13/2012,235,Bld-7 33wks,20.38,123,498.790,272.991,65,15,90,
DO.0075,F,G8,LGDO-F-15,10/22/2011,12/4/2012,409,Bld-7 59wks,23.09,132,474.008,288.449,65,15,75,
DO.0075,F,G8,LGDO-F-15,10/22/2011,6/3/2013,590,Bld-7 85wks,25.48,111,583.417,252.226,65,15,80,
DO.0076,F,G8,LGDO-F-16,10/24/2011,6/13/2012,233,Bld-7 33wks,23.92,133,456.659,272.991,65,15,80,
DO.0076,F,G8,LGDO-F-16,10/24/2011,12/4/2012,407,Bld-7 59wks,28.92,167,511.103,288.449,65,15,65,
