JCMS.Mouse.ID,SC.Number,Strain,DOB,Sex,Generation,From.Cage,Date.of.wean,JCMS.Pen..,cage.,Ear.Notch,Coat.Color,Chip.ID,Death.date,Death.type,Notes,Age..mth.,Age.of.VP,Date.of.VP,BW,Tail.Length,Urine.28wks,Bld6..29wk,Bld2.31.wk,bld7.33wks,Urine.54wk,Bld6.55wk,bld2.57wk,Bld7.59wk,Urine.80wk,Bld6.81.wk,Bld2.83wks,Bld7.85.wks,X104wk.BW.Date,X104wk.BW,X130wk.BW.Date,X130wk.BW,X26.Mo.PP.Paper,X156.wek.BW.date,X156wk.BW,X30.Mo.PP.paper,COMMENTS,survival
DO.0016,11706,J:DO,6/30/2011,F,G7,138,7/18/2011,4,LGDO-F-04,N,WB Agouti,0006DD5CE0,8/19/2013,F.D. (Y),,26.03,30,7/30/2011,17.17,7.5,1/16/2012,1/23/2012,2/6/2012,2/20/2012,7/9/2012,7/19/2012,8/2/2012,8/16/2012,1/7/2013,1/17/2013,1/31/2013,2/14/2013,6/27/2013,NA,12/26/2013,NA,8/22/2013,6/26/2014,NA,,,781
DO.0017,11707,J:DO,6/30/2011,F,G7,140,7/18/2011,4,LGDO-F-04,R,WB Agouti,00071B82FB,6/16/2014,F.D. (Y),,36.07,25,7/25/2011,11.78,8.4,1/16/2012,1/23/2012,2/6/2012,2/20/2012,7/9/2012,7/19/2012,8/2/2012,8/16/2012,1/7/2013,1/17/2013,1/31/2013,2/14/2013,6/27/2013,32.88,12/26/2013,29.86,8/22/2013,6/26/2014,NA,,,1082
DO.0018,11708,J:DO,6/27/2011,F,G7,141,7/18/2011,4,LGDO-F-04,L,Agouti,0006DCFBDB,11/13/2013,F.D. (Y),,29,27,7/24/2011,15.12,7.6,1/16/2012,1/16/2012,1/30/2012,2/13/2012,7/9/2012,7/16/2012,7/30/2012,8/13/2012,1/7/2013,1/14/2013,1/28/2013,2/11/2013,6/24/2013,31.63,12/23/2013,NA,8/19/2013,6/23/2014,NA,,,870
DO.0019,11709,J:DO,6/30/2011,F,G7,142,7/18/2011,4,LGDO-F-04,B,Agouti,0006DCF18C,1/24/2012,F.T.R. (Y),,6.93,34,8/3/2011,12.9,8.2,1/16/2012,1/23/2012,2/6/2012,2/20/2012,7/9/2012,7/19/2012,8/2/2012,8/16/2012,1/7/2013,1/17/2013,1/31/2013,2/14/2013,6/27/2013,NA,12/26/2013,NA,8/22/2013,6/26/2014,NA,,,208
DO.0020,11710,J:DO,6/30/2011,F,G7,144,7/18/2011,4,LGDO-F-04,2L,Agouti,0006DD189F,3/17/2014,F.D. (Y),,33.03,38,8/7/2011,20.57,8.4,1/16/2012,1/23/2012,2/6/2012,2/20/2012,7/9/2012,7/19/2012,8/2/2012,8/16/2012,1/7/2013,1/17/2013,1/31/2013,2/14/2013,6/27/2013,30.35,12/26/2013,27.95,8/22/2013,6/26/2014,NA,,,991
DO.0021,11711,J:DO,6/30/2011,F,G7,126,7/18/2011,5,LGDO-F-05,N,Agouti,0006DD07B8,8/2/2013,F.D. (Y),,25.47,26,7/26/2011,14.07,7.5,1/16/2012,1/23/2012,2/6/2012,2/20/2012,7/9/2012,7/19/2012,8/2/2012,8/16/2012,1/7/2013,1/17/2013,1/31/2013,2/14/2013,6/27/2013,NA,12/26/2013,NA,8/22/2013,6/26/2014,NA,,,764
DO.0022,11712,J:DO,6/29/2011,F,G7,127,7/18/2011,5,LGDO-F-05,R,Black,0006E8079F,2/14/2013,F.D. (Y),,19.87,27,7/26/2011,18.39,7.8,1/16/2012,1/16/2012,1/30/2012,2/13/2012,7/9/2012,7/18/2012,8/1/2012,8/15/2012,1/7/2013,1/16/2013,1/30/2013,2/13/2013,6/26/2013,NA,12/25/2013,NA,8/21/2013,6/25/2014,NA,,,596
DO.0023,11713,J:DO,6/30/2011,F,G7,128,7/18/2011,5,LGDO-F-05,L,Albino,0006DD3FC5,4/1/2013,F.D. (Y),,21.37,24,7/24/2011,13.1,7.5,1/16/2012,1/23/2012,2/6/2012,2/20/2012,7/9/2012,7/19/2012,8/2/2012,8/16/2012,1/7/2013,1/17/2013,1/31/2013,2/14/2013,6/27/2013,NA,12/26/2013,NA,8/22/2013,6/26/2014,NA,,,641
DO.0024,11714,J:DO,6/29/2011,F,G7,129,7/18/2011,5,LGDO-F-05,B,Agouti,0006E83A97,1/14/2014,F.D. (Y),,31,30,7/29/2011,12.9,8.2,1/16/2012,1/16/2012,1/30/2012,2/13/2012,7/9/2012,7/18/2012,8/1/2012,8/15/2012,1/7/2013,1/16/2013,1/30/2013,2/13/2013,6/26/2013,21.61,12/25/2013,23.84,8/21/2013,6/25/2014,NA,,,930
DO.0025,11715,J:DO,6/30/2011,F,G7,130,7/18/2011,5,LGDO-F-05,2R,Albino,0006E81EC9,4/17/2013,F.D. (Y),,21.9,24,7/24/2011,14.27,7.2,1/16/2012,1/23/2012,2/6/2012,2/20/2012,7/9/2012,7/19/2012,8/2/2012,8/16/2012,1/7/2013,1/17/2013,1/31/2013,2/14/2013,6/27/2013,NA,12/26/2013,NA,8/22/2013,6/26/2014,NA,,,657
DO.0026,11716,J:DO,6/27/2011,F,G7,131,7/18/2011,6,LGDO-F-06,2L,Black,0006DD0E40,3/24/2014,F.D. (Y),,33.37,24,7/21/2011,11.68,7.6,1/16/2012,1/16/2012,1/30/2012,2/13/2012,7/9/2012,7/16/2012,7/30/2012,8/13/2012,1/7/2013,1/14/2013,1/28/2013,2/11/2013,6/24/2013,41.53,12/23/2013,44.57,8/19/2013,6/23/2014,NA,,,1001
DO.0027,11717,J:DO,6/29/2011,F,G7,134,7/18/2011,6,LGDO-F-06,1R2L,Agouti,0006DF8F7A,3/4/2014,F.D. (Y),,32.63,29,7/28/2011,13.63,8.1,1/16/2012,1/16/2012,1/30/2012,2/13/2012,7/9/2012,7/18/2012,8/1/2012,8/15/2012,1/7/2013,1/16/2013,1/30/2013,2/13/2013,6/26/2013,23.67,12/25/2013,23.02,8/21/2013,6/25/2014,NA,,,979
DO.0028,11718,J:DO,6/30/2011,F,G7,135,7/18/2011,6,LGDO-F-06,2R1L,Albino,0006E81376,11/26/2013,F.D. (Y),,29.33,26,7/26/2011,14.37,8.1,1/16/2012,1/23/2012,2/6/2012,2/20/2012,7/9/2012,7/19/2012,8/2/2012,8/16/2012,1/7/2013,1/17/2013,1/31/2013,2/14/2013,6/27/2013,27.99,12/26/2013,NA,8/22/2013,6/26/2014,NA,,,880
DO.0029,11719,J:DO,6/30/2011,F,G7,136,7/18/2011,6,LGDO-F-06,3R,Agouti,0006DD1654,9/25/2013,F.D. (Y),,27.27,25,7/25/2011,16.52,9.1,1/16/2012,1/23/2012,2/6/2012,2/20/2012,7/9/2012,7/19/2012,8/2/2012,8/16/2012,1/7/2013,1/17/2013,1/31/2013,2/14/2013,6/27/2013,NA,12/26/2013,NA,8/22/2013,6/26/2014,NA,,,818
DO.0030,11720,J:DO,6/29/2011,F,G7,137,7/18/2011,6,LGDO-F-06,3L,Albino,0006DD84BB,5/28/2013,F.D. (Y),,23.3,27,7/26/2011,14.71,8.2,1/16/2012,1/16/2012,1/30/2012,2/13/2012,7/9/2012,7/18/2012,8/1/2012,8/15/2012,1/7/2013,1/16/2013,1/30/2013,2/13/2013,6/26/2013,NA,12/25/2013,NA,8/21/2013,6/25/2014,NA,,,699
DO.0031,11721,J:DO,6/25/2011,F,G7,112,7/18/2011,7,LGDO-F-07,N,Agouti,0006E81F07,3/17/2014,F.D. (Y),,33.2,28,7/23/2011,15.41,8.5,1/16/2012,1/16/2012,1/30/2012,2/13/2012,7/9/2012,7/14/2012,7/28/2012,8/11/2012,1/7/2013,1/12/2013,1/26/2013,2/9/2013,6/22/2013,30.83,12/21/2013,29.8,8/17/2013,6/21/2014,NA,,,996
DO.0032,11722,J:DO,6/30/2011,F,G7,113,7/18/2011,7,LGDO-F-07,R,WB Agouti,0006E7AB44,9/29/2014,F.D.(Y),,39.57,31,7/31/2011,14.8,8,1/16/2012,1/23/2012,2/6/2012,2/20/2012,7/9/2012,7/19/2012,8/2/2012,8/16/2012,1/7/2013,1/17/2013,1/31/2013,2/14/2013,6/27/2013,42.59,12/26/2013,54.96,8/22/2013,6/26/2014,NA,,,1187
DO.0033,11723,J:DO,6/29/2011,F,G7,115,7/18/2011,7,LGDO-F-07,L,WB Agouti,0006DD4028,6/10/2013,F.D. (Y),,23.73,29,7/28/2011,14.92,7.8,1/16/2012,1/16/2012,1/30/2012,2/13/2012,7/9/2012,7/18/2012,8/1/2012,8/15/2012,1/7/2013,1/16/2013,1/30/2013,2/13/2013,6/26/2013,NA,12/25/2013,NA,8/21/2013,6/25/2014,NA,,,712
DO.0034,11724,J:DO,6/27/2011,F,G7,116,7/18/2011,7,LGDO-F-07,B,Albino,0006DCFB28,4/15/2013,F.D. (Y),,21.93,29,7/26/2011,13.88,7.5,1/16/2012,1/16/2012,1/30/2012,2/13/2012,7/9/2012,7/16/2012,7/30/2012,8/13/2012,1/7/2013,1/14/2013,1/28/2013,2/11/2013,6/24/2013,NA,12/23/2013,NA,8/19/2013,6/23/2014,NA,,,658
DO.0035,11725,J:DO,6/29/2011,F,G7,117,7/18/2011,7,LGDO-F-07,2B,Agouti,0006E83243,3/4/2014,F.D. (Y),,32.63,23,7/22/2011,12.78,8.2,1/16/2012,1/16/2012,1/30/2012,2/13/2012,7/9/2012,7/18/2012,8/1/2012,8/15/2012,1/7/2013,1/16/2013,1/30/2013,2/13/2013,6/26/2013,33.82,12/25/2013,32.4,8/21/2013,6/25/2014,NA,,,979
DO.0036,11726,J:DO,6/30/2011,F,G7,118,7/18/2011,8,LGDO-F-08,2L,Agouti,0006DF91E6,3/27/2012,F.D. (Y),,9.03,29,7/29/2011,14.7,8,1/16/2012,1/23/2012,2/6/2012,2/20/2012,7/16/2012,7/19/2012,8/2/2012,8/16/2012,1/14/2013,1/17/2013,1/31/2013,2/14/2013,6/27/2013,NA,12/26/2013,NA,8/22/2013,6/26/2014,NA,,,271
DO.0037,11727,J:DO,6/30/2011,F,G7,119,7/18/2011,8,LGDO-F-08,1R2L,WB Agouti,00071B6201,1/15/2013,F.D. (Y),,18.83,29,7/29/2011,12.67,7.2,1/16/2012,1/23/2012,2/6/2012,2/20/2012,7/16/2012,7/19/2012,8/2/2012,8/16/2012,1/14/2013,1/17/2013,1/31/2013,2/14/2013,6/27/2013,NA,12/26/2013,NA,8/22/2013,6/26/2014,NA,,,565
DO.0038,11728,J:DO,7/1/2011,F,G7,120,7/18/2011,8,LGDO-F-08,2R1L,Albino,0006E82050,8/13/2012,F.D. (Y),,13.63,31,8/1/2011,17.33,8,1/16/2012,1/23/2012,2/6/2012,2/20/2012,7/16/2012,7/20/2012,8/3/2012,8/17/2012,1/14/2013,1/18/2013,2/1/2013,2/15/2013,6/28/2013,NA,12/27/2013,NA,8/23/2013,6/27/2014,NA,,,409
DO.0039,11729,J:DO,6/30/2011,F,G7,124,7/18/2011,8,LGDO-F-08,3R,Albino,0006DD7CA8,4/25/2013,F.D. (Y),,22.17,34,8/3/2011,17.02,8.5,1/16/2012,1/23/2012,2/6/2012,2/20/2012,7/16/2012,7/19/2012,8/2/2012,8/16/2012,1/14/2013,1/17/2013,1/31/2013,2/14/2013,6/27/2013,NA,12/26/2013,NA,8/22/2013,6/26/2014,NA,,,665
DO.0040,11730,J:DO,6/30/2011,F,G7,125,7/18/2011,8,LGDO-F-08,3L,Black,0006E83E7F,11/28/2011,E.S. (Y),,5.03,27,7/27/2011,13.43,6.8,1/16/2012,1/23/2012,2/6/2012,2/20/2012,7/16/2012,7/19/2012,8/2/2012,8/16/2012,1/14/2013,1/17/2013,1/31/2013,2/14/2013,6/27/2013,NA,12/26/2013,NA,8/22/2013,6/26/2014,NA,,,151
DO.0041,11731,J:DO,6/30/2011,F,G7,101,7/18/2011,9,LGDO-F-09,N,Agouti,0006DCF4EC,9/18/2013,F.D. (Y),,27.03,22,7/22/2011,11.09,7.8,1/16/2012,1/23/2012,2/6/2012,2/20/2012,7/16/2012,7/19/2012,8/2/2012,8/16/2012,1/14/2013,1/17/2013,1/31/2013,2/14/2013,6/27/2013,NA,12/26/2013,NA,8/22/2013,6/26/2014,NA,,,811
DO.0042,11732,J:DO,6/26/2011,F,G7,102,7/18/2011,9,LGDO-F-09,R,Albino,0006E81F89,12/22/2013,F.D. (Y),,30.33,30,7/26/2011,17.97,8,1/9/2012,1/16/2012,1/30/2012,2/13/2012,7/16/2012,7/15/2012,7/29/2012,8/12/2012,1/14/2013,1/13/2013,1/27/2013,2/10/2013,6/23/2013,33.46,12/22/2013,24.3,8/18/2013,6/22/2014,NA,,,910
DO.0043,11733,J:DO,6/27/2011,F,G7,104,7/18/2011,9,LGDO-F-09,L,Agouti,0006DFA5A5,11/1/2011,E.S. (Y),,4.23,29,7/26/2011,17.91,7.8,1/10/2012,1/16/2012,1/30/2012,2/13/2012,7/16/2012,7/16/2012,7/30/2012,8/13/2012,1/14/2013,1/14/2013,1/28/2013,2/11/2013,6/24/2013,NA,12/23/2013,NA,8/19/2013,6/23/2014,NA,,,127
DO.0044,11734,J:DO,6/28/2011,F,G7,105,7/18/2011,9,LGDO-F-09,B,Albino,0006DD899D,3/31/2014,F.D. (Y),,33.57,35,8/2/2011,14.26,7.4,1/11/2012,1/16/2012,1/30/2012,2/13/2012,7/16/2012,7/17/2012,7/31/2012,8/14/2012,1/14/2013,1/15/2013,1/29/2013,2/12/2013,6/25/2013,23.26,12/24/2013,23.04,8/20/2013,6/24/2014,NA,,,1007
DO.0045,11735,J:DO,6/30/2011,F,G7,106,7/18/2011,9,LGDO-F-09,2R,Agouti,0006DD57AF,7/22/2013,F.D. (Y),,25.1,27,7/27/2011,12.5,7.7,1/12/2012,1/23/2012,2/6/2012,2/20/2012,7/16/2012,7/19/2012,8/2/2012,8/16/2012,1/14/2013,1/17/2013,1/31/2013,2/14/2013,6/27/2013,NA,12/26/2013,NA,8/22/2013,6/26/2014,NA,,,753
DO.0046,11736,J:DO,6/27/2011,F,G7,107,7/18/2011,10,LGDO-F-10,2L,Albino,0006E81AB3,2/11/2015,FD,,44.17,38,8/4/2011,17.85,8.3,1/13/2012,1/16/2012,1/30/2012,2/13/2012,7/16/2012,7/16/2012,7/30/2012,8/13/2012,1/14/2013,1/14/2013,1/28/2013,2/11/2013,6/24/2013,24.22,12/23/2013,24.51,8/19/2013,6/23/2014,NA,,,1325
DO.0047,11737,J:DO,6/30/2011,F,G7,108,7/18/2011,10,LGDO-F-10,1R2L,Agouti,0006E7920D,3/19/2013,F.D. (Y),,20.93,32,8/1/2011,16.32,8.2,1/14/2012,1/23/2012,2/6/2012,2/20/2012,7/16/2012,7/19/2012,8/2/2012,8/16/2012,1/14/2013,1/17/2013,1/31/2013,2/14/2013,6/27/2013,NA,12/26/2013,NA,8/22/2013,6/26/2014,NA,,,628
DO.0048,11738,J:DO,6/30/2011,F,G7,109,7/18/2011,10,LGDO-F-10,2R1L,Agouti,0006DD0CD8,8/8/2012,F.D. (Y),,13.5,29,7/29/2011,13.45,7.3,1/15/2012,1/23/2012,2/6/2012,2/20/2012,7/16/2012,7/19/2012,8/2/2012,8/16/2012,1/14/2013,1/17/2013,1/31/2013,2/14/2013,6/27/2013,NA,12/26/2013,NA,8/22/2013,6/26/2014,NA,,,405
DO.0049,11739,J:DO,6/25/2011,F,G7,110,7/18/2011,10,LGDO-F-10,3R,Agouti,0006DD5552,1/15/2013,F.D. (Y),,19,28,7/23/2011,16.92,8.7,1/16/2012,1/16/2012,1/30/2012,2/13/2012,7/16/2012,7/14/2012,7/28/2012,8/11/2012,1/14/2013,1/12/2013,1/26/2013,2/9/2013,6/22/2013,NA,12/21/2013,NA,8/17/2013,6/21/2014,NA,,,570
DO.0050,11740,J:DO,6/29/2011,F,G7,111,7/18/2011,10,LGDO-F-10,3L,Black,0006E7BCC4,6/10/2013,F.D. (Y),,23.73,25,7/24/2011,15.78,7.6,1/17/2012,1/16/2012,1/30/2012,2/13/2012,7/16/2012,7/18/2012,8/1/2012,8/15/2012,1/14/2013,1/16/2013,1/30/2013,2/13/2013,6/26/2013,NA,12/25/2013,NA,8/21/2013,6/25/2014,NA,,,712
DO.0051,11741,J:DO,6/30/2011,F,G7,4,7/18/2011,11,LGDO-F-11,N,WB Agouti,0006DCEF2E,1/8/2014,F.D. (Y),,30.77,26,7/26/2011,14.56,7.9,1/18/2012,1/23/2012,2/6/2012,2/20/2012,7/16/2012,7/19/2012,8/2/2012,8/16/2012,1/14/2013,1/17/2013,1/31/2013,2/14/2013,6/27/2013,32.28,12/26/2013,31.14,8/22/2013,6/26/2014,NA,,,923
DO.0052,11742,J:DO,6/25/2011,F,G7,21,7/18/2011,11,LGDO-F-11,R,WB Agouti,0006DD0D16,1/19/2014,F.D. (Y),,31.3,37,8/1/2011,13.12,8.2,1/19/2012,1/16/2012,1/30/2012,2/13/2012,7/16/2012,7/14/2012,7/28/2012,8/11/2012,1/14/2013,1/12/2013,1/26/2013,2/9/2013,6/22/2013,24.34,12/21/2013,23.88,8/17/2013,6/21/2014,NA,,,939
DO.0053,11743,J:DO,6/27/2011,F,G7,26,7/18/2011,11,LGDO-F-11A,L,Black,0006DCE99D,5/8/2013,E.S. (Y),,22.7,38,8/4/2011,18.87,8.2,1/20/2012,1/16/2012,1/30/2012,2/13/2012,7/16/2012,7/16/2012,7/30/2012,8/13/2012,1/14/2013,1/14/2013,1/28/2013,2/11/2013,6/24/2013,NA,12/23/2013,NA,8/19/2013,6/23/2014,NA,,,681
DO.0054,11744,J:DO,6/29/2011,F,G7,36,7/18/2011,11,LGDO-F-11,B,Agouti,0006E81163,6/30/2014,F.D. (Y),,36.57,40,8/8/2011,19.03,9.3,1/21/2012,1/16/2012,1/30/2012,2/13/2012,7/16/2012,7/18/2012,8/1/2012,8/15/2012,1/14/2013,1/16/2013,1/30/2013,2/13/2013,6/26/2013,33.64,12/25/2013,32.48,8/21/2013,6/25/2014,NA,,,1097
DO.0055,11745,J:DO,7/1/2011,F,G7,41,7/18/2011,11,LGDO-F-11,2R,Agouti,0006DCED0B,6/9/2014,F.D. (Y),,35.8,22,7/23/2011,12.01,7.5,1/22/2012,1/23/2012,2/6/2012,2/20/2012,7/16/2012,7/20/2012,8/3/2012,8/17/2012,1/14/2013,1/18/2013,2/1/2013,2/15/2013,6/28/2013,29.75,12/27/2013,32.18,8/23/2013,6/27/2014,NA,,,1074
DO.0056,11746,J:DO,7/1/2011,F,G7,45,7/18/2011,12,LGDO-F-12,2L,Agouti,0006E82675,10/29/2012,F.D. (Y),,16.2,27,7/28/2011,14.38,7.4,1/23/2012,1/23/2012,2/6/2012,2/20/2012,7/16/2012,7/20/2012,8/3/2012,8/17/2012,1/14/2013,1/18/2013,2/1/2013,2/15/2013,6/28/2013,NA,12/27/2013,NA,8/23/2013,6/27/2014,NA,,,486
DO.0057,11747,J:DO,6/28/2011,F,G7,52,7/18/2011,12,LGDO-F-12,1R2L,WB Agouti,0006DD09E5,11/24/2013,F.D. (Y),,29.33,34,8/1/2011,15.35,8.6,1/24/2012,1/16/2012,1/30/2012,2/13/2012,7/16/2012,7/17/2012,7/31/2012,8/14/2012,1/14/2013,1/15/2013,1/29/2013,2/12/2013,6/25/2013,41.22,12/24/2013,NA,8/20/2013,6/24/2014,NA,,,880
DO.0058,11748,J:DO,6/26/2011,F,G7,54,7/18/2011,12,LGDO-F-12,2R1L,Albino,0006DD592E,10/29/2012,F.D. (Y),,16.37,28,7/24/2011,14.58,7.2,1/25/2012,1/16/2012,1/30/2012,2/13/2012,7/16/2012,7/15/2012,7/29/2012,8/12/2012,1/14/2013,1/13/2013,1/27/2013,2/10/2013,6/23/2013,NA,12/22/2013,NA,8/18/2013,6/22/2014,NA,,,491
DO.0059,11749,J:DO,6/29/2011,F,G7,60,7/18/2011,12,LGDO-F-12,3R,Agouti,0006E808CA,8/25/2014,F.D. (Y),,38.43,34,8/2/2011,19.7,8.1,1/26/2012,1/16/2012,1/30/2012,2/13/2012,7/16/2012,7/18/2012,8/1/2012,8/15/2012,1/14/2013,1/16/2013,1/30/2013,2/13/2013,6/26/2013,28.03,12/25/2013,26.4,8/21/2013,6/25/2014,NA,,,1153
