Mouse.ID,Sex,Generation,penName,DOB,Exp.Date,Age.at.Exp.Date,Test.Name,Single.Cells,Viable.Cells,All.Lymphocytes,B.Cells,B.Cells....of.viable.,CD62L..B.Cells,CD4..T.Cells,CD4..T.Cells....of.viable.,CD4..Effector.Memory.T.Cells,CD4..Central.Memory.T.Cells,CD4..Naive.T.Cells,CD4..Effect.T.Cells,CD8..T.Cells,CD8..T.Cells....of.viable.,CD8..Effector.Memory.T.Cells,CD8..Central.Memory.T.Cells,CD8..Naive.T.Cells,CD8..Effect.T.Cells,NK.Cells,NK.Cells....viable.,NKG2A.C.E..T.Cell,NKG2A.C.E.....of.viable.,NKG2A.C.E..CD4..T.Cells,NKG2A.C.E..CD8..T.Cells,NKG2A.C.E..DN.T.Cells
DO.0009,F,G7,LGDO-F-02,6/19/2011,2/7/2012,233,FCM (T-B-NK) 33wks,95.3,56.4,81.4,42.9,34.9,68,22.3,18.2,10.6,4.27,19.1,66,17.7,14.4,13.5,8.38,39.1,39.1,0.023,0.019,0.19,0.15,11.2,48.8,38.8
DO.0010,F,G7,LGDO-F-02,6/20/2011,8/7/2012,414,FCM (T-B-NK) 59wks,92.6,47.3,77.8,48.1,37.4,55.4,12.2,9.51,26.2,9.24,17.8,46.8,5.86,4.56,35.7,16,15.9,32.4,1.15,0.9,1.32,1.03,3.55,84.6,11.8
DO.0010,F,G7,LGDO-F-02,6/20/2011,2/7/2012,232,FCM (T-B-NK) 33wks,93.8,42.3,70.1,46.5,32.6,63.6,24.9,17.4,21.5,12.2,30.6,35.8,7.76,5.44,23.7,11.6,36,28.7,1.22,0.86,1.84,1.29,7.01,75.6,17.1
DO.0011,F,G7,LGDO-F-03,6/20/2011,2/7/2012,232,FCM (T-B-NK) 33wks,93.3,57.6,83.7,51.7,43.2,74.3,16.3,13.6,18.5,12.1,46.6,22.8,20.7,17.3,13.5,27.6,48.4,10.5,0.59,0.5,3.56,2.97,2.56,75.9,21.4
DO.0012,F,G7,LGDO-F-03,6/23/2011,2/5/2013,593,FCM (T-B-NK) 85wks,96.3,53.9,69.7,18.8,13.1,73.2,5.85,4.08,16.6,7.57,30.4,45.4,7.24,5.05,4.74,6.6,63.5,25.1,0.13,0.094,0.38,0.27,6.87,77.1,16
DO.0012,F,G7,LGDO-F-03,6/23/2011,8/7/2012,411,FCM (T-B-NK) 59wks,92.6,66.5,78.5,48.4,38,65.1,18.5,14.6,14.2,8.38,33.4,44,16.6,13,13.9,10.4,35.6,40.2,0.59,0.47,0.59,0.46,3.35,78.7,16.7
DO.0012,F,G7,LGDO-F-03,6/23/2011,2/7/2012,229,FCM (T-B-NK) 33wks,95.2,44.9,82.3,53.4,43.9,67.3,19.2,15.8,13.9,7.51,19.6,59,14.7,12.1,12.6,19.3,24.6,43.5,0.54,0.45,0.94,0.77,6.16,70.2,22.9
DO.0013,F,G7,LGDO-F-03,6/21/2011,2/5/2013,595,FCM (T-B-NK) 85wks,96.5,72.2,73.5,40.7,29.9,64.4,20.9,15.4,15.7,8.71,43.1,32.5,7.52,5.53,16.1,16.9,39.8,27.2,0.36,0.27,0.55,0.4,7.84,59.3,32.8
DO.0013,F,G7,LGDO-F-03,6/21/2011,8/7/2012,413,FCM (T-B-NK) 59wks,93.1,76.7,81.8,46.1,37.7,56.2,23.1,18.9,10.4,3.44,40.9,45.3,9.64,7.89,11.3,8.49,33,47.2,0.95,0.78,0.46,0.38,8.76,37.1,54.1
DO.0013,F,G7,LGDO-F-03,6/21/2011,2/7/2012,231,FCM (T-B-NK) 33wks,91.9,47.1,76.7,29.1,22.3,66.7,35.5,27.2,6.72,2.85,50,40.5,12.4,9.54,12.1,17.7,40.3,29.9,0.89,0.68,0.93,0.71,9.63,62.6,27.5
DO.0014,F,G7,LGDO-F-03,6/19/2011,2/7/2012,233,FCM (T-B-NK) 33wks,90.3,43.3,76.5,45.7,35,64.9,21.9,16.7,7.84,7.65,49.4,35.1,12.3,9.37,9.21,26.9,41,22.8,0.017,0.013,0.33,0.25,18.1,38.4,42.8
DO.0015,F,G7,LGDO-F-03,6/30/2011,2/5/2013,586,FCM (T-B-NK) 85wks,94.9,88.1,95.2,5.69,5.42,78.2,0.78,0.74,12.6,4.53,27.4,55.5,0.89,0.85,7.11,5.07,59.8,28.1,0.023,0.022,0.01,0.01,8.7,69.6,21.7
DO.0015,F,G7,LGDO-F-03,6/30/2011,8/7/2012,404,FCM (T-B-NK) 59wks,94.1,74.1,87.3,66.3,57.9,56.2,5.01,4.38,15,5.76,18,61.3,4.82,4.21,14.7,6.93,39.4,38.9,0.23,0.2,0.1,0.091,6.52,54.3,39.1
DO.0015,F,G7,LGDO-F-03,6/30/2011,2/21/2012,236,FCM (T-B-NK) 33wks,95,64.6,90.8,82.2,74.6,65.9,5.52,5.01,13.5,5.88,18.5,62.1,4.58,4.15,11.2,11.6,38,39.2,0.1,0.094,0.11,0.1,22.6,32.1,45.3
DO.0016,F,G7,LGDO-F-04,6/30/2011,8/14/2012,411,FCM (T-B-NK) 59wks,93.5,59.5,80.2,52.5,42.1,27.4,13.4,10.8,20.7,11.4,12.8,55.2,8.44,6.77,19.8,19.1,19,42.1,2.93,2.35,2.12,1.7,7.84,55,35.7
DO.0016,F,G7,LGDO-F-04,6/30/2011,2/21/2012,236,FCM (T-B-NK) 33wks,95.8,65.3,82.2,57.1,46.9,29.4,17.4,14.3,17.9,12.9,13.9,55.4,10.1,8.29,11.4,24.1,37.2,27.3,3.42,2.81,1.68,1.38,12.2,36.4,50.8
DO.0016,F,G7,LGDO-F-04,6/30/2011,2/12/2013,593,FCM (T-B-NK) 85wks,96.1,63,58.4,43.3,25.3,50.4,11.6,6.78,31,19.2,13,36.8,8.29,4.84,20.6,34.1,28.6,16.6,2.49,1.45,2.64,1.54,4.27,67.6,27.8
DO.0017,F,G7,LGDO-F-04,6/30/2011,8/14/2012,411,FCM (T-B-NK) 59wks,95.1,62.9,81.8,50.6,41.4,26.9,22.3,18.3,16.6,6.93,26.7,49.8,8.96,7.33,18.5,27.1,22.7,31.6,0.3,0.25,0.25,0.2,10.4,60.4,29.2
DO.0017,F,G7,LGDO-F-04,6/30/2011,2/21/2012,236,FCM (T-B-NK) 33wks,96.2,69.3,87.7,63.9,56.1,37.5,18.9,16.6,8.27,6.3,48.3,37.1,7.11,6.24,7.82,27.6,44.6,19.9,0.21,0.18,0.13,0.11,15.8,19.3,64.9
DO.0017,F,G7,LGDO-F-04,6/30/2011,2/12/2013,593,FCM (T-B-NK) 85wks,94.1,65.4,71.9,61.9,44.5,42.7,14.7,10.6,11.8,6.57,46.8,34.8,6.51,4.68,9.28,28.7,48.1,13.9,0.31,0.22,0.14,0.1,5.08,42.4,52.5
DO.0018,F,G7,LGDO-F-04,6/27/2011,8/14/2012,414,FCM (T-B-NK) 59wks,90.4,70.1,78.4,49.2,38.6,68.7,12.7,9.96,38.5,7.31,8.45,45.8,7.77,6.09,45.6,14.1,9.82,30.5,0.27,0.21,0.13,0.1,10.4,45.8,41.7
DO.0018,F,G7,LGDO-F-04,6/27/2011,2/14/2012,232,FCM (T-B-NK) 33wks,95.3,54.8,73.8,61.9,45.7,71.7,17.2,12.7,14.7,5.59,28.7,50.9,7.85,5.79,11,4.47,46.4,38.1,0.45,0.33,0.13,0.098,7.41,38.9,53.7
DO.0018,F,G7,LGDO-F-04,6/27/2011,2/12/2013,596,FCM (T-B-NK) 85wks,95.8,75.8,66.6,60.9,40.6,68.8,10.2,6.8,42.3,13.2,8.84,35.6,15.4,10.2,17.8,59.3,18.4,4.54,0.077,0.051,0.23,0.15,2.35,91.8,5.88
DO.0020,F,G7,LGDO-F-04,6/30/2011,8/14/2012,411,FCM (T-B-NK) 59wks,91.3,65.7,86.9,51.8,45,49.8,12.4,10.7,26.4,12.2,18.2,43.2,8.69,7.55,15.6,24.1,35.9,24.5,0.31,0.27,0.11,0.097,26.7,55.6,15.6
DO.0020,F,G7,LGDO-F-04,6/30/2011,2/21/2012,236,FCM (T-B-NK) 33wks,96,58.3,85,51.5,43.7,65.4,21,17.9,21.3,6.75,10.9,61.1,12,10.2,11.8,16.3,40.5,31.4,0.5,0.43,0.28,0.24,28.7,34.8,35.7
DO.0020,F,G7,LGDO-F-04,6/30/2011,2/12/2013,593,FCM (T-B-NK) 85wks,96.4,67.5,65.9,55.3,36.4,67,10.8,7.14,49.5,15.6,13.3,21.6,4.42,2.91,13.1,13.8,56.2,16.9,0.28,0.18,0.076,0.05,14.3,53.6,32.1
DO.0021,F,G7,LGDO-F-05,6/30/2011,8/14/2012,411,FCM (T-B-NK) 59wks,91.9,49.3,70.9,15.8,11.2,65.2,36.4,25.8,13.9,3.07,27.7,55.4,16.6,11.8,17,4.97,27.7,50.3,0.17,0.12,0.25,0.17,26.3,52.5,21.2
DO.0021,F,G7,LGDO-F-05,6/30/2011,2/21/2012,236,FCM (T-B-NK) 33wks,95,37.7,78.5,31.5,24.8,81,35,27.5,9.15,4.84,36,50,18.1,14.2,5.65,14.2,52,28.1,0.17,0.14,0.39,0.31,19.9,47.7,32.5
DO.0021,F,G7,LGDO-F-05,6/30/2011,2/12/2013,593,FCM (T-B-NK) 85wks,96.4,61.5,67.2,41.4,27.8,68.1,20.9,14,20.3,9.11,32.4,38.2,14.2,9.56,8.22,15.9,56.3,19.6,0.13,0.09,0.27,0.18,27.5,47.1,25.5
DO.0022,F,G7,LGDO-F-05,6/29/2011,8/14/2012,412,FCM (T-B-NK) 59wks,87.5,51.2,88.5,34.6,30.6,71.9,9.32,8.24,20.3,4.38,8.57,66.7,4.41,3.9,30.9,13.7,12.4,43,1.35,1.2,0.59,0.53,3.35,66.1,30.1
DO.0022,F,G7,LGDO-F-05,6/29/2011,2/14/2012,230,FCM (T-B-NK) 33wks,92.3,32.5,77.8,17.1,13.3,73.4,16.8,13.1,10.5,2.11,21.6,65.8,7.02,5.47,10.7,5.71,30.6,52.9,0.91,0.71,0.48,0.37,5.39,60.5,34.1
DO.0022,F,G7,LGDO-F-05,6/29/2011,2/12/2013,594,FCM (T-B-NK) 85wks,96.6,28.2,60.5,0.91,0.55,50.9,0.52,0.31,41.6,13.6,15,29.9,0.32,0.19,23.7,15.3,25.2,35.9,0.31,0.19,0.092,0.056,2.63,15.8,81.6
DO.0023,F,G7,LGDO-F-05,6/30/2011,8/14/2012,411,FCM (T-B-NK) 59wks,89.5,65.5,84.5,35.2,29.8,58.4,24.9,21,23.4,5.28,20.8,50.5,18.6,15.7,42,4.06,16.4,37.6,2.29,1.94,2.66,2.25,2.64,92,4.53
DO.0023,F,G7,LGDO-F-05,6/30/2011,2/21/2012,236,FCM (T-B-NK) 33wks,96.5,60,86,45,38.7,71.6,22.5,19.3,22.5,7.03,30.1,40.3,16.9,14.5,32.5,8.13,39.3,20,2.59,2.23,3.09,2.66,3.58,90.7,5.59
DO.0023,F,G7,LGDO-F-05,6/30/2011,2/12/2013,593,FCM (T-B-NK) 85wks,96.3,71.2,72.6,43.2,31.4,65.8,22.7,16.5,23.8,9.67,29.7,36.8,19,13.8,26.4,9.97,45.2,18.4,0.96,0.7,2.24,1.63,0.77,94.5,4.6
DO.0024,F,G7,LGDO-F-05,6/29/2011,8/14/2012,412,FCM (T-B-NK) 59wks,89.9,55.8,87.1,71.6,62.4,71.8,4.62,4.03,47.9,12.9,4.19,35,3.26,2.84,78.8,8.05,1.88,11.3,0.34,0.3,0.042,0.036,11.8,64.7,23.5
DO.0024,F,G7,LGDO-F-05,6/29/2011,2/14/2012,230,FCM (T-B-NK) 33wks,95,49.3,87.2,72.1,62.9,61.9,10.3,8.99,21.3,10.1,12.3,56.3,2.15,1.87,25.8,10.3,25.7,38.1,0.18,0.16,0.18,0.16,29.6,45.7,24.7
DO.0024,F,G7,LGDO-F-05,6/29/2011,2/12/2013,594,FCM (T-B-NK) 85wks,93.1,60.8,63.1,62,39.1,85.6,4.37,2.75,54,20,2.74,23.3,8.48,5.35,78.7,8.49,0.81,12,0.11,0.07,0.16,0.1,16.1,67.7,16.1
DO.0025,F,G7,LGDO-F-05,6/30/2011,8/14/2012,411,FCM (T-B-NK) 59wks,89.3,69.4,76.4,57.8,44.2,40.7,13.7,10.5,35.3,8.14,4.78,51.8,8.84,6.75,47.3,10.7,8.24,33.8,0.59,0.45,2.28,1.74,2.21,91.9,5.51
DO.0025,F,G7,LGDO-F-05,6/30/2011,2/21/2012,236,FCM (T-B-NK) 33wks,94.7,64.1,84.2,66.1,55.6,60.7,15.4,12.9,29,7,5.15,58.9,8.14,6.85,31.3,18.2,12,38.4,0.77,0.65,1.66,1.39,6.38,81.3,12.3
DO.0025,F,G7,LGDO-F-05,6/30/2011,2/12/2013,593,FCM (T-B-NK) 85wks,95.1,79,72.8,27.1,19.7,76.6,7.96,5.79,46.1,12.9,5.22,35.8,11.4,8.32,23.5,37.4,30.8,8.24,0.33,0.24,2.26,1.65,3.38,94.5,1.86
DO.0026,F,G7,LGDO-F-06,6/27/2011,8/14/2012,414,FCM (T-B-NK) 59wks,92.1,64.1,79,44.5,35.1,58.8,21.4,16.9,15.7,6.81,40.6,36.9,13.4,10.6,12.2,17.6,41.6,28.6,0.92,0.73,0.85,0.67,8.83,62.1,28.1
DO.0026,F,G7,LGDO-F-06,6/27/2011,2/14/2012,232,FCM (T-B-NK) 33wks,95.7,54.7,83,39.9,33.1,81.2,28.3,23.5,8.79,5.28,65.4,20.5,21.4,17.8,3.24,9.1,75,12.7,0.73,0.61,0.56,0.47,7.69,65.6,26.3
DO.0026,F,G7,LGDO-F-06,6/27/2011,2/12/2013,596,FCM (T-B-NK) 85wks,96,64.9,59.1,43.9,25.9,72.8,18,10.7,22.2,9.85,48.7,19.3,13,7.69,5.85,21.2,65.5,7.52,0.93,0.55,0.58,0.34,17.5,59.2,22.7
DO.0027,F,G7,LGDO-F-06,6/29/2011,8/14/2012,412,FCM (T-B-NK) 59wks,89.6,73.3,77.4,52.7,40.8,48.5,17.4,13.5,12.9,5.42,26.5,55.2,13.4,10.4,7.58,11.3,50.3,30.8,0.26,0.2,0.19,0.14,13.2,67.6,19.1
DO.0027,F,G7,LGDO-F-06,6/29/2011,2/14/2012,230,FCM (T-B-NK) 33wks,93.9,68.8,74.7,41,30.7,70.5,29.9,22.3,4.57,2.75,58.2,34.5,18.6,13.9,1.44,8.91,80.1,9.55,0.25,0.19,0.15,0.11,13.6,50.8,35.6
DO.0027,F,G7,LGDO-F-06,6/29/2011,2/12/2013,594,FCM (T-B-NK) 85wks,95.3,76.1,67.4,58.1,39.1,55,11.4,7.7,19.3,7.54,44,29.2,12.8,8.61,4.46,13.8,75,6.68,0.18,0.12,0.12,0.082,4.17,72.9,22.9
DO.0028,F,G7,LGDO-F-06,6/30/2011,8/14/2012,411,FCM (T-B-NK) 59wks,91.3,66.7,87.3,49.9,43.6,60.9,18.6,16.2,22.3,8.1,8.2,61.4,12.4,10.8,24,14.2,11.1,50.8,1.28,1.11,3.3,2.89,2.35,87.1,10.2
DO.0028,F,G7,LGDO-F-06,6/30/2011,2/21/2012,236,FCM (T-B-NK) 33wks,95.4,65.6,77.6,54.6,42.4,76.3,14.6,11.4,21.5,12,11.1,55.4,9.41,7.3,20.4,9.66,16.7,53.3,3.02,2.34,1.72,1.34,3.36,62.2,34.5
DO.0028,F,G7,LGDO-F-06,6/30/2011,2/12/2013,593,FCM (T-B-NK) 85wks,96.4,74.6,72.9,47.7,34.8,71.6,14.2,10.3,31.1,16.2,13.6,39.1,18.9,13.8,24.8,45.2,12.7,17.2,0.93,0.68,9.25,6.75,2.05,95.5,2.21
DO.0029,F,G7,LGDO-F-06,6/30/2011,8/14/2012,411,FCM (T-B-NK) 59wks,90.4,73.6,77.2,53.3,41.1,65.9,15.8,12.2,18.8,10.4,30.6,40.2,10.8,8.34,5.84,9.95,58.4,25.8,0.43,0.33,0.12,0.094,33.3,26.7,37.8
DO.0029,F,G7,LGDO-F-06,6/30/2011,2/21/2012,236,FCM (T-B-NK) 33wks,95.7,66.9,85.8,58.7,50.4,73.3,17.9,15.4,15.6,7.49,20.8,56,10.5,9.04,8.13,12,47.7,32.2,0.15,0.12,0.2,0.18,7.78,36.7,55.6
DO.0029,F,G7,LGDO-F-06,6/30/2011,2/12/2013,593,FCM (T-B-NK) 85wks,95.8,78.3,40.9,36.9,15.1,92.5,16,6.52,21.7,9.44,45.5,23.3,16.3,6.67,4.57,9.67,74.5,11.3,0.12,0.049,0.13,0.052,20.6,64.7,11.8
DO.0030,F,G7,LGDO-F-06,6/30/2011,8/14/2012,411,FCM (T-B-NK) 59wks,90.5,65.7,91.4,69.6,63.6,69.5,6.48,5.92,21,5.92,9.49,63.5,9.57,8.74,23.4,8.29,13.2,55.1,0.43,0.39,0.63,0.58,5.49,84.2,10.3
DO.0030,F,G7,LGDO-F-06,6/30/2011,2/14/2012,229,FCM (T-B-NK) 33wks,95.3,63.4,92.9,77.9,72.3,81.4,6.02,5.59,14.2,3.07,16.2,66.5,10.1,9.35,8.73,21.6,42.5,27.3,0.28,0.26,0.63,0.59,3.01,78.6,18.4
DO.0030,F,G7,LGDO-F-06,6/30/2011,2/12/2013,593,FCM (T-B-NK) 85wks,96.6,77,76.4,70.1,53.5,76.1,6.74,5.15,23.4,9.81,14.5,52.3,9.03,6.9,10.4,15.1,30.6,43.9,0.17,0.13,0.29,0.22,4.62,86.9,8.46
DO.0031,F,G7,LGDO-F-07,6/25/2011,8/21/2012,423,FCM (T-B-NK) 59wks,90.2,65.7,76.4,56.9,43.5,46.7,15.8,12.1,13.4,7.85,49.3,29.4,8.88,6.79,6.11,17,62.8,14,0.6,0.46,0.75,0.57,8.66,81.2,10.1
DO.0031,F,G7,LGDO-F-07,6/25/2011,2/14/2012,234,FCM (T-B-NK) 33wks,93.6,49.7,82.1,63.1,51.8,52,16.6,13.6,10.2,4.04,59.8,26,9.52,7.82,1.85,7.12,81.2,9.79,0.23,0.19,0.12,0.099,7.69,57.7,34.6
DO.0031,F,G7,LGDO-F-07,6/25/2011,2/12/2013,598,FCM (T-B-NK) 85wks,94.7,64.8,61.9,42,26,45.2,12.7,7.84,16.2,9.28,49.8,24.7,10.1,6.27,4.86,27.6,63.6,3.93,0.058,0.036,0.54,0.33,2.55,84.7,12.8
DO.0032,F,G7,LGDO-F-07,6/30/2011,8/21/2012,418,FCM (T-B-NK) 59wks,92.4,76.3,85.7,59.8,51.2,57.9,11.3,9.72,29.4,13.5,36.8,20.3,10,8.61,8.58,16.3,65.2,9.95,1.87,1.6,0.17,0.14,25.4,47.9,25.4
DO.0032,F,G7,LGDO-F-07,6/30/2011,2/21/2012,236,FCM (T-B-NK) 33wks,95.9,63.1,88.3,60.6,53.5,64.7,12.9,11.3,20.6,11.3,31,37.1,10.7,9.43,10.6,14.8,50.5,24.1,0.89,0.79,0.22,0.19,20.2,40.4,38.4
DO.0032,F,G7,LGDO-F-07,6/30/2011,2/12/2013,593,FCM (T-B-NK) 85wks,97.3,69.1,74.3,66.3,49.3,76.6,7.98,5.93,30.8,15.8,31,22.3,9.15,6.8,7.66,18.5,66.8,7.06,1.03,0.77,0.23,0.17,11.3,9.86,78.9
DO.0033,F,G7,LGDO-F-07,6/29/2011,8/21/2012,419,FCM (T-B-NK) 59wks,90.7,76.2,83.1,58.7,48.7,65.4,8.12,6.75,48.6,10.8,12.9,27.7,15.8,13.1,42,25.2,24.8,8,1.88,1.56,3.03,2.52,3.57,79,16.7
DO.0033,F,G7,LGDO-F-07,6/29/2011,2/14/2012,230,FCM (T-B-NK) 33wks,95.7,61.5,89.4,59.3,53,67.1,15.7,14,20.5,7.44,37.3,34.7,13.7,12.2,18.7,14.7,50,16.5,0.94,0.84,1.08,0.96,4.02,64.9,30.7
DO.0033,F,G7,LGDO-F-07,6/29/2011,2/12/2013,594,FCM (T-B-NK) 85wks,94.2,68.6,52.7,67.6,35.7,67.8,3.7,1.95,64.1,9.66,4.93,21.3,5.97,3.15,52.4,23.1,8.03,16.4,0.73,0.38,2.9,1.53,1.16,76.4,15.3
DO.0034,F,G7,LGDO-F-07,6/27/2011,8/21/2012,421,FCM (T-B-NK) 59wks,90,65.8,76.2,59.4,45.2,65.2,14.4,11,15.3,9.92,47.8,27,7.27,5.54,4.83,10.7,72,12.4,1.05,0.8,0.56,0.43,13.1,67,19.4
DO.0034,F,G7,LGDO-F-07,6/27/2011,2/14/2012,232,FCM (T-B-NK) 33wks,94.8,51.4,83.3,51.2,42.6,77.2,22.6,18.9,10.9,5.67,65.2,18.2,14.2,11.8,5.5,6.59,81.3,6.62,1.04,0.87,0.85,0.71,8.82,70.1,21.1
DO.0034,F,G7,LGDO-F-07,6/27/2011,2/12/2013,596,FCM (T-B-NK) 85wks,94.6,68.1,55.9,54.5,30.5,69.2,14.8,8.3,25,19.5,40.5,15,5.94,3.32,8.73,22.3,63.6,5.37,0.78,0.44,0.65,0.36,10.8,69.2,19.5
DO.0035,F,G7,LGDO-F-07,6/29/2011,8/21/2012,419,FCM (T-B-NK) 59wks,91,70.9,70.9,38.2,27.1,67.3,23.5,16.7,16.7,4.96,20.6,57.7,19,13.5,22.1,14.5,34.6,28.8,0.83,0.59,0.6,0.42,13.5,48.8,36.7
DO.0035,F,G7,LGDO-F-07,6/29/2011,2/14/2012,230,FCM (T-B-NK) 33wks,96.4,48.3,82.7,34.8,28.8,79.7,28.9,23.9,8.17,3.11,45.6,43.2,20.4,16.9,10.1,12,65.6,12.3,0.21,0.17,0.24,0.2,5.88,31.4,62.7
DO.0035,F,G7,LGDO-F-07,6/29/2011,2/12/2013,594,FCM (T-B-NK) 85wks,95,70.4,52.8,42.4,22.4,76.7,15.5,8.21,25.9,8.18,26.8,39.1,19.9,10.5,31.4,19.7,30.8,18.1,0.27,0.14,0.64,0.34,4.65,32,63.4
DO.0036,F,G7,LGDO-F-08,6/30/2011,2/21/2012,236,FCM (T-B-NK) 33wks,94.4,19.6,78.9,47.3,37.3,69.6,6.76,5.34,17.1,7.04,8.95,67,16.7,13.2,26,6.79,11.4,55.8,0.17,0.13,0.35,0.28,0,56.9,43.1
