Mouse.ID,Sex,Generation,penName,DOB,Exp.Date,Age.at.Exp.Date,Test.Name,Transitions.Made,Correct.Transitions,X..Correct,Tmaze.Duration.Start.1st.min,Tmaze.Duration.Start.2nd.min,Tmaze.Duration.Start.3rd.min,Tmaze.Duration.Start.4th.min,Tmaze.Duration.Start.5th.min,Tmaze.Duration.Right.1st.min,Tmaze.Duration.Right.2nd.min,Tmaze.Duration.Right.3rd.min,Tmaze.Duration.Right.4th.min,Tmaze.Duration.Right.5th.min,Tmaze.Duration.Left.1st.min,Tmaze.Duration.Left.2nd.min,Tmaze.Duration.Left.3rd.min,Tmaze.Duration.Left.4th.min,Tmaze.Duration.Left.5th.min,Tmaze.Duration.Center.1st.min,Tmaze.Duration.Center.2nd.min,Tmaze.Duration.Center.3rd.min,Tmaze.Duration.Center.4th.min,Tmaze.Duration.Center.5th.min,Tmaze.total.Distance.1st.min,Tmaze.total.Distance.2nd.min,Tmaze.total.Distance.3rd.min,Tmaze.total.Distance.4th.min,Tmaze.total.Distance.5th.min,Tmaze.Latency.to.Center.1st.min,Tmaze.Latency.to.Center.2nd.min,Tmaze.Latency.to.Center.3rd.min,Tmaze.Latency.to.Center.4th.min,Tmaze.Latency.to.Center.5th.min
DO.0688,F,G8,CSDO-F-18,10/22/2011,11/9/2012,384,Mouse number < 700,11,8,72.7,19.5528,14.5478,6.67332,2.63001,1.64092,18.5518,7.60758,4.13746,12.1454,NA,10.0767,7.15416,0.586892,NA,NA,10.9511,27.554,42.0625,43.6897,52.8202,2065.29,1898.37,1046.06,1385.48,793.495,18.9522,60,120.72,180,242.175
DO.0690,F,G8,CSDO-F-18,10/25/2011,11/9/2012,381,Mouse number < 700,18,13,72.2,30.4372,8.1346,9.67631,17.645,14.0533,7.00699,14.6283,13.1533,19.8659,6.47312,6.80679,12.012,8.00798,7.94125,NA,14.2809,22.9562,28.6285,13.4134,38.6728,1926.89,2272.87,2240.86,2063.79,1965.87,23.5568,65.5987,125.725,186.186,247.38
DO.0691,F,G8,CSDO-F-19,10/25/2011,10/26/2012,367,Mouse number < 700,8,6,75,59.5329,34.294,19.1524,22.0887,24.8915,NA,NA,6.60659,12.6793,NA,NA,NA,11.5654,12.7529,6.97957,NA,22.5695,14.6676,5.47212,21.9895,240.574,318.693,298.919,320.757,261.519,NA,71.8717,120,188.455,248.781
DO.0692,F,G8,CSDO-F-19,10/22/2011,4/26/2013,552,Mouse number < 700,13,7,53.8,15.8158,31.7117,2.12212,9.60961,8.67534,14.7481,6.80681,12.8795,2.002,4.53787,NA,NA,12.032,27.8078,5.93927,25.0984,18.8789,30.1635,20.1134,40.5138,549.372,473.139,421.404,501.231,415.379,17.4174,60,122.055,188.121,240
DO.0693,F,G8,CSDO-F-19,10/25/2011,4/26/2013,549,Mouse number < 700,7,6,85.7,14.2809,8.14147,0.467134,NA,17.9847,6.33967,NA,NA,14.2809,NA,NA,4.53787,1.53487,0.667334,NA,28.8355,47.3207,57.3974,43.5168,41.9486,328.24,347.789,275.707,264.065,319.339,11.1445,60,120,180,240
DO.0694,F,G8,CSDO-F-19,10/27/2011,4/26/2013,547,Mouse number < 700,15,10,66.7,28.4351,24.5646,11.665,29.0958,15.0484,4.2042,5.93927,8.07474,10.1435,12.6793,4.6046,8.87554,3.8038,NA,7.74108,22.9563,20.4204,34.4545,20.3604,21.328,687.451,608.196,579.291,631.044,531.375,19.8866,71.9386,127.861,180,240
DO.0695,F,G8,CSDO-F-19,10/23/2011,4/26/2013,551,Mouse number < 700,25,15,60,18.3517,18.8322,9.68302,19.7598,16.4231,6.13947,9.87654,13.2132,12.4791,9.34268,18.7588,12.2055,6.53987,7.47414,6.47314,16.7501,18.7521,31.031,20.3537,27.8278,776.021,799.619,587.694,580.399,521.156,18.4184,63.33,120.12,188.922,241.708
DO.0696,F,G8,CSDO-F-20,10/26/2011,11/9/2012,380,Mouse number < 700,23,17,73.9,34.3676,15.4154,8.87552,15.6156,12.8128,11.1513,12.0051,12.9001,1.1139,16.4831,4.00399,11.6783,8.80878,16.8168,6.50739,9.87651,20.3006,28.6148,25.3193,23.5961,3134.4,3717.38,3023.14,3030.33,2770.56,24.1574,60.8607,120,181.181,240
DO.0698,F,G8,CSDO-F-20,10/27/2011,11/9/2012,379,Mouse number < 700,6,5,83.3,16.016,0.467133,5.47212,1.53486,NA,6.53985,NA,NA,1.86853,NA,4.07072,0.533866,NA,NA,0.434665,32.1055,57.4641,53.1265,54.1275,57.2297,899.906,1707.83,1181.59,1957.08,876.301,16.1494,60,120,180,240
DO.0700,F,G8,CSDO-F-20,10/23/2011,11/9/2012,383,Mouse number <800,6,4,66.7,32.2321,NA,34.2547,16.596,24.6913,NA,3.60359,NA,0.066733,19.854,NA,14.2142,NA,NA,NA,26.7669,33.9741,25.6786,42.6699,15.3212,1624.51,2286.76,1931.4,1743.31,1854.08,31.0309,60,120,196.663,240
DO.0701,F,G8,CSDO-F-21,10/26/2011,4/26/2013,548,Mouse number <800,18,14,77.8,19.6196,7.74108,18.8388,21.8685,4.2042,11.5449,7.87454,11.1445,8.94228,2.23557,7.94127,18.4852,5.8058,9.67634,16.1495,21.0277,27.1672,24.678,19.6463,39.8131,653.704,579.17,571.325,533.974,391.703,16.8836,60,120,193.193,240
DO.0702,F,G8,CSDO-F-21,10/23/2011,4/26/2013,551,Mouse number <800,9,8,88.9,26.8936,9.00901,NA,15.3487,3.73707,3.47014,0.266933,NA,10.8108,NA,5.67234,1.001,14.6813,NA,NA,24.2309,50.1902,46.4531,34.0407,56.5966,562.975,370.169,315.511,342.753,227.827,24.9583,60,120,180,240
DO.0703,F,G8,CSDO-F-21,10/27/2011,4/26/2013,547,Mouse number <800,14,10,71.4,31.4314,4.13747,9.20921,5.36537,14.9216,7.14047,5.68569,14.2009,10.5439,16.2162,10.5506,21.5482,3.33667,NA,11.7451,11.0777,28.8956,33.3867,44.6246,17.8512,447.769,321.006,367.591,258.374,340.772,16.5499,72.1388,125.526,180,250.117
DO.0704,F,G8,CSDO-F-21,10/24/2011,10/26/2012,368,Mouse number <800,3,3,100,22.756,2.06873,2.06873,14.1474,NA,0.333666,NA,NA,NA,NA,0.133466,NA,NA,NA,NA,32.1055,54.6613,54.1942,41.7151,52.0912,300.716,286.435,187.046,170.171,143.115,25.4253,60,120,180,240
DO.0706,F,G8,CSDO-F-22,10/24/2011,4/19/2013,543,Mouse number <800,15,9,60,21.755,NA,NA,15.4428,17.3899,10.2838,17.544,12.7666,6.98643,7.84205,9.00898,14.748,NA,0.400399,8.94225,19.4861,27.708,47.2334,35.4353,24.6913,595.53,412.416,297.695,308.733,390.175,20.8208,77.6774,120,185.118,248.715
DO.0707,F,G8,CSDO-F-22,10/26/2011,4/19/2013,541,Mouse number <800,1,1,100,57.4641,48.1215,12.3991,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.003,11.2779,NA,0.467134,NA,37.2573,34.5078,17.9246,293.569,100.302,278.852,212.64,50.3683,10.2769,NA,135.869,180,240
DO.0708,F,G8,CSDO-F-22,10/23/2011,10/26/2012,369,Mouse number <800,10,9,90,20.8875,0.600598,15.4821,NA,6.94025,9.08257,8.26806,NA,24.2242,9.80978,10.1434,2.66933,15.3486,5.96667,8.11404,13.3466,38.5188,22.1623,19.2653,26.0602,553.113,342.319,287.924,231.92,295.766,22.4891,68.8687,120,180,250.583
DO.0709,F,G8,CSDO-F-22,10/25/2011,4/19/2013,542,Mouse number <800,6,3,50,47.3207,8.28162,15.9359,NA,1.26794,NA,12.012,14.014,0.066734,NA,NA,NA,2.22222,15.3954,NA,12.6793,39.7064,28.028,44.5379,58.8655,392.24,313.662,347.307,278.031,138.461,27.8278,60.7941,135.936,195.395,240
DO.0710,F,G8,CSDO-F-22,10/22/2011,4/19/2013,545,Mouse number <800,14,9,64.3,24.8248,6.33967,NA,8.14147,4.8048,7.07374,8.95562,1.18785,6.60661,20.9877,8.07474,6.33967,6.20621,10.6773,NA,20.1602,38.4318,52.6059,34.8415,34.2075,433.431,439.947,346.739,479.464,416.391,24.8248,60,120.654,180,240
DO.0711,F,G8,CSDO-F-23,10/27/2011,10/26/2012,365,Mouse number <800,3,2,66.7,31.2979,NA,NA,NA,NA,NA,10.6773,NA,NA,NA,12.486,4.3308,1.73506,NA,23.757,5.27192,37.1841,50.7241,58.1982,19.4587,285.707,386.566,146.165,90.011,237.038,34.8347,64.3308,120,180,240
DO.0712,F,G8,CSDO-F-23,10/22/2011,4/12/2013,538,Mouse number <800,6,6,100,15.0817,14.8148,NA,15.1084,40.4137,13.2799,NA,NA,7.40741,NA,14.2809,NA,14.8348,1.31465,NA,17.1572,45.1852,45.1652,36.1695,19.653,512.372,321.885,239.063,350.272,276.393,15.3487,60,120,181.315,280.347
DO.0713,F,G8,CSDO-F-23,10/24/2011,4/12/2013,536,Mouse number <800,12,8,66.7,23.4234,23.7571,NA,14.1475,11.5449,8.34168,9.74308,5.75909,22.7628,14.2876,12.012,4.01735,17.9379,NA,12.3457,16.2896,22.8829,36.5032,23.1565,21.9553,354.98,367.051,270.468,338.51,280.813,23.4234,60,124.258,187.187,242.709
DO.0714,F,G8,CSDO-F-23,10/27/2011,4/12/2013,533,Mouse number <800,16,11,68.8,37.4441,33.8939,10.4104,7.00701,18.3183,NA,8.60861,12.3457,20.8208,4.20421,5.53887,6.60661,9.87654,NA,1.73507,16.6834,9.75642,27.5008,32.1722,35.9426,557.068,500.245,488.436,406.749,401.422,32.4324,72.4057,120,180,240
DO.0715,F,G8,CSDO-F-23,10/25/2011,4/12/2013,535,Mouse number <800,4,1,25,24.3644,33.6937,NA,NA,14.1141,NA,NA,NA,NA,NA,4.00401,NA,NA,NA,8.54188,31.6316,20.0334,60,60,37.5442,272.577,230.731,160.858,191.457,259.711,20.6874,93.6937,120,180,240
DO.0716,F,G8,CSDO-F-24,10/25/2011,10/26/2012,367,Mouse number <800,12,9,75,22.6893,8.47512,NA,7.2346,6.91284,9.7499,5.99913,NA,11.011,12.9462,9.27591,10.4104,24.8453,0.313106,11.4781,15.0817,26.2399,30.6836,35.9025,17.4516,586.215,574.599,484.199,395.491,388.57,18.2849,66.1326,120,180.447,242.175
DO.0717,F,G8,CSDO-F-24,10/22/2011,11/9/2012,384,Mouse number <800,19,11,57.9,19.6196,NA,NA,18.6853,NA,12.6793,26.707,21.4282,2.64877,6.60659,11.2779,26.8935,21.8885,15.2819,14.1817,15.9561,6.06587,13.9472,19.9139,36.4089,3553.46,3329.45,3093.89,2770.87,2208.92,13.4134,60,125.859,183.917,240
DO.0718,F,G8,CSDO-F-24,10/25/2011,11/9/2012,381,Mouse number <800,6,2,33.3,17.8845,0.066733,NA,NA,NA,19.6264,9.66946,21.3546,0.667332,NA,NA,NA,0.133467,35.7297,7.31324,17.2839,49.7299,37.5776,20.5333,52.5533,1258.13,875.424,1375.26,1233.6,1075.11,22.0887,69.7362,120,180,247.447
DO.0719,F,G8,CSDO-F-24,10/23/2011,11/9/2012,383,Mouse number <800,31,19,61.3,17.3575,15.1553,14.4007,10.2769,10.6106,10.2769,18.6853,16.4369,19.4655,10.744,11.3446,12.0787,15.8825,8.56926,15.8551,20.02,13.5468,12.3456,20.5538,20.5881,3328.36,3812.99,3098.03,3110.66,2756.18,13.0797,70.0031,125.325,180.847,247.046
DO.0720,F,G8,CSDO-F-24,10/26/2011,11/9/2012,380,Mouse number <800,4,2,50,44.1842,60,42.0282,21.1151,11.8511,NA,NA,NA,NA,11.9128,NA,NA,0.888092,20.2663,20.6873,14.8148,NA,16.0827,17.5508,12.8795,1537.68,1351.16,1204.37,1557.62,1587.63,25.8257,NA,162.228,200.333,251.985
DO.0721,F,G9,CSDO-F-25,2/21/2012,2/8/2013,353,Mouse number <800,18,10,55.6,33.6403,21.5482,14.1475,4.27094,16.8836,NA,12.1588,18.8722,34.3677,17.651,10.0767,8.54187,17.5709,10.991,10.3437,16.2829,17.4174,9.34268,10.1702,14.9216,607.457,797.228,686.862,609.604,706.225,23.6904,63.33,133.4,180.848,240
DO.0722,F,G9,CSDO-F-25,2/22/2012,2/8/2013,352,Mouse number <800,19,11,57.9,16.016,18.2182,NA,7.40741,13.9473,9.74308,7.00701,12.3457,NA,14.5812,6.47314,6.87354,13.2132,11.0777,13.2799,27.5008,27.4341,34.1074,41.5148,17.5242,436.477,536.318,406.812,386.136,407.442,16.016,60,120,180,240
DO.0723,F,G9,CSDO-F-25,2/19/2012,2/8/2013,355,Mouse number <800,14,10,71.4,47.047,NA,20.4872,15.5088,11.5182,NA,21.7551,3.4034,13.0797,14.9483,7.48081,20.6139,7.60761,7.47414,7.54087,5.2052,17.4308,27.7678,24.004,25.2586,274.67,537.591,443.518,367.306,373.204,47.047,65.7991,120,180,245.913
DO.0725,F,G9,CSDO-F-25,2/21/2012,2/8/2013,353,Mouse number <800,16,11,68.8,27.4942,10.01,2.26893,NA,12.0787,7.40741,6.00601,0.867534,8.00801,4.07074,5.6056,4.47114,7.60761,9.10244,0.774107,14.688,38.4451,47.4541,41.1545,41.9419,501.822,408.843,276.266,287.406,268.63,26.7601,60,120,180,241.108
DO.0726,F,G9,CSDO-F-26,2/19/2012,2/22/2013,369,Mouse number <800,18,9,50,25.6256,17.8846,19.019,NA,11.3113,5.40541,16.8302,14.3343,40.7074,10.5439,5.60561,12.5459,9.67634,10.1435,24.8916,23.2966,12.5392,16.9036,9.08242,13.1865,465.017,605.86,548.599,344.881,473.074,25.6256,60,125.259,180,240
DO.0727,F,G9,CSDO-F-26,2/20/2012,2/22/2013,368,Mouse number <800,17,10,58.8,16.8902,14.0073,8.67534,12.3457,NA,16.4164,1.46814,16.3497,NA,20.4872,7.00701,3.8038,10.9443,2.73607,9.20921,19.5529,40.5873,23.6303,44.7848,29.9032,500.184,380.699,398.736,288.912,347.504,15.8158,69.6029,120,180,240
DO.0728,F,G9,CSDO-F-26,2/20/2012,2/22/2013,368,Mouse number <800,14,8,57.1,12.4791,10.6773,6.62663,12.7261,12.4458,6.20621,12.7461,10.8108,13.013,22.0888,14.8215,9.9366,3.87054,NA,NA,26.4264,26.373,38.692,33.7938,25.4655,557.384,418.197,369.723,324.76,309.555,12.4791,60.7274,120,192.459,240
DO.0729,F,G9,CSDO-F-26,2/22/2012,2/22/2013,366,Mouse number <800,24,16,66.7,17.4174,13.013,7.87454,8.00801,7.54087,9.14248,6.40641,7.1605,8.18819,10.1435,19.693,6.9336,3.53687,12.012,9.34268,13.3467,33.38,41.2946,31.3914,32.9062,741.155,735.849,516.492,563.708,446.092,17.4174,60.7274,120,183.383,240
DO.0730,F,G9,CSDO-F-26,2/20/2012,2/22/2013,368,Mouse number <800,15,9,60,26.5599,7.60761,6.53987,9.94328,11.0777,0.600601,6.40641,NA,8.40841,3.67034,14.014,8.47514,7.94128,NA,9.74308,18.6253,36.5098,45.4521,41.5816,35.3754,555.849,436.656,310.651,300.284,331.869,15.9493,60,120,180,240
DO.0731,F,G9,CSDO-F-27,2/20/2012,2/8/2013,354,Mouse number <800,12,10,83.3,35.035,25.292,25.045,12.8595,3.003,4.73807,10.7441,NA,7.74107,10.7441,NA,8.20821,9.07574,0.266933,6.47314,20.0267,15.2886,25.9459,39.2659,39.5796,225.878,445.098,364.277,408.042,384.563,34.9683,60,120,181.048,240
DO.0732,F,G9,CSDO-F-27,2/20/2012,2/8/2013,354,Mouse number <800,14,8,57.1,19.7531,20.1535,24.0908,1.2012,38.4718,14.7481,5.95262,9.4628,5.93927,NA,6.94027,15.0817,7.07374,NA,9.80981,18.3584,18.6787,19.2392,52.7261,10.5172,683.251,585.616,491.743,439.181,357.217,19.7531,60,129.463,180,240
DO.0735,F,G9,CSDO-F-27,2/22/2012,2/8/2013,352,Mouse number <800,2,1,50,52.2523,NA,NA,6.80681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266934,NA,7.74775,60,60,53.0597,60,133.611,150.984,132.618,182.37,89.1472,52.2523,60,120,180,240
DO.0736,F,G9,CSDO-F-28,2/23/2012,2/22/2013,365,Mouse number <800,7,5,71.4,47.1805,29.2292,14.014,26.8936,NA,NA,NA,11.6116,NA,15.5489,NA,16.2963,12.7528,18.4251,2.97631,12.686,14.4077,20.9543,13.6803,41.3413,318.853,303.522,301.917,274.553,230.205,44.9783,60,120.053,181.048,242.976
DO.0737,F,G9,CSDO-F-28,2/21/2012,2/22/2013,367,Mouse number <800,12,7,58.3,20.4872,9.07574,NA,24.5179,4.57791,9.40941,4.21755,23.9439,NA,27.6276,8.54188,7.34067,10.7441,7.34067,NA,20.4938,39.0991,24.5779,28.0747,26.7935,543.168,539.509,373.409,384.602,281.416,15.8158,60,132.132,180,244.711
DO.0738,F,G9,CSDO-F-28,2/22/2012,2/22/2013,366,Mouse number <800,6,2,33.3,15.6823,5.73907,NA,14.9483,6.27294,0.934268,0.667335,NA,NA,NA,NA,NA,NA,2.33567,NA,43.1165,53.0597,59.5996,38.1782,50.6573,335.374,265.896,219.144,265.166,212.09,15.6156,60,120,180,240
DO.0739,F,G9,CSDO-F-28,2/21/2012,2/22/2013,367,Mouse number <800,15,11,73.3,22.1555,17.3507,3.8038,11.1044,7.11378,11.3447,8.67534,20.2402,4.05072,27.8278,16.1562,5.39873,NA,17.4842,11.2779,9.94328,25.5722,35.1552,25.7591,12.8795,397.865,354.437,332.569,286.076,317.863,22.2222,64.3977,120,181.515,247.247
DO.0740,F,G9,CSDO-F-28,2/21/2012,2/22/2013,367,Mouse number <800,9,5,55.6,21.8218,14.8949,3.05639,NA,NA,NA,14.8148,1.6016,NA,23.0898,18.0848,9.67634,9.54288,17.6844,NA,20.0934,20.6139,45.5322,41.982,36.7768,405.636,418.603,359.299,244.384,342.42,21.8218,60,122.99,180,240
DO.0741,F,G9,CSDO-F-29,2/22/2012,8/16/2013,541,Mouse number <800,12,9,75,31.372,5.46409,29.8292,NA,23.0893,5.47202,17.166,2.18629,16.5495,12.3454,8.3415,6.33954,NA,22.7556,0.066732,14.8145,31.0304,27.9178,20.7616,23.9918,360.397,363.852,188.58,233.572,216.22,29.2286,65.4641,122.186,180,240
DO.0742,F,G9,CSDO-F-29,2/20/2012,8/16/2013,543,Mouse number <800,18,7,38.88888889,50.1168,10.9443,8.87554,8.20821,10.1101,3.20988,21.5482,6.40641,6.16617,26.8001,NA,15.4288,13.9339,27.5609,11.3447,4.47114,11.4781,30.5172,18.0647,11.6783,186.777,503.65,401.263,304.372,240.404,51.8519,67.2673,128.929,180,243.377
