Mouse.ID,Sex,Generation,penName,DOB,Exp.Date,Age.at.Exp.Date,Test.Name,BW,WBC..x103.uL.,RBC..x106.uL.,HGB..g.dL.,HCT....,MCV..fL.,MCH..pg.,MCHC..g.dL.,Plt..x103.uL.,MPV..fL.,X.Retic,X.Retic.109cells.l.,X.Neut,X.LYMPH,X.MONO,X.EOS,X.BASO,X.LUC,X.NEUT.103cells.uL.,X.LYMPH.103cells.uL.,X.MONO.103cells.uL.,X.EOS.103cells.uL.,X.BASO.103cells.uL.,X.LUC.103cells.uL.,CHCM.g.dL.,Tube.A..plasma.vl.,Plasma.Box.ID
DO.0027,F,G7,LGDO-F-06,6/29/2011,1/31/2012,216,Bld-2 31wks,24.05,8.79,10.85,16.3,58,53.4,15,28.1,1517,6.6,0,0,12.9,79.4,2.5,4.2,0.4,0.6,1.13,6.98,0.22,0.37,0.03,0.05,27.8,40,JDO-B-013112-01
DO.0028,F,G7,LGDO-F-06,6/30/2011,2/8/2012,223,Bld-2 31wks,28.84,4.11,11.56,17.9,62.8,54.3,15.5,28.6,1489,7.5,0,0,21.1,71.5,3.2,2.3,1.1,0.8,0.87,2.94,0.13,0.09,0.04,0.03,28.2,40,JDO-B-020812-01
DO.0029,F,G7,LGDO-F-06,6/30/2011,2/8/2012,223,Bld-2 31wks,50.4,8.73,10.02,15.4,57.2,57,15.3,26.9,1776,7.1,0,0,12.9,79.9,2.9,3.1,0.4,0.8,1.13,6.98,0.26,0.27,0.03,0.07,26.6,40,JDO-B-020812-01
DO.0030,F,G7,LGDO-F-06,6/30/2011,1/31/2012,215,Bld-2 31wks,28.91,11.5,10.31,15.5,56.3,54.5,15,27.5,1227,6.4,0,0,5.1,91.3,1.5,1,0.3,0.6,0.59,10.5,0.17,0.12,0.04,0.07,26.5,40,JDO-B-013112-01
DO.0031,F,G7,LGDO-F-07,6/25/2011,1/31/2012,220,Bld-2 31wks,32.82,6.45,12,16.5,61.7,51.4,13.7,26.7,1462,6.1,0,0,13.8,79.9,3.1,2.5,0.3,0.5,0.89,5.16,0.2,0.16,0.02,0.03,26.8,40,JDO-B-013112-01
DO.0032,F,G7,LGDO-F-07,6/30/2011,2/8/2012,223,Bld-2 31wks,30.83,7.29,10.73,15.4,57.7,53.8,14.3,26.6,1440,7.3,0,0,7,89.2,1,2,0.3,0.5,0.51,6.51,0.07,0.15,0.02,0.04,26.1,40,JDO-B-020812-01
DO.0033,F,G7,LGDO-F-07,6/29/2011,1/31/2012,216,Bld-2 31wks,30.05,8.34,10.78,16.8,59.7,55.4,15.6,28.1,1402,6.1,0,0,7.9,88.6,1.1,1.7,0.3,0.4,0.66,7.39,0.09,0.14,0.02,0.03,27.8,40,JDO-B-013112-01
DO.0034,F,G7,LGDO-F-07,6/27/2011,1/31/2012,218,Bld-2 31wks,26.54,4.28,10.67,16.2,58.1,54.5,15.2,27.9,1613,6.1,0,0,16.1,79.8,1.5,2.4,0.2,0.2,0.69,3.42,0.06,0.1,0.01,0.01,27.9,40,JDO-B-013112-01
DO.0035,F,G7,LGDO-F-07,6/29/2011,1/31/2012,216,Bld-2 31wks,25.07,8.04,11.32,15.6,57.7,50.9,13.8,27.1,1676,6.4,0,0,9.5,85,0.4,4.2,0.4,0.5,0.77,6.84,0.03,0.34,0.03,0.04,26.6,40,JDO-B-013112-01
DO.0036,F,G7,LGDO-F-08,6/30/2011,2/8/2012,223,Bld-2 31wks,27.27,1.79,9.82,15.1,52.3,53.3,15.4,28.8,1040,9.3,0,0,17.8,76.6,2.6,1.7,0.5,0.8,0.32,1.37,0.05,0.03,0.01,0.01,29.5,40,JDO-B-020812-01
DO.0037,F,G7,LGDO-F-08,6/30/2011,2/8/2012,223,Bld-2 31wks,29.45,6.91,11.21,16.1,58.2,51.9,14.4,27.7,1693,7.4,0,0,12.1,80.9,2.1,3.6,0.6,0.6,0.83,5.59,0.15,0.25,0.04,0.04,27.8,40,JDO-B-020812-01
DO.0038,F,G7,LGDO-F-08,7/1/2011,2/8/2012,222,Bld-2 31wks,33.66,6.65,10.08,16.7,62.5,62,16.6,26.7,1799,7.9,0,0,7.2,84.7,2.6,4.2,0.4,0.9,0.48,5.64,0.17,0.28,0.02,0.06,25.8,40,JDO-B-020812-01
DO.0039,F,G7,LGDO-F-08,6/30/2011,2/8/2012,223,Bld-2 31wks,30.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,JDO-B-020812-01
DO.0041,F,G7,LGDO-F-09,6/30/2011,2/8/2012,223,Bld-2 31wks,25.73,8.94,9.12,14.8,54.9,60.2,16.2,26.9,1301,7.3,0,0,12.3,83.4,1.4,1.6,0.5,0.7,1.1,7.46,0.13,0.14,0.05,0.06,26.4,45,JDO-B-020812-01
DO.0042,F,G7,LGDO-F-09,6/26/2011,1/31/2012,219,Bld-2 31wks,23.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,JDO-B-013112-01
DO.0044,F,G7,LGDO-F-09,6/28/2011,1/31/2012,217,Bld-2 31wks,20.53,7.3,11.42,14.4,54.1,47.4,12.7,26.7,840,5.8,0,0,9.1,84.5,3.2,2.2,0.6,0.5,0.66,6.17,0.23,0.16,0.04,0.04,26,40,JDO-B-013112-01
DO.0045,F,G7,LGDO-F-09,6/30/2011,2/8/2012,223,Bld-2 31wks,21.03,7.6,11.98,16.2,61.9,51.7,13.5,26.1,1098,7.2,0,0,12.2,78.3,2.3,6.3,0.4,0.5,0.93,5.95,0.17,0.48,0.03,0.04,25.9,40,JDO-B-020812-01
DO.0046,F,G7,LGDO-F-10,6/27/2011,1/31/2012,218,Bld-2 31wks,22.79,11.57,11.02,15.6,56.4,51.2,14.2,27.7,1296,6.4,0,0,5.6,90.5,1.7,1.4,0.3,0.6,0.65,10.47,0.19,0.16,0.03,0.07,27.9,45,JDO-B-013112-01
DO.0047,F,G7,LGDO-F-10,6/30/2011,2/8/2012,223,Bld-2 31wks,21.61,9.4,9.81,15.6,60.1,61.3,15.9,25.9,2129,7.2,0,0,12.3,82.2,2.4,1.4,0.5,1.3,1.15,7.72,0.22,0.13,0.05,0.12,24.9,20,JDO-B-020812-01
DO.0048,F,G7,LGDO-F-10,6/30/2011,2/8/2012,223,Bld-2 31wks,28.28,5,11.11,16.8,64.5,58.1,15.1,26,1338,7.3,0,0,13.9,79.4,2,3.9,0.4,0.3,0.7,3.97,0.1,0.2,0.02,0.02,25.1,40,JDO-B-020812-01
DO.0049,F,G7,LGDO-F-10,6/25/2011,1/31/2012,220,Bld-2 31wks,26.79,6.02,9.04,13.3,53.4,59,14.7,25,2448,6.3,0,0,37.1,55.8,2.4,2.4,0.6,1.6,2.23,3.36,0.15,0.15,0.04,0.1,25.3,35,JDO-B-013112-01
DO.0050,F,G7,LGDO-F-10,6/29/2011,1/31/2012,216,Bld-2 31wks,30.25,6.3,11.25,15.8,58.7,52.2,14.1,27,1831,6.6,0,0,17.1,73.8,3.6,4.9,0.3,0.2,1.08,4.65,0.23,0.31,0.02,0.01,26.8,35,JDO-B-013112-01
DO.0051,F,G7,LGDO-F-11,6/30/2011,2/8/2012,223,Bld-2 31wks,32.08,4.25,10.21,15.4,59.6,58.4,15,25.8,1899,7.1,0,0,15.3,80.9,1.3,1.4,0.3,0.8,0.65,3.44,0.05,0.06,0.01,0.04,25.5,40,JDO-B-020812-01
DO.0052,F,G7,LGDO-F-11,6/25/2011,1/31/2012,220,Bld-2 31wks,21.03,8.2,10.89,14.4,53,48.7,13.2,27.1,1262,6.2,0,0,7.3,88.7,1.4,1.5,0.3,0.7,0.6,7.27,0.12,0.12,0.03,0.06,26.4,40,JDO-B-013112-01
DO.0053,F,G7,LGDO-F-11A,6/27/2011,1/31/2012,218,Bld-2 31wks,38.01,8.28,11.51,16,57.2,49.7,13.9,28,1744,6.7,0,0,17.1,72.6,5,4.1,0.5,0.6,1.42,6.02,0.41,0.34,0.04,0.05,27.7,40,JDO-B-013112-01
DO.0054,F,G7,LGDO-F-11,6/29/2011,1/31/2012,216,Bld-2 31wks,27.88,10.37,12.59,17.1,60.6,48.1,13.6,28.2,1712,6.5,0,0,9.8,85.2,1.7,2.6,0.2,0.5,1.02,8.84,0.18,0.27,0.02,0.05,28,40,JDO-B-013112-01
DO.0055,F,G7,LGDO-F-11,7/1/2011,2/8/2012,222,Bld-2 31wks,29.32,3.7,10.39,14.5,52.4,50.5,14,27.7,1249,7.2,0,0,16.1,79.1,2.1,1.9,0.4,0.5,0.6,2.93,0.08,0.07,0.01,0.02,27.4,20,JDO-B-020812-01
DO.0056,F,G7,LGDO-F-12,7/1/2011,2/8/2012,222,Bld-2 31wks,34.29,11.31,11.52,15.4,60.1,52.2,13.4,25.7,1289,6.9,0,0,11.4,83.9,2.7,1.1,0.3,0.6,1.29,9.49,0.3,0.13,0.04,0.07,25.4,40,JDO-B-020812-01
DO.0057,F,G7,LGDO-F-12,6/28/2011,1/31/2012,217,Bld-2 31wks,32.81,6.28,11.14,16.3,59.5,53.4,14.6,27.4,1821,6.5,0,0,10.7,84.8,2.1,1.8,0.2,0.4,0.67,5.32,0.13,0.11,0.01,0.03,27.1,40,JDO-B-013112-01
DO.0058,F,G7,LGDO-F-12,6/26/2011,1/31/2012,219,Bld-2 31wks,35.97,7.78,11.22,17,61.2,54.5,15.1,27.8,1384,6.7,0,0,11.1,79.6,5.8,2.5,0.4,0.5,0.86,6.2,0.45,0.2,0.03,0.04,27.7,40,JDO-B-013112-01
DO.0059,F,G7,LGDO-F-12,6/29/2011,1/31/2012,216,Bld-2 31wks,23.75,10.82,11.72,16.2,57.9,49.3,13.8,27.9,1318,5.8,0,0,7.3,88.4,1.4,1.8,0.4,0.7,0.79,9.57,0.15,0.19,0.04,0.08,27.9,45,JDO-B-013112-01
DO.0060,F,G7,LGDO-F-12,6/25/2011,1/31/2012,220,Bld-2 31wks,22.29,14.08,11.75,16.2,57.1,48.7,13.8,28.3,1450,6.1,0,0,6.4,87.9,1,3,0.6,1,0.91,12.38,0.14,0.42,0.08,0.14,28.1,40,JDO-B-013112-01
DO.0061,F,G8,LGDO-F-13,10/22/2011,5/29/2012,220,Bld-2 31wks,24.93,10.41,11.49,16.7,57.1,49.7,14.6,29.3,1651,6,0,0,8.2,88.6,1.2,0.9,0.3,0.7,0.86,9.22,0.12,0.09,0.04,0.08,28.1,45,JDO-B-052912-01
DO.0062,F,G8,LGDO-F-13,10/23/2011,5/29/2012,219,Bld-2 31wks,20.92,9.19,12.05,17.4,59.6,49.4,14.4,29.2,1090,5.3,0,0,6.7,89.1,1.7,1,0.5,1,0.62,8.19,0.15,0.09,0.05,0.09,27.6,45,JDO-B-052912-01
DO.0063,F,G8,LGDO-F-13,10/26/2011,5/29/2012,216,Bld-2 31wks,31.77,7.55,10.79,16.5,55.9,51.8,15.3,29.6,1064,5.3,0,0,16.2,76.8,3.7,2.4,0.3,0.7,1.22,5.8,0.28,0.18,0.02,0.05,28,45,JDO-B-052912-01
DO.0064,F,G8,LGDO-F-13,10/22/2011,5/29/2012,220,Bld-2 31wks,24.75,9.89,10.37,16.4,54.8,52.8,15.8,29.9,1494,5.7,0,0,13.6,79.9,3.6,1.2,0.7,1,1.35,7.9,0.35,0.12,0.07,0.1,28.9,45,JDO-B-052912-01
DO.0065,F,G8,LGDO-F-13,10/25/2011,5/29/2012,217,Bld-2 31wks,32.95,16.81,10.99,15.7,51.7,47,14.3,30.4,1418,5.7,0,0,6.7,88.4,1.3,1.7,0.5,1.3,1.13,14.86,0.23,0.29,0.09,0.21,29.7,45,JDO-B-052912-01
DO.0066,F,G8,LGDO-F-14,10/27/2011,5/29/2012,215,Bld-2 31wks,27.12,16.63,10.67,14.6,49.8,46.7,13.7,29.3,1689,5.6,0,0,6.5,89.9,1.7,0.7,0.3,0.9,1.08,14.96,0.28,0.11,0.06,0.14,28.2,45,JDO-B-052912-01
DO.0067,F,G8,LGDO-F-14,10/22/2011,5/29/2012,220,Bld-2 31wks,29.51,7.9,10.58,14.8,50.1,47.3,14,29.5,1539,5.5,0,0,17.4,79,1.6,1,0.3,0.7,1.38,6.24,0.13,0.08,0.02,0.05,28.4,45,JDO-B-052912-01
DO.0068,F,G8,LGDO-F-14,10/27/2011,5/29/2012,215,Bld-2 31wks,36.55,10.87,11.08,15.1,53.3,48.1,13.7,28.4,1914,5.6,0,0,8.7,85.4,2.4,2.5,0.4,0.7,0.95,9.27,0.26,0.27,0.04,0.08,27.8,45,JDO-B-052912-01
DO.0069,F,G8,LGDO-F-14,10/24/2011,5/29/2012,218,Bld-2 31wks,29.46,5.55,9.42,14.8,51.3,54.4,15.7,28.8,1413,5.6,0,0,9.4,86.8,1.6,0.8,0.6,0.8,0.52,4.82,0.09,0.04,0.03,0.05,27.5,45,JDO-B-052912-01
DO.0070,F,G8,LGDO-F-14,10/25/2011,5/29/2012,217,Bld-2 31wks,24.47,15.84,12.38,12.9,48.6,39.2,10.4,26.5,2157,5.8,0,0,69,23.1,0.9,2.2,0.3,4.5,10.93,3.66,0.14,0.35,0.05,0.72,26.2,45,JDO-B-052912-01
DO.0071,F,G8,LGDO-F-15,10/22/2011,5/30/2012,221,Bld-2 31wks,31.93,11.06,11.08,15.9,57.5,51.9,14.4,27.7,1006,7.4,0,0,6.6,89.2,1.6,1.4,0.4,0.8,0.73,9.86,0.18,0.16,0.04,0.09,25.9,35,JDO-B-053012-01
DO.0072,F,G8,LGDO-F-15,10/26/2011,5/30/2012,217,Bld-2 31wks,30.72,4.74,12.74,17.2,63.2,49.6,13.5,27.2,1146,7.6,0,0,15.3,71.3,3.9,7.9,0.6,1.1,0.72,3.38,0.19,0.37,0.03,0.05,26.2,40,JDO-B-053012-01
DO.0073,F,G8,LGDO-F-15,10/22/2011,5/30/2012,221,Bld-2 31wks,32.53,5.99,10.73,16.8,57.5,53.6,15.6,29.1,1267,8.2,0,0,7.2,88.3,1.7,1.6,0.3,0.9,0.43,5.29,0.1,0.1,0.02,0.05,27.7,40,JDO-B-053012-01
DO.0074,F,G8,LGDO-F-15,10/27/2011,5/30/2012,216,Bld-2 31wks,26.23,16.88,11.61,16.6,60.7,52.3,14.3,27.3,1028,7.2,0,0,6.2,89.6,0.8,1.7,0.5,1.2,1.05,15.13,0.14,0.28,0.08,0.19,26,40,JDO-B-053012-01
DO.0075,F,G8,LGDO-F-15,10/22/2011,5/30/2012,221,Bld-2 31wks,20.92,5.66,10.81,14.9,52.5,48.5,13.7,28.3,925,7.6,0,0,5.5,85.8,1.5,5.5,0.9,0.9,0.31,4.85,0.08,0.31,0.05,0.05,26.7,40,JDO-B-053012-01
DO.0076,F,G8,LGDO-F-16,10/24/2011,5/30/2012,219,Bld-2 31wks,25.53,3.47,11.02,15.7,55.9,50.7,14.3,28.1,1052,7.9,0,0,15.5,77.7,2.4,2.1,1.9,2.2,0.54,2.69,0.08,0.07,0.07,0.08,27.3,45,JDO-B-053012-01
DO.0077,F,G8,LGDO-F-16,10/27/2011,5/30/2012,216,Bld-2 31wks,23.22,8.33,10.77,14.7,53.9,50,13.6,27.3,1561,6.9,0,0,15.2,79.6,1.6,2.8,0.3,0.5,1.26,6.63,0.13,0.24,0.02,0.05,26.2,45,JDO-B-053012-01
DO.0078,F,G8,LGDO-F-16,10/25/2011,5/30/2012,218,Bld-2 31wks,28.64,7.09,11.03,16.8,56.3,51.1,15.2,29.8,1303,7.1,0,0,23.4,65.1,4.8,4.2,0.9,1.5,1.66,4.62,0.34,0.3,0.07,0.11,29,40,JDO-B-053012-01
DO.0079,F,G8,LGDO-F-16,10/25/2011,5/30/2012,218,Bld-2 31wks,25.79,9.97,10.87,15.8,55.6,51.1,14.6,28.5,1080,7.2,0,0,10.7,80.9,2.8,3.9,0.8,0.9,1.07,8.07,0.28,0.38,0.08,0.09,27.3,40,JDO-B-053012-01
DO.0080,F,G8,LGDO-F-16,10/27/2011,5/30/2012,216,Bld-2 31wks,24.96,6.88,10.96,15.6,54.8,50,14.2,28.5,1209,6.7,0,0,11,82.3,2.3,3.5,0.3,0.6,0.76,5.66,0.16,0.24,0.02,0.04,27.4,40,JDO-B-053012-01
DO.0081,F,G8,LGDO-F-17,10/24/2011,5/30/2012,219,Bld-2 31wks,21.76,8.01,10.79,16.8,59.3,54.9,15.6,28.3,1083,7.5,0,0,7.7,88.5,1.7,1,0.3,0.8,0.61,7.08,0.14,0.08,0.03,0.07,27.2,40,JDO-B-053012-01
DO.0082,F,G8,LGDO-F-17,10/25/2011,5/30/2012,218,Bld-2 31wks,36.15,5.37,10,15.1,51.5,51.5,15.1,29.3,1605,6.8,0,0,17.7,76.4,3.1,1.8,0.4,0.7,0.95,4.1,0.16,0.1,0.02,0.03,28.6,45,JDO-B-053012-01
DO.0083,F,G8,LGDO-F-17,10/22/2011,5/30/2012,221,Bld-2 31wks,27.18,6.9,10.82,15.2,54.7,50.5,14.1,27.9,1040,7.8,0,0,7.1,86.8,3,2.4,0.2,0.5,0.49,5.99,0.21,0.17,0.02,0.03,26.4,40,JDO-B-053012-01
DO.0084,F,G8,LGDO-F-17,10/22/2011,5/30/2012,221,Bld-2 31wks,30.6,5.64,10.63,16,55.7,52.4,15,28.7,1285,7.1,0,0,16.6,77.2,2.1,3.4,0.3,0.5,0.94,4.35,0.12,0.19,0.01,0.03,27.7,45,JDO-B-053012-01
DO.0085,F,G8,LGDO-F-17,10/25/2011,5/30/2012,218,Bld-2 31wks,29.14,10.79,10.34,15.4,53.5,51.8,14.9,28.8,1088,7.5,0,0,5.4,89.5,1.4,2.7,0.4,0.5,0.58,9.67,0.15,0.29,0.04,0.06,27.6,45,JDO-B-053012-01
DO.0086,F,G8,LGDO-F-18,10/23/2011,5/30/2012,220,Bld-2 31wks,30.44,10.09,10.77,16,55,51,14.9,29.2,1615,7.9,0,0,24,70.9,2.4,1.7,0.2,0.7,2.43,7.16,0.24,0.18,0.02,0.07,28.1,35,JDO-B-053012-01
DO.0087,F,G8,LGDO-F-18,10/26/2011,5/30/2012,217,Bld-2 31wks,25.88,5.12,11.39,16.3,59.2,52,14.3,27.5,1148,7.8,0,0,10.7,74.4,1.5,12.5,0.4,0.4,0.55,3.81,0.08,0.64,0.02,0.02,26.4,35,JDO-B-053012-01
DO.0088,F,G8,LGDO-F-18,10/23/2011,5/30/2012,220,Bld-2 31wks,29.97,5.73,10.23,16.3,58,56.7,16,28.2,1234,7.8,0,0,8.3,86,2.6,2,0.4,0.7,0.48,4.93,0.15,0.11,0.02,0.04,27.1,35,JDO-B-053012-01
DO.0089,F,G8,LGDO-F-18,10/27/2011,5/30/2012,216,Bld-2 31wks,38.57,6.05,10.62,15.7,55.4,52.1,14.8,28.3,1449,7.4,0,0,13.1,79.4,3,2.4,0.9,1.2,0.79,4.8,0.18,0.15,0.06,0.08,27.1,35,JDO-B-053012-01
DO.0090,F,G8,LGDO-F-18,10/24/2011,5/30/2012,219,Bld-2 31wks,24.12,5.97,10.39,15.9,54.5,52.4,15.3,29.2,1140,8.4,0,0,17.9,74.9,2.1,4,0.4,0.8,1.07,4.47,0.13,0.24,0.02,0.05,28.1,40,JDO-B-053012-01
DO.0093,F,G8,LGDO-F-19,10/23/2011,5/29/2012,219,Bld-2 31wks,37.75,7.51,11.22,15.9,53.5,47.6,14.2,29.8,1496,5.6,0,0,8.5,86.7,2.6,1.3,0.3,0.7,0.64,6.51,0.2,0.1,0.02,0.05,29.5,40,JDO-B-052912-01
